Title,Year,Duration,MPA,IMBD_Rating,Votes,méta_score,description,Movie Link,writers,director,stars,budget,opening_weekend_Gross,grossWorldWWide,gross_US_Canada,release_date,countries_origin,filming_locations,production_company,awards_content,genres,Languages
11. The Hole,1960,2h 11m,Not Rated,8.5,21K,,Distrust and uncertainty arise when four long-term inmates cautiously induct a new prisoner into their elaborate prison-break scheme.,https://www.imdb.com/title/tt0054407/?ref_=sr_i_11,"['José Giovanni', 'Jacques Becker', 'Jean Aurel']",Jacques Becker,"['André Bervil', 'Jean Keraudy', 'Michel Constantin', 'Philippe Leroy', 'Raymond Meunier', 'Marc Michel', 'Jean-Paul Coquelin', 'Eddy Rasimi', 'Albert Augier', 'Jean Becker']",,"$6,756","$34,588","$34,588","February 14, 1997","['France', 'Italy']",,"['Filmsonor', 'Play Art', 'Titanus']",2 wins & 4 nominations total,"['Crime', 'Drama', 'Thriller']",['French']
12. The Passionate Thief,1960,1h 46m,,7.3,964,,"Tortorella tries to spend New Year's Eve with her wealthy friends, but ends up with an actor in decay and a pickpocket.",https://www.imdb.com/title/tt0054242/?ref_=sr_i_12,"[""Suso Cecchi D'Amico"", 'Agenore Incrocci', 'Furio Scarpelli']",Mario Monicelli,"['Anna Magnani', 'Totò', 'Ben Gazzara', 'Fred Clark', 'Edy Vessel', 'Gina Rovere', 'Toni Ucci', 'Kurt Polter', 'Mac Ronay', 'Alberto De Amicis']",,"$8,677","$31,539","$31,539","October 13, 1960",['Italy'],"Via Marsala, Rome, Lazio, Italy",['Titanus'],,"['Comedy', 'Drama']",['Italian']
13. Shoot the Piano Player,1960,1h 32m,Not Rated,7.4,21K,,"A pianist helps his brother escape from two gangsters, who retaliate by abducting their kid brother.",https://www.imdb.com/title/tt0054389/?ref_=sr_i_13,"['David Goodis', 'François Truffaut', 'Marcel Moussy']",François Truffaut,"['Charles Aznavour', 'Marie Dubois', 'Nicole Berger', 'Michèle Mercier', 'Serge Davri', 'Claude Mansard', 'Richard Kanayan', 'Albert Rémy', 'Jean-Jacques Aslanian', 'Daniel Boulanger']","FRF890,063 (estimated)","$11,206","$21,124","$21,124","July 23, 1962",['France'],"Garage du Dauphiné, 53 route de Lyon, Grenoble, Isère, France",['Les Films de la Pléiade'],1 nomination total,"['Crime', 'Drama', 'Thriller']","['French', 'English']"
14. The Pusher,1960,1h 21m,Not Rated,6.2,169,,"A detective investigating the murder of a heroin addict discovers that there is a connection between the junkie and his fiancee, who is his boss' daughter.",https://www.imdb.com/title/tt0054219/?ref_=sr_i_14,"['Kathy Carlyle', 'Robert Lansing', 'Felice Orlandi']",Gene Milford,"['Kathy Carlyle', 'Robert Lansing', 'Felice Orlandi', 'Douglas Rodgers', 'Sloan Simpson', 'Sara Amman', 'Jim Boles', 'Beatrice Pons', 'John Astin', 'Eli Boraks']",,"$1,656","$1,656","$1,656",February 1960,['United States'],"113 East 115 Street, New York City, New York, USA",['Milford/Carlyle Productions'],,"['Crime', 'Drama']",['English']
15. The Magnificent Seven,1960,2h 8m,Approved,7.7,105K,74.0,Seven gunfighters are hired by Mexican peasants to liberate their village from oppressive bandits.,https://www.imdb.com/title/tt0054047/?ref_=sr_i_15,"['William Roberts', 'Akira Kurosawa', 'Walter Bernstein']",John Sturges,"['Yul Brynner', 'Steve McQueen', 'Charles Bronson', 'Eli Wallach', 'Horst Buchholz', 'Robert Vaughn', 'Brad Dexter', 'James Coburn', 'Jorge Martínez de Hoyos', 'Vladimir Sokoloff']","$2,000,000 (estimated)",,$416,,"October 12, 1960",['United States'],"Cuernavaca, Morelos, Mexico","['The Mirisch Company', 'Alpha Productions']",2 wins & 6 nominations total,"['Classical Western', 'Action', 'Adventure', 'Drama', 'Western']","['English', 'Spanish']"
16. BUtterfield 8,1960,1h 49m,Not Rated,6.3,7.6K,48.0,"A beautiful New York model and socialite enjoys a very active night-life, but all things change when she falls for a married man and the consequences are tragic.",https://www.imdb.com/title/tt0053622/?ref_=sr_i_16,"['Elizabeth Taylor', 'Laurence Harvey', 'Eddie Fisher']",Daniel Mann,"['Elizabeth Taylor', 'Laurence Harvey', 'Eddie Fisher', 'Dina Merrill', 'Mildred Dunnock', 'Betty Field', 'Jeffrey Lynn', 'Kay Medford', 'Susan Oliver', 'George Voskovec']","$2,800,000 (estimated)",,"$8,722",,"November 4, 1960",['United States'],"Tappan Zee Bridge, Tarrytown, New York, USA",['Afton-Linebrook'],1 win & 6 nominations total,"['Tragedy', 'Drama', 'Romance']",['English']
17. La Dolce Vita,1960,2h 54m,Not Rated,8.0,81K,95.0,A series of stories following a week in the life of a philandering tabloid journalist living in Rome.,https://www.imdb.com/title/tt0053779/?ref_=sr_i_17,"['Federico Fellini', 'Ennio Flaiano', 'Tullio Pinelli']",Federico Fellini,"['Marcello Mastroianni', 'Anita Ekberg', 'Anouk Aimée', 'Yvonne Furneaux', 'Magali Noël', 'Alain Cuny', 'Annibale Ninchi', 'Walter Santesso', 'Valeria Ciangottini', 'Riccardo Garrone']",,,"$217,420",,"April 19, 1961","['Italy', 'France']","Villa Giustiniani-Odescalchi, Bassano Romano, Viterbo, Lazio, Italy","['Riama Film', 'Gray-Film', 'Société Nouvelle Pathé Cinéma']",11 wins & 12 nominations total,"['Comedy', 'Drama']","['Italian', 'English', 'French', 'German']"
18. The Time Machine,1960,1h 43m,G,7.5,46K,67.0,A man's vision for a utopian society is disillusioned when travelling forward into time reveals a dark and dangerous society.,https://www.imdb.com/title/tt0054387/?ref_=sr_i_18,"['Rod Taylor', 'Alan Young', 'Yvette Mimieux']",George Pal,"['Rod Taylor', 'Alan Young', 'Yvette Mimieux', 'Sebastian Cabot', 'Tom Helmore', 'Whit Bissell', 'Doris Lloyd', 'Bob Barran', 'Paul Frees', 'Mike Hitlner']","$750,000 (estimated)",,"$5,902",,"August 25, 1960",['United States'],"Metro-Goldwyn-Mayer Studios - 10202 W. Washington Blvd., Culver City, California, USA","['George Pal Productions', 'Galaxy Films Inc.']",1 win & 1 nomination total,"['Dystopian Sci-Fi', 'Quest', 'Steampunk', 'Time Travel', 'Adventure', 'Romance', 'Sci-Fi', 'Thriller']",['English']
19. Flaming Star,1960,1h 41m,Approved,6.5,4.2K,,"When fighting breaks out between two cultures in West Texas, the mixed-blood Pacer tries to act as a peacemaker, but the ""flaming star of death"" pulls him irrevocably into the deadly violence.",https://www.imdb.com/title/tt0053825/?ref_=sr_i_19,"['Clair Huffaker', 'Nunnally Johnson']",Don Siegel,"['Elvis Presley', 'Barbara Eden', 'Steve Forrest', 'Dolores Del Río', 'John McIntire', 'Rodolfo Acosta', 'Karl Swenson', 'Ford Rainey', 'Richard Jaeckel', 'Anne Benton']",,,"$4,360,000","$1,962,000","February 6, 1961",['United States'],"Janss Conejo Ranch, Thousand Oaks, California, USA",['Twentieth Century Fox'],,"['Classical Western', 'Western']",['English']
20. Ocean's Eleven,1960,2h 7m,Approved,6.5,26K,57.0,Danny Ocean gathers a group of his World War II compatriots to pull off the ultimate Las Vegas heist. Together the eleven friends plan to rob five Las Vegas casinos in one night.,https://www.imdb.com/title/tt0054135/?ref_=sr_i_20,"['Harry Brown', 'Charles Lederer', 'George Clayton Johnson']",Lewis Milestone,"['Frank Sinatra', 'Dean Martin', 'Sammy Davis Jr.', 'Peter Lawford', 'Angie Dickinson', 'Richard Conte', 'Cesar Romero', 'Patrice Wymore', 'Joey Bishop', 'Akim Tamiroff']","$2,800,000 (estimated)",,,,"August 4, 1960",['United States'],"Desert Inn - 3145 Las Vegas Boulevard South, Las Vegas, Nevada, USA","['Warner Bros.', 'Dorchester Productions']",2 nominations total,"['Caper', 'Comedy', 'Crime', 'Music', 'Thriller']",['English']
21. Purple Noon,1960,1h 58m,PG-13,7.7,22K,,"Tom Ripley is a talented mimic, moocher, forger and all-around criminal improviser; but there's more to Tom Ripley than even he can guess.",https://www.imdb.com/title/tt0054189/?ref_=sr_i_21,"['Patricia Highsmith', 'René Clément', 'Paul Gégauff']",René Clément,"['Alain Delon', 'Maurice Ronet', 'Marie Laforêt', 'Erno Crisa', 'Frank Latimore', 'Billy Kearns', 'Ave Ninchi', 'Viviane Chantel', 'Nerio Bernardi', 'Barbel Fanger']",,,"$108,821",,"March 10, 1960","['France', 'Italy']","Ischia Ponte, Ischia Island, Naples, Campania, Italy","['Robert et Raymond Hakim', 'Paris Film', 'Paritalia']",1 win total,"['Crime', 'Drama', 'Thriller']","['French', 'Italian', 'English']"
22. The Entertainer,1960,1h 36m,Not Rated,7.1,3.9K,70.0,"Archie Rice, an old-time British music hall performer sinking into final defeat, schemes to stay in show business.",https://www.imdb.com/title/tt0053796/?ref_=sr_i_22,"['John Osborne', 'Nigel Kneale']",Tony Richardson,"['Laurence Olivier', 'Brenda de Banzie', 'Roger Livesey', 'Joan Plowright', 'Alan Bates', 'Daniel Massey', 'Albert Finney', 'Shirley Anne Field', 'Thora Hird', 'Miriam Karlin']","£247,716 (estimated)",,,,"December 2, 1960",['United Kingdom'],"Blackpool, Lancashire, England, UK",['Woodfall Film Productions'],1 win & 5 nominations total,['Drama'],['English']
23. Rocco and His Brothers,1960,2h 59m,Not Rated,8.2,23K,84.0,"Having recently been uprooted to Milan, Rocco and his four brothers each look for a new way in life when a prostitute comes between Rocco and his brother Simone.",https://www.imdb.com/title/tt0054248/?ref_=sr_i_23,"['Luchino Visconti', ""Suso Cecchi D'Amico"", 'Vasco Pratolini']",Luchino Visconti,"['Alain Delon', 'Renato Salvatori', 'Annie Girardot', 'Claudia Cardinale', 'Katina Paxinou', 'Alessandra Panaro', 'Spyros Fokas', 'Max Cartier', 'Corrado Pani', 'Rocco Vidolazzi']",,,"$22,013",,"March 10, 1961","['Italy', 'France']","Stazione Centrale, Milan, Lombardia, Italy","['Titanus', 'Les Films Marceau']",10 wins & 10 nominations total,"['Crime', 'Drama', 'Sport']",['Italian']
24. Pollyanna,1960,2h 14m,G,7.4,12K,66.0,A young girl comes to an embittered town and confronts its attitude with her determination to see the best in life.,https://www.imdb.com/title/tt0054195/?ref_=sr_i_24,"['Jane Wyman', 'Hayley Mills', 'Richard Egan']",David Swift,"['Jane Wyman', 'Hayley Mills', 'Richard Egan', 'Karl Malden', 'Nancy Olson', 'Adolphe Menjou', 'Donald Crisp', 'Agnes Moorehead', 'Kevin Corcoran', 'James Drury']",,,,,"May 19, 1960",['United States'],"Mableton Mansion - 1015 McDonald Avenue, Santa Rosa, California, USA",['Walt Disney Productions'],2 wins & 1 nomination total,"['Comedy', 'Drama', 'Family']",['English']
25. Seven Thieves,1960,1h 42m,Approved,6.5,1.8K,,A motley crew of professional thieves plans the robbery of a Monte Carlo casino vault.,https://www.imdb.com/title/tt0054295/?ref_=sr_i_25,"['Edward G. Robinson', 'Rod Steiger', 'Joan Collins']",Henry Hathaway,"['Edward G. Robinson', 'Rod Steiger', 'Joan Collins', 'Eli Wallach', 'Alexander Scourby', 'Michael Dante', 'Berry Kroeger', 'Sebastian Cabot', 'Marcel Hillaire', 'John Beradino']","$1,650,000 (estimated)",,,,"March 11, 1960",['United States'],"French Riviera, Alpes-Maritimes, France",['Twentieth Century Fox'],1 nomination total,"['Crime', 'Drama', 'Thriller']","['English', 'French']"
26. Exodus,1960,3h 28m,Approved,6.7,12K,70.0,"The State of Israel is created in 1948, resulting in war with its Arab neighbors.",https://www.imdb.com/title/tt0053804/?ref_=sr_i_26,"['Paul Newman', 'Eva Marie Saint', 'Ralph Richardson']",Otto Preminger,"['Paul Newman', 'Eva Marie Saint', 'Ralph Richardson', 'Peter Lawford', 'Lee J. Cobb', 'Sal Mineo', 'John Derek', 'Hugh Griffith', 'Gregory Ratoff', 'Felix Aylmer']","$4,000,000 (estimated)",,"$12,634",,"January 2, 1961",['United States'],"Acre, Israel",['Otto Preminger Films'],5 wins & 7 nominations total,"['Action', 'Drama', 'War']",['English']
27. L'Avventura,1960,2h 24m,Not Rated,7.7,34K,,"A woman disappears during a Mediterranean boating trip. During the search, her lover and her best friend become attracted to each other.",https://www.imdb.com/title/tt0053619/?ref_=sr_i_27,"['Michelangelo Antonioni', 'Elio Bartolini', 'Tonino Guerra']",Michelangelo Antonioni,"['Gabriele Ferzetti', 'Monica Vitti', 'Lea Massari', 'Dominique Blanchar', 'Renzo Ricci', 'James Addams', 'Dorothy De Poliolo', 'Lelio Luttazzi', 'Giovanni Petrucci', 'Esmeralda Ruspoli']",,,"$2,606",,"March 4, 1961","['Italy', 'France']","Basiluzzo Island, Aeolian Islands, Messina, Sicily, Italy","['Cino del Duca', 'Produzioni Cinematografiche Europee (P.C.E.)', 'Societé Cinématographique Lyre']",6 wins & 12 nominations total,"['Drama', 'Mystery', 'Romance']","['Italian', 'English', 'Greek']"
28. The Baroness from the Gas Station,1960,2h 2m,Not Rated,7.1,1.3K,,"A baron dies. His unknown offspring, 20-year-old Anne, a mechanic at the local gas station, is heiress to a a huge estate and title. Will she get along with the baron's mom and transform from tomboy to lady?",https://www.imdb.com/title/tt0053636/?ref_=sr_i_28,"['Annelise Reenberg', 'John Olsen', 'Peer Guldbrandsen']",Annelise Reenberg,"['Maria Garland', 'Ghita Nørby', 'Dirch Passer', 'Ove Sprogøe', 'Karin Nellemose', 'Karl Stegger', 'Emil Hass Christensen', 'Henrik Rosing Wiehe', 'Erni Arneson', 'Ulla Lock']",,,,,"September 5, 1960",['Denmark'],"Tikøb, Sjælland, Denmark",['Saga Studio'],,"['Comedy', 'Romance']",['Danish']
29. The Little Shop of Horrors,1960,1h 13m,Not Rated,6.2,20K,,"A clumsy young man working at an impoverished flower shop discovers that the strange plant he has been nurturing has an insatiable appetite for blood, forcing him to kill to feed it.",https://www.imdb.com/title/tt0054033/?ref_=sr_i_29,"['Jonathan Haze', 'Jackie Joseph', 'Mel Welles']",Roger Corman,"['Jonathan Haze', 'Jackie Joseph', 'Mel Welles', 'Dick Miller', 'Myrtle Vail', 'Karyn Kupcinet', 'Toby Michaels', 'Leola Wendorff', 'Lynn Storey', 'Wally Campo']","$27,000 (estimated)",,,,"August 5, 1960",['United States'],"Bunker Hill, Downtown, Los Angeles, California, USA","['The Filmgroup', 'Santa Clara Productions']",,"['Dark Comedy', 'Farce', 'Monster Horror', 'Comedy', 'Horror']",['English']
30. The Lost World,1960,1h 37m,Approved,5.5,4.6K,,Professor Challenger leads an expedition of scientists and adventurers to a remote plateau deep in the Amazonian jungle to verify his claim that dinosaurs still live there.,https://www.imdb.com/title/tt0054038/?ref_=sr_i_30,"['Michael Rennie', 'Jill St. John', 'David Hedison']",Irwin Allen,"['Michael Rennie', 'Jill St. John', 'David Hedison', 'Claude Rains', 'Fernando Lamas', 'Richard Haydn', 'Ray Stricklyn', 'Jay Novello', 'Vitina Marcus', 'Ian Wolfe']","$1,515,000 (estimated)",,,,"July 13, 1960",['United States'],"20th Century Fox Studios - 10201 Pico Blvd., Century City, Los Angeles, California, USA","['Irwin Allen Productions', 'Saratoga Productions']",1 nomination total,"['Dinosaur Adventure', 'Jungle Adventure', 'Quest', 'Adventure', 'Fantasy', 'Sci-Fi']","['English', 'Spanish']"
31. Inherit the Wind,1960,2h 8m,Approved,8.1,34K,75.0,"Based on a real-life case in 1925; two great lawyers argue the case for, and against, a Tennessee science teacher accused of the crime of teaching Darwin's theory of evolution.",https://www.imdb.com/title/tt0053946/?ref_=sr_i_31,"['Nedrick Young', 'Harold Jacob Smith', 'Jerome Lawrence']",Stanley Kramer,"['Spencer Tracy', 'Fredric March', 'Gene Kelly', 'Dick York', 'Donna Anderson', 'Harry Morgan', 'Claude Akins', 'Elliott Reid', 'Paul Hartman', 'Philip Coolidge']","$2,000,000 (estimated)",,,,"August 30, 1960",['United States'],"Courthouse Square, Backlot, Universal Studios - 100 Universal City Plaza, Universal City, California, USA",['Stanley Kramer Productions'],3 wins & 11 nominations total,"['Legal Drama', 'Period Drama', 'Biography', 'Drama', 'History']",['English']
32. The Alamo,1960,2h 42m,Approved,6.8,18K,,"In 1836, a small band of soldiers sacrifice their lives in hopeless combat against a massive army in order to prevent a tyrant from smashing the new Republic of Texas.",https://www.imdb.com/title/tt0053580/?ref_=sr_i_32,"['John Wayne', 'Richard Widmark', 'Laurence Harvey']",John Wayne,"['John Wayne', 'Richard Widmark', 'Laurence Harvey', 'Frankie Avalon', 'Patrick Wayne', 'Linda Cristal', ""Joan O'Brien"", 'Chill Wills', 'Joseph Calleia', 'Ken Curtis']","$12,000,000 (estimated)",,"$6,334",,"October 27, 1960",['United States'],"Alamo Village - Highway 674, Brackettville, Texas, USA","['Batjac Productions', 'The Alamo Company']",7 wins & 8 nominations total,"['Classical Western', 'Desert Adventure', 'Historical Epic', 'War Epic', 'Western Epic', 'Adventure', 'Drama', 'History', 'War', 'Western']","['English', 'Spanish']"
33. Black Sunday,1960,1h 27m,Approved,7.1,19K,,"Decades after being executed for witchcraft, vengeful Princess Asa Vajda and her fiendish servant are resurrected and begin a bloody campaign to possess the body of Asa Vajda's beautiful look-alike descendant Princess Katia.",https://www.imdb.com/title/tt0054067/?ref_=sr_i_33,"['Ennio De Concini', 'Mario Serandrei', 'Nikolay Gogol']",Mario Bava,"['Barbara Steele', 'John Richardson', 'Andrea Checchi', 'Ivo Garrani', 'Arturo Dominici', 'Enrico Olivieri', 'Antonio Pierfederici', 'Tino Bianchi', 'Clara Bindi', 'Mario Passante']",,,,,"February 15, 1961",['Italy'],"Prince Massimo's Castle, Arsoli, Rome, Lazio, Italy","['Galatea Film', 'Jolly Film']",1 win & 1 nomination total,"['Supernatural Horror', 'Vampire Horror', 'Witch Horror', 'Horror']","['Italian', 'English']"
"34. Murder, Inc.",1960,1h 43m,Approved,6.6,1.7K,,"The rise and fall of a 1930's Brooklyn crime syndicate, known as Murder Incorporated, led by mobster Lepke Buchalter.",https://www.imdb.com/title/tt0054102/?ref_=sr_i_34,"['Irve Tunick', 'Mel Goldberg', 'Burton Turkus']",Burt Balaban,"['Stuart Whitman', 'May Britt', 'Henry Morgan', 'Peter Falk', 'David J. Stewart', 'Simon Oakland', 'Sarah Vaughan', 'Morey Amsterdam', 'Eli Mintz', 'Joseph Bernard']",,,,,"October 14, 1960",['United States'],"Riegelmann Boardwalk and West 29th Street, Brooklyn, New York, USA",['Princess Production Corporation'],2 nominations total,"['True Crime', 'Biography', 'Crime', 'Drama', 'Thriller']",['English']
35. Two Women,1960,1h 41m,Not Rated,7.7,13K,,"In WWII Italy, a widow and her lonely daughter seek distance between themselves and the horrors of war.",https://www.imdb.com/title/tt0054749/?ref_=sr_i_35,"['Sophia Loren', 'Jean-Paul Belmondo', 'Raf Vallone']",Vittorio De Sica,"['Sophia Loren', 'Jean-Paul Belmondo', 'Raf Vallone', 'Eleonora Brown', 'Carlo Ninchi', 'Andrea Checchi', 'Pupella Maggio', 'Emma Baron', 'Bruna Cealti', 'Antonella Della Porta']",,,"$14,062",,"May 9, 1961","['Italy', 'France']","Chiesa San Francesco d'Assisi, Fondi, Lazio, Italy","['Compagnia Cinematografica Champion', 'Cocinor', 'Les Films Marceau']",11 wins & 3 nominations total,"['Drama', 'War']","['Italian', 'German', 'English']"
