Title,Year,Duration,MPA,IMBD_Rating,Votes,méta_score,description,Movie Link,writers,director,stars,budget,opening_weekend_Gross,grossWorldWWide,gross_US_Canada,release_date,countries_origin,filming_locations,production_company,awards_content,genres,Languages
1. Swiss Family Robinson,1960,2h 6m,Approved,7.1,19K,61.0,A Swiss family must survive being shipwrecked on a deserted island.,https://www.imdb.com/title/tt0054357/?ref_=sr_i_1,"['John Mills', 'Dorothy McGuire', 'James MacArthur']",Ken Annakin,"['John Mills', 'Dorothy McGuire', 'James MacArthur', 'Janet Munro', 'Sessue Hayakawa', 'Tommy Kirk', 'Kevin Corcoran', 'Cecil Parker', 'Andy Ho', 'Milton Reid']","$5,000,000 (estimated)",,"$40,357,287","$40,356,000","December 21, 1960",['United States'],"Tobago, Trinidad and Tobago",['Walt Disney Productions'],,"['Survival', 'Adventure', 'Family']","['English', 'Malay']"
2. Psycho,1960,1h 49m,R,8.5,743K,97.0,A secretary on the run for embezzlement takes refuge at a secluded California motel owned by a repressed man and his overbearing mother.,https://www.imdb.com/title/tt0054215/?ref_=sr_i_2,"['Anthony Perkins', 'Janet Leigh', 'Vera Miles']",Alfred Hitchcock,"['Anthony Perkins', 'Janet Leigh', 'Vera Miles', 'John Gavin', 'Martin Balsam', 'John McIntire', 'Simon Oakland', 'Frank Albertson', 'Patricia Hitchcock', 'Vaughn Taylor']","$806,947 (estimated)",,"$32,248,065","$32,181,230","September 8, 1960",['United States'],"Psycho House and Bates Motel, Backlot Universal Studios, Universal City, California, USA","['Alfred J. Hitchcock Productions', 'Shamley Productions']",8 wins & 14 nominations total,"['Psychological Horror', 'Psychological Thriller', 'Slasher Horror', 'Suspense Mystery', 'Horror', 'Mystery', 'Thriller']",['English']
3. The Apartment,1960,2h 5m,Approved,8.3,205K,94.0,"A Manhattan insurance clerk tries to rise in his company by letting its executives use his apartment for trysts, but office politics and his own romantic hopes complicate matters.",https://www.imdb.com/title/tt0053604/?ref_=sr_i_3,"['Jack Lemmon', 'Shirley MacLaine', 'Fred MacMurray']",Billy Wilder,"['Jack Lemmon', 'Shirley MacLaine', 'Fred MacMurray', 'Ray Walston', 'Jack Kruschen', 'David Lewis', 'Hope Holiday', 'Joan Shawlee', 'Naomi Stevens', 'Johnny Seven']","$3,000,000 (estimated)",,"$18,778,738","$18,600,000","June 29, 1960",['United States'],"Majestic Theater, 247 West 44th Street, Manhattan, New York City, New York, USA",['The Mirisch Corporation'],25 wins & 8 nominations total,"['Farce', 'Holiday Comedy', 'Holiday Romance', 'Romantic Comedy', 'Comedy', 'Drama', 'Holiday', 'Romance']",['English']
4. Spartacus,1960,3h 17m,PG-13,7.9,147K,87.0,"The slave Spartacus survives brutal training as a gladiator and leads a violent revolt against the decadent Roman Republic, as the ambitious Crassus seeks to gain power by crushing the uprising.",https://www.imdb.com/title/tt0054331/?ref_=sr_i_4,"['Dalton Trumbo', 'Howard Fast', 'Peter Ustinov']",Stanley Kubrick,"['Kirk Douglas', 'Laurence Olivier', 'Jean Simmons', 'Charles Laughton', 'Peter Ustinov', 'John Gavin', 'Nina Foch', 'John Ireland', 'Herbert Lom', 'John Dall']","$12,000,000 (estimated)","$92,162","$1,846,975","$1,830,650","November 17, 1960",['United States'],"Hearst Castle, San Simeon, California, USA",['Bryna Productions'],12 wins & 11 nominations total,"['Adventure Epic', 'Epic', 'Historical Epic', 'Sword & Sandal', 'War Epic', 'Adventure', 'Biography', 'Drama', 'History', 'War']",['English']
5. Breathless,1960,1h 30m,Not Rated,7.7,90K,,"A small-time crook, hunted by the authorities for a car theft and the murder of a police officer, attempts to persuade a hip American journalism student to run away with him to Italy.",https://www.imdb.com/title/tt0053472/?ref_=sr_i_5,"['Jean-Paul Belmondo', 'Jean Seberg', 'Van Doude']",Jean-Luc Godard,"['Jean-Paul Belmondo', 'Jean Seberg', 'Van Doude', 'Jean-Luc Godard', 'Richard Balducci', 'Daniel Boulanger', 'Gérard Brach', 'Philippe de Broca', 'José Bénazéraf', 'Jean Domarchi']","FRF400,000 (estimated)","$32,424","$594,039","$414,173","February 7, 1961",['France'],"11 rue Campagne Première, Paris 14, Paris, France","['Les Films Impéria', 'Les Productions Georges de Beauregard', 'Société Nouvelle de Cinématographie (SNC)']",5 wins & 4 nominations total,"['Caper', 'Crime', 'Drama']","['French', 'English']"
6. Mughal-E-Azam,1960,3h 17m,Not Rated,8.1,9.1K,,A 16th century prince falls in love with a court dancer and battles with his emperor father.,https://www.imdb.com/title/tt0054098/?ref_=sr_i_6,"['K. Asif', 'Aman', 'Kamal Amrohi']",K. Asif,"['Prithviraj Kapoor', 'Madhubala', 'Dilip Kumar', 'Durga Khote', 'Nigar Sultana', 'Ajit Khan', 'M. Kumar', 'Murad', 'Jillo', 'Vijayalaxmi']","₹15,000,000 (estimated)","$60,258","$161,434","$161,434","August 5, 1960",['India'],,['Sterling Investment Corp.'],3 wins & 3 nominations total,"['Period Drama', 'Tragic Romance', 'Drama', 'Romance', 'War']","['Hindi', 'Urdu']"
7. The Big Risk,1960,1h 43m,Not Rated,7.5,4.7K,84.0,"A ruthless criminal flees from the pursuit, involving more and more casualties.",https://www.imdb.com/title/tt0052698/?ref_=sr_i_7,"['José Giovanni', 'Claude Sautet', 'Pascal Jardin']",Claude Sautet,"['Lino Ventura', 'Sandra Milo', 'Jean-Paul Belmondo', 'Marcel Dalio', 'Michel Ardan', 'Simone Desmaison', 'Michèle Méritz', 'Stan Krol', 'Evelyne Ker', 'Betty Schneider']",,"$11,945","$132,928","$132,928","April 1, 1960","['France', 'Italy']","Nice, Alpes-Maritimes, France","['Mondex Films', 'Les Films Odéon', 'Filmsonor']",,"['Crime', 'Drama', 'Romance', 'Thriller']","['French', 'Italian']"
8. Eyes Without a Face,1960,1h 30m,Approved,7.6,37K,90.0,A surgeon causes an accident which leaves his daughter disfigured and goes to extreme lengths to give her a new face.,https://www.imdb.com/title/tt0053459/?ref_=sr_i_8,"['Jean Redon', 'Pierre Boileau', 'Thomas Narcejac']",Georges Franju,"['Pierre Brasseur', 'Alida Valli', 'Juliette Mayniel', 'Alexandre Rignault', 'Béatrice Altariba', 'Charles Blavette', 'Edith Scob', 'Claude Brasseur', 'Michel Etcheverry', 'Yvette Etiévant']",,"$19,628","$61,453","$58,565","October 24, 1962","['France', 'Italy']","Studios de Boulogne, Avenue Jean-Baptiste Clément, Boulogne-Billancourt, Hauts-de-Seine, France","['Champs-Élysées Productions', 'Lux Film']",,"['Body Horror', 'Drama', 'Horror']",['French']
9. The Bad Sleep Well,1960,2h 31m,Not Rated,8.0,15K,,A vengeful young man marries the daughter of a corrupt industrialist in order to seek justice for his father's suicide.,https://www.imdb.com/title/tt0054460/?ref_=sr_i_9,"['Hideo Oguni', 'Eijirô Hisaita', 'Akira Kurosawa']",Akira Kurosawa,"['Toshirô Mifune', 'Masayuki Mori', 'Kyôko Kagawa', 'Tatsuya Mihashi', 'Takashi Shimura', 'Kô Nishimura', 'Takeshi Katô', 'Kamatari Fujiwara', 'Chishû Ryû', 'Seiji Miyaguchi']","¥82,540,000 (estimated)","$15,942","$46,961","$46,808","January 22, 1963",['Japan'],"Aso Kuju National Park, Kyushu, Japan","['Toho', 'Kurosawa Production Co.']",3 wins & 1 nomination total,"['Tragedy', 'Crime', 'Drama', 'Thriller']",['Japanese']
10. Peeping Tom,1960,1h 41m,Not Rated,7.6,41K,,"A young man murders women, using a movie camera to film their dying expressions of terror.",https://www.imdb.com/title/tt0054167/?ref_=sr_i_10,['Leo Marks'],Michael Powell,"['Karlheinz Böhm', 'Anna Massey', 'Moira Shearer', 'Maxine Audley', 'Brenda Bruce', 'Miles Malleson', 'Esmond Knight', 'Martin Miller', 'Michael Goodliffe', 'Jack Watson']","£135,000 (estimated)",,"$99,129","$36,598","May 16, 1960",['United Kingdom'],"Newman Arms - 23 Rathbone Street, Fitzrovia, London, England, UK",['Michael Powell (Theatre)'],1 win total,"['Slasher Horror', 'Drama', 'Horror', 'Thriller']",['English']
