Title,Year,Duration,MPA,IMBD_Rating,Votes,méta_score,description,Movie Link,writers,director,stars,budget,opening_weekend_Gross,grossWorldWWide,gross_US_Canada,release_date,countries_origin,filming_locations,production_company,awards_content,genres,Languages
1. Blazing Saddles,1974,1h 33m,R,7.7,157K,73.0,"In order to ruin a western town and steal their land, a corrupt politician appoints a black sheriff, who promptly becomes his most formidable adversary.",https://www.imdb.com/title/tt0071230/?ref_=sr_i_1,"['Mel Brooks', 'Norman Steinberg', 'Andrew Bergman']",Mel Brooks,"['Cleavon Little', 'Gene Wilder', 'Slim Pickens', 'Harvey Korman', 'Madeline Kahn', 'Mel Brooks', 'Burton Gilliam', 'Alex Karras', 'David Huddleston', 'Liam Dunn']","$2,600,000 (estimated)",,"$119,625,020","$119,616,663","February 7, 1974",['United States'],"Vasquez Rocks Natural Area Park - 10700 W. Escondido Canyon Rd., Agua Dulce, California, USA","['Crossbow Productions', 'Warner Bros.']",3 wins & 6 nominations total,"['Farce', 'Parody', 'Slapstick', 'Comedy', 'Western']","['English', 'Yiddish', 'German']"
2. The Towering Inferno,1974,2h 45m,PG,7.0,50K,69.0,"At the opening party of a colossal, but poorly constructed, office building, a massive fire breaks out that threatens to destroy the tower and everyone in it.",https://www.imdb.com/title/tt0072308/?ref_=sr_i_2,"['Richard Martin Stern', 'Thomas N. Scortia', 'Frank M. Robinson']",John Guillermin,"['Paul Newman', 'Steve McQueen', 'William Holden', 'Faye Dunaway', 'Fred Astaire', 'Susan Blakely', 'Richard Chamberlain', 'Jennifer Jones', 'O.J. Simpson', 'Robert Vaughn']","$14,000,000 (estimated)",,"$116,001,993","$116,000,000","December 14, 1974",['United States'],"2898 Vallejo Street, Pacific Heights, San Francisco, California, USA","['Twentieth Century Fox', 'Warner Bros.', 'Irwin Allen Productions']",13 wins & 14 nominations total,"['Disaster', 'Action', 'Drama', 'Thriller']",['English']
3. Young Frankenstein,1974,1h 46m,PG,8.0,174K,83.0,"An American grandson of the infamous scientist, struggling to prove that his grandfather was not as insane as people believe, is invited to Transylvania, where he discovers the process that reanimates a dead body.",https://www.imdb.com/title/tt0072431/?ref_=sr_i_3,"['Gene Wilder', 'Madeline Kahn', 'Marty Feldman']",Mel Brooks,"['Gene Wilder', 'Madeline Kahn', 'Marty Feldman', 'Peter Boyle', 'Cloris Leachman', 'Teri Garr', 'Kenneth Mars', 'Richard Haydn', 'Liam Dunn', 'Danny Goldman']","$2,800,000 (estimated)",,"$86,276,706","$86,273,333","December 15, 1974",['United States'],"Mayfair Theatre - 214 Santa Monica Boulevard, Santa Monica, California, USA","['Gruskoff/Venture Films', 'Crossbow Productions', 'Jouer Limited']",11 wins & 8 nominations total,"['Farce', 'Parody', 'Slapstick', 'Comedy']","['English', 'German']"
4. Earthquake,1974,2h 2m,PG,5.9,18K,56.0,"Various interconnected people struggle to survive when an earthquake of unimaginable magnitude hits Los Angeles, California.",https://www.imdb.com/title/tt0071455/?ref_=sr_i_4,"['Charlton Heston', 'Ava Gardner', 'George Kennedy']",Mark Robson,"['Charlton Heston', 'Ava Gardner', 'George Kennedy', 'Lorne Greene', 'Geneviève Bujold', 'Richard Roundtree', 'Marjoe Gortner', 'Barry Sullivan', 'Lloyd Nolan', 'Victoria Principal']","$7,000,000 (estimated)",,"$79,666,653","$79,666,653","November 15, 1974",['United States'],"New York Street, Backlot, Universal Studios - 100 Universal City Plaza, Universal City, California, USA","['Universal Pictures', 'The Filmakers Group']",3 wins & 7 nominations total,"['Dark Comedy', 'Disaster', 'Action', 'Drama', 'Thriller']",['English']
5. The Godfather Part II,1974,3h 22m,R,9.0,1.4M,90.0,"The early life and career of Vito Corleone in 1920s New York City is portrayed, while his son, Michael, expands and tightens his grip on the family crime syndicate.",https://www.imdb.com/title/tt0071562/?ref_=sr_i_5,"['Francis Ford Coppola', 'Mario Puzo']",Francis Ford Coppola,"['Al Pacino', 'Robert De Niro', 'Robert Duvall', 'Diane Keaton', 'John Cazale', 'Talia Shire', 'Lee Strasberg', 'Michael V. Gazzo', 'G.D. Spradlin', 'Richard Bright']","$13,000,000 (estimated)","$171,417","$47,964,222","$47,834,595","December 18, 1974",['United States'],"Kaiser Estate - 4000 W Lake Blvd, Homewood, Lake Tahoe, California, USA","['Paramount Pictures', 'The Coppola Company', 'American Zoetrope']",17 wins & 21 nominations total,"['Epic', 'Gangster', 'Tragedy', 'Crime', 'Drama']","['English', 'Italian', 'Spanish', 'Latin', 'Sicilian']"
6. The Longest Yard,1974,2h 1m,R,7.1,22K,61.0,"A sadistic warden asks a former pro quarterback, now serving time in his prison, to put together a team of inmates to take on (and get pummeled by) the guards.",https://www.imdb.com/title/tt0071771/?ref_=sr_i_6,"['Burt Reynolds', 'Eddie Albert', 'Ed Lauter']",Robert Aldrich,"['Burt Reynolds', 'Eddie Albert', 'Ed Lauter', 'Michael Conrad', 'James Hampton', 'Harry Caesar', 'John Steadman', 'Charles Tyner', 'Mike Henry', 'Jim Nicholson']","$2,900,000 (estimated)",,"$43,008,075","$43,008,075","August 30, 1974",['United States'],"Brunswick, Georgia, USA","['Paramount Pictures', 'Long Road Productions', 'Ruddy Productions']",2 wins & 4 nominations total,"['Football', 'Prison Drama', 'Comedy', 'Crime', 'Drama', 'Sport']",['English']
7. Benji,1974,1h 26m,G,6.1,5.3K,35.0,A stray dog saves two kidnapped children.,https://www.imdb.com/title/tt0071206/?ref_=sr_i_7,"['Peter Breck', 'Deborah Walley', 'Patsy Garrett']",Joe Camp,"['Peter Breck', 'Deborah Walley', 'Patsy Garrett', 'Allen Fiuzat', 'Cynthia Smith', 'Frances Bavier', 'Terry Carter', 'Edgar Buchanan', 'Tom Lester', 'Christopher Connelly']","$500,000 (estimated)",,"$39,552,000","$39,552,000","May 31, 1974",['United States'],"Denton, Texas, USA",['Mulberry Square Productions'],1 win & 2 nominations total,"['Animal Adventure', 'Adventure', 'Family', 'Romance']",['English']
8. Herbie Rides Again,1974,1h 28m,G,5.7,9.1K,49.0,The living Volkswagen Beetle helps an old lady protect her home from a corrupt developer.,https://www.imdb.com/title/tt0071607/?ref_=sr_i_8,"['Helen Hayes', 'Ken Berry', 'Stefanie Powers']",Robert Stevenson,"['Helen Hayes', 'Ken Berry', 'Stefanie Powers', 'John McIntire', 'Keenan Wynn', 'Huntz Hall', 'Ivor Barry', 'Dan Tobin', 'Vito Scotti', 'Raymond Bailey']",,,"$38,229,000","$38,229,000","June 6, 1974",['United States'],"Backlot, Walt Disney Studios, 500 South Buena Vista Street, Burbank, California, USA",['Walt Disney Productions'],1 nomination total,"['Comedy', 'Family', 'Fantasy', 'Romance']",['English']
9. The Texas Chain Saw Massacre,1974,1h 23m,R,7.4,195K,91.0,"Five friends head out to rural Texas to visit the grave of a grandfather. On the way they stumble across what appears to be a deserted house, only to discover something sinister within. Something armed with a chainsaw.",https://www.imdb.com/title/tt0072271/?ref_=sr_i_9,"['Kim Henkel', 'Tobe Hooper']",Tobe Hooper,"['Marilyn Burns', 'Edwin Neal', 'Allen Danziger', 'Paul A. Partain', 'William Vail', 'Teri McMinn', 'Jim Siedow', 'Gunnar Hansen', 'John Dugan', 'Robert Courtin']","$140,000 (estimated)",,"$30,920,518","$30,859,000","October 11, 1974",['United States'],"Bilbo's Texas Landmark - 1073 State Highway 304, Bastrop, Texas, USA",['Vortex'],4 wins & 2 nominations total,"['B-Horror', 'Psychological Horror', 'Slasher Horror', 'Splatter Horror', 'Teen Horror', 'Horror']",['English']
10. Chinatown,1974,2h 10m,R,8.1,361K,92.0,"A private detective hired to expose an adulterer in 1930s Los Angeles finds himself caught up in a web of deceit, corruption, and murder.",https://www.imdb.com/title/tt0071315/?ref_=sr_i_10,"['Jack Nicholson', 'Faye Dunaway', 'John Huston']",Roman Polanski,"['Jack Nicholson', 'Faye Dunaway', 'John Huston', 'Perry Lopez', 'John Hillerman', 'Darrell Zwerling', 'Diane Ladd', 'Roy Jenson', 'Roman Polanski', 'Richard Bakalyan']","$6,000,000 (estimated)",,"$29,231,954","$29,200,000","June 20, 1974",['United States'],"Big Tujunga Wash at Foothill Blvd., Sunland, Los Angeles, California, USA","['Paramount Pictures', 'Penthouse Video', 'Long Road Productions']",21 wins & 24 nominations total,"['Conspiracy Thriller', 'Hard-boiled Detective', 'Psychological Drama', 'Psychological Thriller', 'Tragedy', 'Drama', 'Mystery', 'Thriller']","['English', 'Cantonese', 'Spanish']"
11. Murder on the Orient Express,1974,2h 8m,PG,7.2,71K,62.0,"In December 1935, when his transcontinental luxury train is stranded by deep snow, detective Hercule Poirot is called on to solve a murder that occurred in his car the night before, with a multitude of suspects.",https://www.imdb.com/title/tt0071877/?ref_=sr_i_11,"['Albert Finney', 'Lauren Bacall', 'Ingrid Bergman']",Sidney Lumet,"['Albert Finney', 'Lauren Bacall', 'Ingrid Bergman', 'Sean Connery', 'Martin Balsam', 'Jacqueline Bisset', 'Jean-Pierre Cassel', 'John Gielgud', 'Wendy Hiller', 'Anthony Perkins']","£1,500,000 (estimated)",,"$27,659,517","$27,634,716","November 24, 1974",['United Kingdom'],"Istanbul, Turkey","['EMI Film Distributors', 'G.W. Films Limited']",10 wins & 17 nominations total,"['Suspense Mystery', 'Whodunnit', 'Crime', 'Drama', 'Mystery', 'Thriller']","['English', 'French', 'German', 'Turkish', 'Italian', 'Swedish', 'Hungarian']"
12. That's Entertainment!,1974,2h 15m,G,7.8,5.5K,73.0,Various MGM stars from yesteryear present their favorite musical moments from the studio's 50-year history.,https://www.imdb.com/title/tt0072272/?ref_=sr_i_12,"['Fred Astaire', 'Gene Kelly', 'Bing Crosby']",Jack Haley Jr.,"['Fred Astaire', 'Gene Kelly', 'Bing Crosby', 'Peter Lawford', 'Liza Minnelli', ""Donald O'Connor"", 'Debbie Reynolds', 'Mickey Rooney', 'Frank Sinatra', 'James Stewart']","$3,200,000 (estimated)",,"$26,890,200","$26,890,200","June 21, 1974",['United States'],"Hollywood, Los Angeles, California, USA",['Metro-Goldwyn-Mayer (MGM)'],2 wins & 1 nomination total,"['Documentary', 'Family', 'Musical']",['English']
13. Death Wish,1974,1h 33m,R,6.9,46K,51.0,"A New York City architect becomes a one-man vigilante squad after his wife is murdered by street punks. In self-defense, the vengeful man kills muggers on the mean streets after dark.",https://www.imdb.com/title/tt0071402/?ref_=sr_i_13,"['Brian Garfield', 'Wendell Mayes', 'Gerald Wilson']",Michael Winner,"['Charles Bronson', 'Hope Lange', 'Vincent Gardenia', 'Steven Keats', 'William Redfield', 'Stuart Margolin', 'Stephen Elliott', 'Kathleen Tolan', 'Jack Wallace', 'Fred J. Scollay']","$3,000,000 (estimated)",,"$22,000,000","$22,000,000","July 24, 1974","['United States', 'United Kingdom', 'Italy']","Bear Down Gym, University of Arizona, Tucson, Arizona, USA","['Dino De Laurentiis', 'Landers-Roberts Productions', 'Scimitar Films']",1 win & 2 nominations total,"['One-Person Army Action', 'Action', 'Crime', 'Drama', 'Thriller']","['English', 'Italian', 'German', 'French']"
14. Thunderbolt and Lightfoot,1974,1h 55m,R,7.0,30K,62.0,"With the help of an irreverent young sidekick, a bank robber gets his old gang back together to organize a daring new heist.",https://www.imdb.com/title/tt0072288/?ref_=sr_i_14,"['Clint Eastwood', 'Jeff Bridges', 'George Kennedy']",Michael Cimino,"['Clint Eastwood', 'Jeff Bridges', 'George Kennedy', 'Geoffrey Lewis', 'Catherine Bach', 'Gary Busey', 'Jack Dodson', 'Eugene Elman', 'Burton Gilliam', 'Roy Jenson']","$2,200,000 (estimated)",,"$21,700,000","$21,700,000","May 24, 1974",['United States'],"Diversion Lake, Lewis and Clark National Forest, Montana, USA",['The Malpaso Company'],1 nomination total,"['Caper', 'Dark Comedy', 'Heist', 'Action', 'Comedy', 'Crime', 'Drama']",['English']
15. The Man with the Golden Gun,1974,2h 5m,PG,6.7,116K,43.0,"James Bond is targeted by the world's most expensive assassin, while he attempts to recover sensitive solar cell technology that is being sold to the highest bidder.",https://www.imdb.com/title/tt0071807/?ref_=sr_i_15,"['Roger Moore', 'Christopher Lee', 'Britt Ekland']",Guy Hamilton,"['Roger Moore', 'Christopher Lee', 'Britt Ekland', 'Maud Adams', 'Hervé Villechaize', 'Clifton James', 'Richard Loo', 'Soon-Tek Oh', 'Marc Lawrence', 'Bernard Lee']","$7,000,000 (estimated)",,"$20,972,986","$20,972,000","December 20, 1974",['United Kingdom'],"James Bond Island, Phang Nga Bay, Thailand",['Eon Productions'],2 wins & 1 nomination total,"['Spy', 'Action', 'Adventure', 'Thriller']","['English', 'Thai', 'Cantonese']"
16. The Great Gatsby,1974,2h 24m,PG,6.4,27K,43.0,"A Midwesterner becomes fascinated with his nouveau riche neighbor, who obsesses over his lost love.",https://www.imdb.com/title/tt0071577/?ref_=sr_i_16,"['Robert Redford', 'Mia Farrow', 'Bruce Dern']",Jack Clayton,"['Robert Redford', 'Mia Farrow', 'Bruce Dern', 'Karen Black', 'Scott Wilson', 'Sam Waterston', 'Lois Chiles', 'Howard Da Silva', 'Roberts Blossom', 'Edward Herrmann']","$6,500,000 (estimated)",,"$20,563,766","$20,563,273","March 29, 1974",['United States'],"Marble House - 596 Bellevue Avenue, Newport, Rhode Island, USA","['Paramount Pictures', 'Newdon Productions']",7 wins & 4 nominations total,"['Tragedy', 'Drama', 'Romance']",['English']
17. Alice Doesn't Live Here Anymore,1974,1h 52m,PG,7.3,28K,78.0,"A recently-widowed woman is on the road with her precocious young son, determined to make a new life for herself as a singer.",https://www.imdb.com/title/tt0071115/?ref_=sr_i_17,"['Ellen Burstyn', 'Kris Kristofferson', 'Mia Bendixsen']",Martin Scorsese,"['Ellen Burstyn', 'Kris Kristofferson', 'Mia Bendixsen', 'Alfred Lutter III', 'Billy Green Bush', 'Lelia Goldoni', 'Ola Moore', 'Harry Northup', 'Marty Brinton', 'Dean Casper']","$1,800,000 (estimated)",,"$18,600,211","$18,600,000","May 23, 1975",['United States'],"Chicago Music Store - 130 E Congress Street, Tucson, Arizona, USA",['Warner Bros.'],6 wins & 11 nominations total,"['Drama', 'Romance']",['English']
18. The Sugarland Express,1974,1h 50m,PG,6.7,20K,65.0,A woman attempts to reunite her family by helping her husband escape prison and together kidnapping their son. But things don't go as planned when they are forced to take a police hostage on the road.,https://www.imdb.com/title/tt0072226/?ref_=sr_i_18,"['Hal Barwood', 'Matthew Robbins', 'Steven Spielberg']",Steven Spielberg,"['Goldie Hawn', 'Ben Johnson', 'Michael Sacks', 'William Atherton', 'Gregory Walcott', 'Steve Kanaly', 'Louise Latham', 'Harrison Zanuck', 'A.L. Camp', 'Jessie Lee Fulton']","$3,000,000 (estimated)",,"$7,505,037","$7,500,000","May 29, 1974",['United States'],"San Antonio, Texas, USA","['Universal Pictures', 'Zanuck/Brown Productions']",2 wins & 5 nominations total,"['Dark Comedy', 'Crime', 'Drama']",['English']
19. The Conversation,1974,1h 53m,PG,7.7,127K,88.0,"A paranoid, secretive surveillance expert has a crisis of conscience when he suspects that the couple he is spying on will be murdered.",https://www.imdb.com/title/tt0071360/?ref_=sr_i_19,"['Gene Hackman', 'John Cazale', 'Allen Garfield']",Francis Ford Coppola,"['Gene Hackman', 'John Cazale', 'Allen Garfield', 'Frederic Forrest', 'Cindy Williams', 'Michael Higgins', 'Elizabeth MacRae', 'Teri Garr', 'Harrison Ford', 'Mark Wheeler']","$1,600,000 (estimated)","$5,494","$4,886,886","$4,852,199","April 12, 1974",['United States'],"American Roofing Co. Building - 1616 16th Street, Potrero Hill, San Francisco, California, USA","['The Directors Company', 'The Coppola Company', 'American Zoetrope']",14 wins & 17 nominations total,"['Conspiracy Thriller', 'Psychological Drama', 'Psychological Thriller', 'Drama', 'Mystery', 'Thriller']",['English']
20. A Poem Is a Naked Person,1974,1h 30m,Not Rated,7.1,570,76.0,Les Blank's first feature-length documentary captures music and other events at Leon Russell's Oklahoma recording studio during a three-year period (1972-1974).,https://www.imdb.com/title/tt0424359/?ref_=sr_i_20,"['Leon Russell', 'Eric Andersen', 'Richard V. Armstrong']",Les Blank,"['Leon Russell', 'Eric Andersen', 'Richard V. Armstrong', 'Audie Ashworth', 'Malissa Bates', 'Chuck Blackwell', 'Les Blank', 'Harold Bradley', 'David Briggs', 'Homer Brown']",,"$5,526","$96,775","$96,592","July 8, 2016",['United States'],"Anaheim, California, USA","['Les Blank Films', 'Skyhill Films']",1 nomination total,"['Documentary', 'Music']",['English']
21. Celine and Julie Go Boating,1974,3h 13m,Unrated,7.2,6.6K,100.0,A mysteriously linked pair of young women find their daily lives preempted by a strange boudoir melodrama that plays itself out in a hallucinatory parallel reality.,https://www.imdb.com/title/tt0071381/?ref_=sr_i_21,"['Juliet Berto', 'Dominique Labourier', 'Bulle Ogier']",Jacques Rivette,"['Juliet Berto', 'Dominique Labourier', 'Bulle Ogier', 'Marie-France Pisier', 'Barbet Schroeder', 'Nathalie Asnar', 'Marie-Thérèse Saussure', 'Philippe Clévenot', 'Anne Zamire', 'Jean Douchet']",,"$5,624","$31,452","$31,452","September 18, 1974",['France'],"Montmartre, Paris 18, Paris, France","['Action Films', 'Les Films 7', 'Les Films Christian Fechner']",1 win total,"['Dark Comedy', 'Slapstick', 'Comedy', 'Drama', 'Fantasy', 'Mystery']",['French']
22. Hearts and Minds,1974,1h 52m,R,8.2,6.3K,68.0,A startling and courageous landmark documentary that unflinchingly confronted the United States' involvement in Vietnam at the height of the controversy that surrounded it.,https://www.imdb.com/title/tt0071604/?ref_=sr_i_22,"['Tin Chan', 'Chau Diem', 'Ngo Dinh Diem']",Peter Davis,"['Tin Chan', 'Chau Diem', 'Ngo Dinh Diem', 'John Foster Dulles', 'Kay Dvorshock', 'Dwight D. Eisenhower', 'David Emerson', 'Mui Duc Giang', 'Charles Hoey', 'Stan Holder']",,"$8,556","$28,754","$28,754","November 17, 1975",['United States'],"Linden, New Jersey, USA","['Audjeff', 'BBS Productions', 'Rainbow Releasing']",5 wins & 1 nomination total,"['Documentary', 'History', 'War']","['English', 'French', 'Vietnamese']"
23. Stavisky,1974,2h,PG,6.5,2.6K,,A swindler's activity indirectly caused a political crisis in France in the last years before World War II.,https://www.imdb.com/title/tt0072204/?ref_=sr_i_23,"['Jean-Paul Belmondo', 'Charles Boyer', 'François Périer']",Alain Resnais,"['Jean-Paul Belmondo', 'Charles Boyer', 'François Périer', 'Anny Duperey', 'Michael Lonsdale', 'Roberto Bisacco', 'Claude Rich', 'Pierre Vernier', 'Marcel Cuvelier', 'Van Doude']",,"$4,734","$13,793","$13,793","May 15, 1974","['France', 'Italy']","Paris Studios Cinéma, Billancourt, Hauts-de-Seine, France","['Cerito Films', 'Les Films Ariane', 'Simar Films']",3 wins & 1 nomination total,"['Biography', 'Crime', 'Drama']","['French', 'English']"
24. Ali: Fear Eats the Soul,1974,1h 33m,Not Rated,8.0,25K,,"A lonely widow meets a much younger Moroccan worker in a bar during a rainstorm. They fall in love, to their own surprise and to the outright shock of their families, colleagues, and drinking buddies.",https://www.imdb.com/title/tt0071141/?ref_=sr_i_24,"['Brigitte Mira', 'El Hedi ben Salem', 'Barbara Valentin']",Rainer Werner Fassbinder,"['Brigitte Mira', 'El Hedi ben Salem', 'Barbara Valentin', 'Irm Hermann', 'Elma Karlowa', 'Anita Bucher', 'Gusti Kreissl', 'Doris Mattes', 'Margit Symo', 'Katharina Herberg']","DEM260,000 (estimated)","$11,623","$16,247","$8,144","October 31, 1974",['West Germany'],"Munich, Bavaria, Germany","['Tango Film', 'Filmverlag der Autoren']",4 wins & 1 nomination total,"['Feel-Good Romance', 'Political Drama', 'Drama', 'Romance']","['German', 'Arabic']"
25. Effi Briest,1974,2h 15m,Not Rated,6.9,2.8K,,"In the nineteenth century, seventeen year old Effi Briest is married to the older Baron von Instetten and moves into a house, that she believes has a ghost, in a small isolated Baltic town. She soon bears a daughter, Annie, and hires the lapsed Catholic Roswitha to look after her. Effi is lonely when her husband is away on business, so she spends time riding and walking along the shore with Major Crampas. Instetten is promoted to Ministerial Councillor and the family moves to Berlin, where Effi enjoys the social life. Six years later, the Baron is given letters from Crampas to Effi that convince him that they had an affair. He feels obliged to challenge Crampas to a duel and banish Effi from the house.",https://www.imdb.com/title/tt0071458/?ref_=sr_i_25,"['Hanna Schygulla', 'Wolfgang Schenck', 'Ulli Lommel']",Rainer Werner Fassbinder,"['Hanna Schygulla', 'Wolfgang Schenck', 'Ulli Lommel', 'Karlheinz Böhm', 'Lilo Pempeit', 'Herbert Steinmetz', 'Ursula Strätz', 'Irm Hermann', 'Karl Scheydt', 'Barbara Lass']","DEM750,000 (estimated)","$11,623","$8,148","$8,144","June 16, 1977",['West Germany'],"Neustadt, Schleswig-Holstein, Germany",['Tango Film'],1 win & 1 nomination total,"['Drama', 'History']",['German']
26. Swept Away,1974,1h 54m,R,7.5,7K,67.0,A trip into the Mediterranean sea becomes a trip into the discovery of how society's frameworks of the rich and poor are delicate and temporary.,https://www.imdb.com/title/tt0073817/?ref_=sr_i_26,['Lina Wertmüller'],Lina Wertmüller,"['Giancarlo Giannini', 'Mariangela Melato', 'Riccardo Salvino', 'Isa Danieli', 'Aldo Puglisi', 'Anna Melita', 'Giuseppe Durini', 'Lucrezia De Domizio', 'Luis Suárez', 'Vittorio Fanfoni']",,"$1,011","$7,876","$7,876","September 17, 1975",['Italy'],"Tortolì, Sardinia, Italy","['Cam Sugar', 'Medusa Distribuzione']",4 wins & 4 nominations total,"['Survival', 'Adventure', 'Comedy', 'Drama']","['Italian', 'French']"
27. The Phantom of Liberty,1974,1h 44m,R,7.8,18K,,A series of surreal sequences that critique morality and society in a stream of consciousness style.,https://www.imdb.com/title/tt0071487/?ref_=sr_i_27,"['Jean-Claude Brialy', 'Adolfo Celi', 'Michel Piccoli']",Luis Buñuel,"['Jean-Claude Brialy', 'Adolfo Celi', 'Michel Piccoli', 'Monica Vitti', 'Adriana Asti', 'Julien Bertheau', 'Paul Frankeur', 'Michael Lonsdale', 'Pierre Maguelon', 'François Maistre']",,"$6,172","$6,749","$6,172","October 27, 1974","['France', 'Italy']","Tour Montparnasse - 33, avenue Maine, Paris 15, Paris, France",['Greenwich Film Productions'],2 wins total,"['Dark Comedy', 'Satire', 'Comedy']","['Latin', 'Spanish', 'French']"
"28. Vincent, François, Paul and the Others",1974,1h 58m,Not Rated,7.3,2.8K,,"Three friends face mid-life crises. Paul is a writer who's blocked. François has lost his ideals and practices medicine for the money. The charming Vincent faces bankruptcy and his wife, from whom he's separated, wants a divorce.",https://www.imdb.com/title/tt0072368/?ref_=sr_i_28,"['Yves Montand', 'Michel Piccoli', 'Serge Reggiani']",Claude Sautet,"['Yves Montand', 'Michel Piccoli', 'Serge Reggiani', 'Gérard Depardieu', 'Stéphane Audran', 'Marie Dubois', 'Umberto Orsini', 'Ludmila Mikaël', 'Antonella Lualdi', 'Catherine Allégret']",,,"$5,603","$5,063","October 20, 1974","['France', 'Italy']","Epinay-sur-Seine, Seine-Saint-Denis, France","['Lira Films', 'President Produzioni']",,['Drama'],['French']
29. Promised Lands,1974,1h 27m,Not Rated,6.3,66,,"This is Susan Sontag's documentary about Israel, shot during the Yom Kippur war. Much of it is strictly observational.",https://www.imdb.com/title/tt0072041/?ref_=sr_i_29,[],Susan Sontag,"['Yoram Kaniuk', ""Yuval Ne'eman""]",,$797,"$4,546","$4,546","December 19, 1974","['Poland', 'France']",,,,"['Documentary', 'War']","['English', 'French']"
30. Emmanuelle,1974,1h 35m,Unrated,5.2,12K,,The wife of a French diplomat in Bangkok embarks on a voyage of self-discovery.,https://www.imdb.com/title/tt0071464/?ref_=sr_i_30,"['Sylvia Kristel', 'Alain Cuny', 'Marika Green']",Just Jaeckin,"['Sylvia Kristel', 'Alain Cuny', 'Marika Green', 'Daniel Sarky', 'Jeanne Colletin', 'Christine Boisson', 'Samantha', 'Gabriel Briand', 'Gregory', 'Yves Rousset-Rouard']","$500,000 (estimated)",,,,"December 3, 1974",['France'],"Chiang Mai, Thailand","['Trinacra Films', 'Orphée Productions']",,"['Steamy Romance', 'Drama', 'Romance']",['French']
31. Can You Keep It Up for a Week?,1974,1h 32m,R,4.5,389,,Blundering idiot is set an ultimatum by his girlfriend. Keep a job for a week or she leaves him. Only innuendo and comedy pratfalls can stop him.,https://www.imdb.com/title/tt0071273/?ref_=sr_i_31,"['Jeremy Bulloch', 'Neil Hallett', 'Jill Damas']",Jim Atkinson,"['Jeremy Bulloch', 'Neil Hallett', 'Jill Damas', 'Joy Harington', 'Maria Coyne', 'Lynne Ross', 'Valerie Phillips', 'Frances Bennett', 'Sally Harrison', 'Sue Longhurst']",,,,,1974,['United Kingdom'],"Holiday Inn London Heathrow, Sipson Road, Heathrow Airport, West Drayton, Greater London, England, UK",['Pyramid Films'],,"['Slapstick', 'Comedy']",['English']
32. Zardoz,1974,1h 45m,R,5.8,25K,46.0,"In the late 23rd century, a savage trained only to kill finds a way into the community of bored immortals that alone preserves humanity's achievements.",https://www.imdb.com/title/tt0070948/?ref_=sr_i_32,"['Sean Connery', 'Charlotte Rampling', 'Sara Kestelman']",John Boorman,"['Sean Connery', 'Charlotte Rampling', 'Sara Kestelman', 'John Alderton', 'Sally Anne Newton', 'Niall Buggy', 'Bosco Hogan', 'Jessica Swift', 'Bairbre Dowling', 'Christopher Casson']","$1,570,000 (estimated)",,"$7,227",,"February 6, 1974","['Ireland', 'United States']","Brennanstown Riding School, Bray, County Wicklow, Ireland","['John Boorman Productions', 'Twentieth Century Fox']",2 nominations total,"['Adventure', 'Fantasy', 'Sci-Fi']","['English', 'Italian', 'Swedish', 'Latin', 'German', 'French', 'Irish Gaelic']"
33. A Woman Under the Influence,1974,2h 35m,R,8.0,31K,88.0,"Although wife and mother Mabel is loved by her husband Nick, her mental illness places a strain on the marriage.",https://www.imdb.com/title/tt0072417/?ref_=sr_i_33,"['Gena Rowlands', 'Peter Falk', 'Fred Draper']",John Cassavetes,"['Gena Rowlands', 'Peter Falk', 'Fred Draper', 'Lady Rowlands', 'Katherine Cassavetes', 'Matthew Labyorteaux', 'Matthew Cassel', 'Christina Grisanti', 'George Dunn', 'Mario Gallo']","$1,000,000 (estimated)",,"$25,601",,"November 18, 1974",['United States'],"1741 N. Taft Avenue, Hollywood, Los Angeles, California, USA",['Faces'],10 wins & 7 nominations total,"['Drama', 'Romance']","['English', 'Italian']"
34. Black Christmas,1974,1h 38m,R,7.1,52K,65.0,"During their Christmas break, a group of sorority girls are stalked by a stranger.",https://www.imdb.com/title/tt0071222/?ref_=sr_i_34,"['Olivia Hussey', 'Keir Dullea', 'Margot Kidder']",Bob Clark,"['Olivia Hussey', 'Keir Dullea', 'Margot Kidder', 'John Saxon', 'Marian Waldman', 'Andrea Martin', 'James Edmond', 'Doug McGrath', 'Art Hindle', 'Lynne Griffin']","$620,000 (estimated)",,"$4,316",,"December 20, 1974",['Canada'],"6 Clarendon Crescent, Toronto, Ontario, Canada","['August Films', 'Canadian Film Development Corporation (CFDC)', 'Famous Players']",3 wins & 2 nominations total,"['Slasher Horror', 'Whodunnit', 'Holiday', 'Horror', 'Mystery', 'Thriller']","['English', 'Latin']"
