Title,Year,Duration,MPA,IMBD_Rating,Votes,méta_score,description,Movie Link,writers,director,stars,budget,opening_weekend_Gross,grossWorldWWide,gross_US_Canada,release_date,countries_origin,filming_locations,production_company,awards_content,genres,Languages
106. Heart Beat,1980,1h 50m,R,5.7,759,,"The life and friendship among the icons of the Beat Generation: Neal Cassady, Carolyn Cassady, and Jack Kerouac.",https://www.imdb.com/title/tt0080854/?ref_=sr_i_106,"['Nick Nolte', 'Sissy Spacek', 'John Heard']",John Byrum,"['Nick Nolte', 'Sissy Spacek', 'John Heard', 'Ray Sharkey', 'Ann Dusenberry', 'Margaret Fairchild', 'Tony Bill', 'Mary Margaret Amato', 'Kent Williams', 'Susan Niven']",,"$74,303","$954,046","$954,046","September 24, 1980",['United States'],"Rockwell Defense Plant - Bellflower & Imperial Highway, Downey, California, USA","['Further Productions', 'Orion Pictures']",,['Drama'],['English']
107. One-Trick Pony,1980,1h 38m,R,6.0,803,,"Jonah (Paul Simon) is a once-popular folk-rock musician trying to put together a new album in the face of an indifferent record-company executive and a talentless producer. At the same time, he's struggling to save his failing marriage.",https://www.imdb.com/title/tt0081280/?ref_=sr_i_107,"['Paul Simon', 'Blair Brown', 'Rip Torn']",Robert M. Young,"['Paul Simon', 'Blair Brown', 'Rip Torn', 'Joan Hackett', 'Allen Garfield', 'Mare Winningham', 'Michael Pearlman', 'Lou Reed', 'Steve Gadd', 'Eric Gale']",,"$150,809","$843,215","$843,215","October 3, 1980",['United States'],"Cleveland, Ohio, USA",['Warner Bros.'],1 nomination total,"['Comedy', 'Drama', 'Music', 'Romance']",['English']
"108. Those Lips, Those Eyes",1980,1h 45m,R,6.4,337,,Stagestruck adolescent learns about love the hard way while interning in Cleveland summer stock during the early '50's.,https://www.imdb.com/title/tt0081625/?ref_=sr_i_108,"['Frank Langella', ""Glynnis O'Connor"", 'Tom Hulce']",Michael Pressman,"['Frank Langella', ""Glynnis O'Connor"", 'Tom Hulce', 'Jerry Stiller', 'Herbert Berghof', 'Kevin McCarthy', 'Joseph Maher', 'George Morfogen', 'Marshall Colt', 'Anthony Mannino']",,"$63,766","$804,713","$804,713","August 15, 1980",['United States'],"Cleveland Heights, Ohio, USA",['Herb Jaffe'],,"['Comedy', 'Romance']",['English']
109. A Small Circle of Friends,1980,1h 53m,R,5.9,520,,"Harvard in the 60's: a time of social upheaval and student unrest. Three students bond together, challenge the system, and begin to lose their ideals.",https://www.imdb.com/title/tt0081528/?ref_=sr_i_109,"['Brad Davis', 'Karen Allen', 'Jameson Parker']",Rob Cohen,"['Brad Davis', 'Karen Allen', 'Jameson Parker', 'Shelley Long', 'John Friedrich', 'Gary Springer', 'Craig Richard Nelson', 'Harry Caesar', 'Nan Martin', 'Daniel Stern']","$6,000,000 (estimated)","$61,109","$766,760","$766,760","October 9, 1980",['United States'],"Harvard University, Cambridge, Massachusetts, USA",['Small Circle of Friends Inc.'],,['Drama'],['English']
110. Sunday Lovers,1980,2h 5m,R,5.5,445,,"A sex comedy anthology containing four stories, each from a different country (England, France, the U.S., and Italy).",https://www.imdb.com/title/tt0081591/?ref_=sr_i_110,"['Bryan Forbes', 'Édouard Molinaro', 'Dino Risi']",Bryan Forbes,"['Roger Moore', 'Lino Ventura', 'Ugo Tognazzi', 'Gene Wilder', 'Lynn Redgrave', 'Kathleen Quinlan', 'Catherine Salviat', 'Priscilla Barnes', 'Liù Bosisio', 'Denholm Elliott']",,,"$621,931","$621,931","October 31, 1980","['France', 'Italy', 'United Kingdom', 'United States']","Heathrow Airport, The Compass Centre, Nelson Road, Hounslow, Greater London, England, UK","['Viaduc Productions', 'Medusa Distribuzione']",,"['Comedy', 'Drama', 'Romance']","['French', 'English', 'Italian']"
111. Cattle Annie and Little Britches,1980,1h 37m,PG,6.1,1K,,"In 19th-century Oklahoma, two teen girls who love stories about outlaws are on a quest to meet and join up with them. They find a shadow of a former gang and, although disappointed, still try to help them escape from a vigorous Marshal.",https://www.imdb.com/title/tt0082145/?ref_=sr_i_111,"['David Eyre', 'Robert Ward']",Lamont Johnson,"['Scott Glenn', 'Redmond Gleeson', 'William Russ', 'Kenny Call', 'John Savage', 'Buck Taylor', 'Michael Conrad', 'Amanda Plummer', 'Diane Lane', 'Burt Lancaster']","$5,100,000 (estimated)","$115,679","$534,816","$534,816","April 24, 1981",['United States'],"Durango, Mexico","['Cattle Annie Productions', 'Hemdale', 'Monday Films']",1 win total,"['Coming-of-Age', 'Costume Drama', 'Period Drama', 'Drama', 'Western']",['English']
112. Leo and Loree,1980,1h 37m,PG,4.9,78,,"Ralph Malph from Philly moves to Hollywood with dreams of making it big, amazingly hooks up with starlet-to-be, loses starlet-to-be, gets back starlet-to-be, and becomes someone.",https://www.imdb.com/title/tt0081044/?ref_=sr_i_112,['James Ritz'],Jerry Paris,"['Don Most', 'Linda Purl', 'David Huffman', 'Jerry Paris', 'Shannon Farnon', 'Allan Rich', 'Susan Lawrence', 'Alicia Dhanifu', 'Jill Jacobson']",,,"$517,988","$517,988",April 1980,['United States'],"Cheviot Hills Rec Center Baseball Diamond, California","['Big H Productions', 'Major H Productions']",,"['Comedy', 'Romance']",['English']
113. The Sea Wolves,1980,2h,PG,6.3,5.6K,,"During World War II, British Intelligence brings a crew of ex-soldiers out of retirement, using their age as cover, to take to the seas and pull off an unlikely undercover mission in neutral Goa.",https://www.imdb.com/title/tt0081470/?ref_=sr_i_113,"['Gregory Peck', 'Roger Moore', 'David Niven']",Andrew V. McLaglen,"['Gregory Peck', 'Roger Moore', 'David Niven', 'Trevor Howard', 'Barbara Kellerman', 'Patrick Macnee', 'Kenneth Griffith', 'Patrick Allen', 'Wolf Kahler', 'Robert Hoffmann']","$12,000,000 (estimated)",,"$220,181","$220,181","June 5, 1981","['United Kingdom', 'United States', 'Switzerland']","Goa, India","['Lorimar Productions', 'Richmond Light Horse Productions', 'Varius Entertainment Trading A.G.']",,"['Spy', 'Action', 'History', 'War']","['English', 'German', 'Portuguese']"
114. Babylon,1980,1h 35m,,7.3,2.1K,80.0,The movie centres around Brindsley Forde's character Blue. He fronts a reggae sound system based in South West London (Brixton). The film captures the trials and tribulations of young black youths in troubled London in the early eighties.,https://www.imdb.com/title/tt0080406/?ref_=sr_i_114,"['David N. Haynes', 'Trevor Laird', 'Victor Romero Evans']",Franco Rosso,"['David N. Haynes', 'Trevor Laird', 'Victor Romero Evans', 'Brian Bovell', 'Archie Pool', 'Brinsley Forde', 'Karl Howman', 'Beverley Michaels', 'Ann Duncan', 'Beverley Dublin']",,"$21,214","$111,456","$109,749",November 1980,"['United Kingdom', 'Italy']","London, England, UK",['Diversity Music'],,['Drama'],['English']
115. Phobia,1980,1h 31m,R,4.3,904,,"A psychiatrist involved in a radical new therapy comes under suspicion when his patients are murdered, each according to their individual phobias.",https://www.imdb.com/title/tt0081334/?ref_=sr_i_115,"['Lew Lehman', 'Jimmy Sangster', 'Peter Bellwood']",John Huston,"['Paul Michael Glaser', 'Susan Hogan', 'John Colicos', 'David Bolt', 'Patricia Collins', 'David Eisner', 'Lisa Langlois', ""Robert O'Ree"", 'Alexandra Stewart', 'Neil Vipond']","$5,100,000 (estimated)",,"$59,167","$59,167","September 26, 1980",['Canada'],"Humber College - 3199 Lake Shore Blvd, Toronto, Ontario, Canada",['Borough Park Productions'],2 nominations total,"['Drama', 'Horror', 'Thriller']",['English']
