Writer,Count,TotalGrossWorldWide,AverageGrossPerFilm,WriterWeight
Raghav Juyal,1,1930699.0,1930699.0,1338258.5683599059
Tanya Maniktala,1,1930699.0,1930699.0,1338258.5683599059
Yûichi Nakamura,1,187520234.02316123,187520234.02316123,129979121.51109533
Megumi Ogata,1,187520234.02316123,187520234.02316123,129979121.51109533
Kana Hanazawa,1,187520234.02316123,187520234.02316123,129979121.51109533
Leslie Mann,4,662549905.0483233,165637476.26208082,266583234.0160962
Ike Barinholtz,3,401925453.7397512,133975151.24658374,185728996.7033235
John Cena,5,906421011.7114986,181284202.34229973,324817686.1682703
Drew Starkey,1,168099.0,168099.0,116517.34790494625
Josephine Langford,3,44659836.88487302,14886612.294957673,20637226.680677857
Archie Renaux,1,168099.0,168099.0,116517.34790494625
James L. White,1,199969964.0548015,199969964.0548015,138608616.78125927
Taylor Hackford,1,199969964.0548015,199969964.0548015,138608616.78125927
Tracee Ellis Ross,1,46451753.91664978,46451753.91664978,32197902.25939019
Idris Elba,6,411929538.416832,68654923.069472,133596311.58349732
Gabrielle Union,6,380439716.962341,63406619.493723504,123383584.39012504
Anton Yelchin,5,592848056.9173052,118569611.38346104,212448223.9590069
Alia Shawkat,1,4843259.868296367,4843259.868296367,3357091.922428759
Bernadette Peters,3,50660702.09838329,16886900.6994611,23410215.216454457
Randy Quaid,6,119606921.71487626,19934486.952479377,38790720.47704034
Andy Kaufman,1,7222664.252937294,7222664.252937294,5006369.363054588
Tom Hanks,23,5811956761.359323,252693772.23301402,803074410.7502016
Tyler Hoechlin,2,312464017.1362399,156232008.56811994,171638404.496238
Gary Farmer,2,2900299.454527892,1450149.727263946,1593152.310780879
Joanelle Romero,1,730839.2087404904,730839.2087404904,506579.1369811322
A Martinez,1,730839.2087404904,730839.2087404904,506579.1369811322
Stephen Amidon,1,13017681.91236945,13017681.91236945,9023169.51498508
Michael Zadoorian,1,13017681.91236945,13017681.91236945,9023169.51498508
Francesca Archibugi,1,13017681.91236945,13017681.91236945,9023169.51498508
Larenz Tate,5,181707409.66856772,36341481.93371354,65115194.38051152
Timothy Olyphant,6,237398811.3544758,39566468.5590793,76992792.73139036
Vin Diesel,13,6961262423.041227,535481724.8493252,1413166970.8386326
Max Morgan Witts,1,13918624.655048544,13918624.655048544,9647655.43691904
Carl Foreman,1,13918624.655048544,13918624.655048544,9647655.43691904
Gordon Thomas,1,13918624.655048544,13918624.655048544,9647655.43691904
Reeve Brenner,1,3201025.363619632,3201025.363619632,2218781.7056938214
Hank Greenberg,1,3201025.363619632,3201025.363619632,2218781.7056938214
Bill Collage,5,872608210.0922318,174521642.01844636,312700804.67178005
Emily Fox,1,34341199.37454738,34341199.37454738,23803505.523514472
Adam Cooper,5,872608210.0922318,174521642.01844636,312700804.67178005
Murilo Benício,1,18038418.561835077,18038418.561835077,12503278.967896167
Penélope Cruz,14,1618207525.7742562,115586251.8410183,313013372.5427203
Harold Perrineau,1,18038418.561835077,18038418.561835077,12503278.967896167
James Franco,4,752067353.3664935,188016838.34162337,302601427.803002
Felicity Jones,4,492369151.10815144,123092287.77703786,198109394.67661333
Jerry Adler,1,23893088.19046367,23893088.19046367,16561426.714090018
Leon Isaac Kennedy,3,15443788.673714593,5147929.557904865,7136545.717565925
Anthony Geary,2,5854848.964609496,2927424.482304748,3216104.5104078758
Steve Antin,4,43263875.17961939,10815968.794904847,17407630.23822403
Ronee Blakley,1,56602111.82550186,56602111.82550186,39233594.22558535
Keith Carradine,6,115740904.32442403,19290150.720737338,37536900.06428945
Karen Black,1,56602111.82550186,56602111.82550186,39233594.22558535
Bob Marley,1,5100068.403956549,5100068.403956549,3535098.034865342
Rita Marley,1,5100068.403956549,5100068.403956549,3535098.034865342
Ziggy Marley,1,5100068.403956549,5100068.403956549,3535098.034865342
Richard Curtis,4,1246139895.436235,311534973.85905874,501396197.9779355
Jack Barth,1,184268874.47209346,184268874.47209346,127725450.80528606
John Aboud,2,500647158.1379795,250323579.06898975,275008560.1085754
Joey Gutierrez,1,19896631.179924954,19896631.179924954,13791293.80500608
Ed Yeager,1,19896631.179924954,19896631.179924954,13791293.80500608
Courteney Cox,3,210174652.21960318,70058217.40653439,97121311.74079
Kevin Costner,16,1193139949.940709,74571246.87129432,211276251.71866143
Kurt Russell,16,1727790483.0079827,107986905.18799892,305949940.761972
Sergei Bodrov,2,12821627.13347117,6410813.566735585,7042998.564775949
Rustam Ibragimbekov,3,16633103.998795055,5544367.999598351,7686126.093816762
Louis Gardel,2,23200188.63654406,11600094.31827203,12744006.167762771
James Earl Jones,6,199843094.17593038,33307182.362655062,64812784.195926614
Mary McDonnell,4,75152799.76290873,18788199.94072718,30238441.29099844
Josh Hamilton,4,132495412.10979173,33123853.02744793,53310784.86826975
Tori Spelling,1,1188540.9346666667,1188540.9346666667,823833.7978442821
Parker Posey,9,270099463.9466025,30011051.549622502,69102999.92323664
Robert Harling,3,367841000.48494434,122613666.82831478,169978634.92032576
Andrew Bergman,1,81633934.31259912,81633934.31259912,56584331.406793855
Jamie Foxx,9,1497697900.1877842,166410877.7986427,383175206.5312085
Giuseppe Manacchini,1,53479.746602502404,53479.746602502404,37069.33557458485
Leonida Bellon,1,53479.746602502404,53479.746602502404,37069.33557458485
Salvatore Locapo,1,53479.746602502404,53479.746602502404,37069.33557458485
Omar Chaparro,3,52433585.93423994,17477861.97807998,24229461.50464401
Dunia Alexandra,1,11521695.366111625,11521695.366111625,7986230.658290859
Martha Higareda,2,43097860.04337843,21548930.021689214,23673919.329476926
Aubrey Plaza,4,60255193.48373468,15063798.37093367,24244248.203443687
Elizabeth Olsen,5,1061615999.6823728,212323199.93647456,380432104.02297986
O'Shea Jackson Jr.,2,92226411.96149641,46113205.98074821,50660534.760333754
Tom Wilkinson,6,310516057.3353292,51752676.22255486,100706057.9022431
Michael Schoeffling,4,57381638.991850235,14345409.747962559,23088046.317772653
Gabrielle Anwar,2,39823498.639254965,19911749.319627482,21875292.491421625
Mooney,1,4271352.215437337,4271352.215437337,2960675.745308866
Brady Jandreau,1,4271352.215437337,4271352.215437337,2960675.745308866
Tim Jandreau,1,4271352.215437337,4271352.215437337,2960675.745308866
John Goodman,19,2416486566.7228394,127183503.51172839,381007726.13375205
Donald Sutherland,11,959065425.2693441,87187765.93357673,216653459.3485045
Ben Stiller,16,2870755275.04204,179422204.6901275,508341384.54805505
Amy Brenneman,2,19340593.63432868,9670296.81716434,10623906.918404853
Darrell Waltrip,1,240601.3195335938,240601.3195335938,166772.12627371305
Richard Petty,1,240601.3195335938,240601.3195335938,166772.12627371305
Michael Waltrip,1,240601.3195335938,240601.3195335938,166772.12627371305
Taylor Swift,1,463575063.2712266,463575063.2712266,321325748.084349
Zac Efron,6,792412377.3839301,132068729.56398834,256993881.23140642
Francis Veber,3,470315266.95782506,156771755.65260836,217331800.8440763
I.A.L. Diamond,2,315495995.94618875,157747997.97309437,173303889.08603355
Billy Wilder,2,131690439.82561833,65845219.91280916,72338367.74626628
Jodhi May,1,5993228.197125952,5993228.197125952,4154189.2272902173
David Suchet,2,73160758.47216246,36580379.23608123,40187654.1528986
Barbara Hershey,13,474038885.1173563,36464529.62441202,96231984.17627728
Bo Derek,3,462923475.93190515,154307825.31063506,213916068.1048065
Julie Andrews,4,387458092.8544867,96864523.21362168,155897436.02985573
Dudley Moore,5,568497734.205721,113699546.8411442,203722239.6995589
Breckin Meyer,3,360266871.25509214,120088957.08503072,166478644.0397466
Richard Lobb,1,6518803.953953266,6518803.953953266,4518490.58130573
Michael Pollan,1,6518803.953953266,6518803.953953266,4518490.58130573
Eric Schlosser,1,6518803.953953266,6518803.953953266,4518490.58130573
Bradley Cooper,6,718669470.5639296,119778245.09398825,233077702.76442653
Daniel Brühl,6,365226761.6973566,60871126.94955943,118449743.71558209
Sienna Miller,2,249147613.57976854,124573806.78988427,136858314.98553368
Jonathan Majors,1,10498446.703677192,10498446.703677192,7276968.732912697
Ashton Sanders,3,303805446.1359852,101268482.0453284,140387925.61860964
Gerard Lee,1,2306304.1816451615,2306304.1816451615,1598608.2410209556
Jane Campion,2,41597615.48972125,20798807.744860627,22849825.77814934
Jared Leto,3,1099127910.7377682,366375970.24592274,507904941.6017515
Margot Robbie,13,2925181586.9613905,225013968.22779927,593824762.1173885
Robert Downey Jr.,15,1665666820.316924,111044454.68779494,307880602.7346466
Cybill Shepherd,2,48496368.036287926,24248184.018143963,26639352.94021862
Tess Harper,2,51520587.916292526,25760293.958146263,28300575.502122346
Scott Glenn,8,392117111.7428142,49014638.96785177,107696169.38942552
Ethan Hawke,19,929290481.3419285,48910025.33378571,146521341.39276516
Peter Sarsgaard,7,954008714.3431829,136286959.19188327,283400764.5328266
Cameron Diaz,12,2422567065.378585,201880588.78154874,517813486.4791902
Mary Agnes Donoghue,2,79923863.68974303,39961931.84487151,43902669.40369331
Bruce Joel Rubin,2,352152804.85343117,176076402.42671558,193439699.45046112
Olivia Thirlby,2,170389388.58944112,85194694.29472056,93595938.08150291
David Alan Basche,1,115926806.5407639,115926806.5407639,80354339.10504872
Liza Colón-Zayas,1,115926806.5407639,115926806.5407639,80354339.10504872
Sharon Stone,11,1102827584.8191814,100257053.16538014,249129418.09880218
Michael Nankin,1,4739486.909303749,4739486.909303749,3285161.9884846625
Atossa Leoni,1,110233385.2203509,110233385.2203509,76407960.16906457
Ahmad Khan Mahmoodzada,1,110233385.2203509,110233385.2203509,76407960.16906457
Khalid Abdalla,1,110233385.2203509,110233385.2203509,76407960.16906457
Richard Condon,2,230510922.11633176,115255461.05816588,126621065.85460982
George Axelrod,2,188345683.772435,94172841.8862175,103459441.35499744
Daniel Pyne,2,290238765.2982744,145119382.6491372,159429937.1022718
Jeff Fahey,2,109976914.35505062,54988457.17752531,60410994.79012943
Diana Scarwid,1,40260714.52018248,40260714.52018248,27906600.75699334
Anthony Perkins,4,159912326.43887925,39978081.60971981,64342240.20906755
Michele Little,2,11165755.242209889,5582877.6211049445,6133417.960676075
John Stockwell,4,106775255.28943045,26693813.822357614,42962035.99315977
Michael Dudikoff,3,14490036.45386041,4830012.151286803,6695818.609469447
Albert Finney,10,987342329.9526091,98734232.99526091,236754350.56270903
David Brisbin,1,453463260.085784,453463260.085784,314316780.2159824
Alan Alda,7,589856614.7741985,84265230.68202837,175224621.19944406
Itzhak Perlman,1,876326.5320496083,876326.5320496083,607423.2649400606
Toby Perlman,1,876326.5320496083,876326.5320496083,607423.2649400606
Robert Duvall,12,601735411.5578715,50144617.62982262,128618404.76976797
Todd Allen,2,58206970.872101314,29103485.436050657,31973446.743118614
Paul Bagget,1,37719172.58883489,37719172.58883489,26144938.133004874
Queen Latifah,6,453679075.500111,75613179.25001849,147136452.9049496
Keke Palmer,3,58620426.01068997,19540142.003563322,27088388.675021753
Dolly Parton,2,46419473.39542568,23209736.69771284,25498501.95285852
Eleanor Bron,1,9138235.932682928,9138235.932682928,6334142.472030753
Gillian Anderson,3,25108741.311554093,8369580.437184698,11602702.165008495
Chuck Workman,1,5969568.120948905,5969568.120948905,4137789.312196264
Bradley Kesden,1,5969568.120948905,5969568.120948905,4137789.312196264
Michael Paseornek,1,5969568.120948905,5969568.120948905,4137789.312196264
Frankie Faison,1,3939637.1696982533,3939637.1696982533,2730748.396605507
Jim Caviezel,8,594735415.8394715,74341926.97993393,163345909.08684543
Rhona Mitra,3,144858756.93623993,48286252.31207997,66938959.29984874
Wayne Wang,2,5049580.153269459,2524790.0766347293,2773765.404498212
Paul Auster,2,5049580.153269459,2524790.0766347293,2773765.404498212
Emir Kusturica,1,12729340.10498258,12729340.10498258,8823306.204157313
Daniel Auteuil,7,170069264.14394957,24295609.163421366,50521298.97483567
Bob Benedetto,1,1077607.0841758242,1077607.0841758242,746940.3121478962
Mike Greco,1,1077607.0841758242,1077607.0841758242,746940.3121478962
Mary Tyler Moore,2,220336565.53315216,110168282.76657608,121032229.26882362
Ted Danson,4,156288269.7597595,39072067.43993987,62884066.655021206
Christine Lahti,2,37319962.80513223,18659981.402566116,20500084.875177525
Donal McCann,1,1869194.6427165936,1869194.6427165936,1295626.9965167611
Niall Byrne,1,1869194.6427165936,1869194.6427165936,1295626.9965167611
Beverly D'Angelo,5,371953174.1929779,74390634.83859558,133290124.39394008
Kendall Allen,1,2973996.598531698,2973996.598531698,2061417.3572671139
Betty Adams,1,2973996.598531698,2973996.598531698,2061417.3572671139
John Amos,2,57279380.31299944,28639690.15649972,31463915.549577694
Kenya Barris,1,174716811.73310214,174716811.73310214,121104465.44922252
Erica Rivinoja,1,174716811.73310214,174716811.73310214,121104465.44922252
Tracy Oliver,2,233117720.9052899,116558860.45264494,128052996.44642709
Kate DiCamillo,1,123064040.5872654,123064040.5872654,85301492.76137769
Will McRobb,2,659972392.350497,329986196.1752485,362526890.2089736
Peter Straughan,1,63770281.95663499,63770281.95663499,44202191.14175429
Jane Goldman,3,1107862486.410831,369287495.470277,511941172.60253215
Matthew Vaughn,3,1107862486.410831,369287495.470277,511941172.60253215
Matt Johnson,1,2047650.0,2047650.0,1419322.824273572
Sean Silcoff,1,2047650.0,2047650.0,1419322.824273572
Jacquie McNish,1,2047650.0,2047650.0,1419322.824273572
Maya Rudolph,2,152664745.16221482,76332372.58110741,83859682.54079728
Jennifer Westfeldt,1,17665661.251752697,17665661.251752697,12244903.289379455
Adam Scott,2,96790846.8726744,48395423.4363372,53167806.90245669
John August,2,650236903.8066759,325118451.90333796,357179126.5337589
Carlos Grangel,1,182911190.84157705,182911190.84157705,126784376.22470123
Tim Burton,2,383459671.11326796,191729835.55663398,210636753.446834
Wesley Snipes,10,969158882.9715768,96915888.29715768,232394150.40680933
Peter Falk,6,114649264.60602576,19108210.76767096,37182861.26309894
Ving Rhames,6,1870025911.1541038,311670985.1923506,606483733.2518634
Kim Cattrall,6,1197028281.8166924,199504713.6361154,388218247.0488909
Meg Tilly,3,155205612.18449172,51735204.06149724,71720221.66184048
Sam Elliott,7,463135215.2423382,66162173.60604831,137580372.28425002
Rutanya Alda,2,85252794.00204922,42626397.00102461,46829883.5669711
Joseph Gordon-Levitt,9,1426964602.489988,158551622.49888757,365078602.4359579
Brady Corbet,1,2472670.4407834834,2472670.4407834834,1713924.5444829888
Saffron Burrows,3,393201143.38787645,131067047.79595882,181697509.28816888
Thomas Jane,5,725763101.0257585,145152620.2051517,260078581.73584408
Steven Shainberg,1,15759494.005102834,15759494.005102834,10923648.83668839
Mary Gaitskill,1,15759494.005102834,15759494.005102834,10923648.83668839
Erin Cressida Wilson,1,15759494.005102834,15759494.005102834,10923648.83668839
Roger Moore,5,804114750.533352,160822950.1066704,288156043.7228177
Tanya Roberts,2,186930494.08366966,93465247.04183483,102682068.96356045
David Chase,1,14660378.5249511,14660378.5249511,10161800.040511426
Lawrence Konner,4,765291557.895492,191322889.473873,307922311.83569026
Theresa Rebeck,2,155197606.3838352,77598803.1919176,85250998.77257882
Gregory Poirier,3,183799222.90511578,61266407.63503859,84933275.43052661
Annette Bening,11,597488317.6237878,54317119.783980705,134972972.148545
Rodrigo Santoro,2,324031141.1214302,162015570.5607151,177992296.77357686
Michel Duchaussoy,1,3675778.5218362664,3675778.5218362664,2547855.518773611
Miou-Miou,4,93245494.321286,23311373.5803215,37518208.43108407
Michel Piccoli,2,3710408.2440675036,1855204.1220337518,2038150.0464540112
Paul Reubens,3,191294686.11563328,63764895.37187776,88396914.89143394
Kris Kristofferson,9,748594494.7476742,83177166.08307491,191522502.70037824
Geoffrey Panos,1,2170124.07576087,2170124.07576087,1504215.384578904
Matt Whitaker,1,2170124.07576087,2170124.07576087,1504215.384578904
James Gunn,4,3381572156.738517,845393039.1846292,1360607608.1716292
Nicole Perlman,1,995376310.6073939,995376310.6073939,689942283.2936754
Dan Abnett,2,2069089005.8501565,1034544502.9250783,1136563304.0875323
AnnJewel Lee Dixon,1,3706848.0042754565,3706848.0042754565,2569391.2429277925
Shirley MacLaine,7,568895255.2847843,81270750.7549692,168997775.24339083
Stephen Lang,5,61895102.79533118,12379020.559066236,22180227.3064757
Mark Harmon,4,100511994.93952963,25127998.734882407,40441953.827515855
Matthew Goode,6,104842975.81018081,17473829.301696803,34002501.78103193
Wash Westmoreland,1,17319396.51688722,17319396.51688722,12004890.864680115
Rebecca Lenkiewicz,2,31837615.18673397,15918807.593366984,17488597.643016186
Richard Glatzer,1,17319396.51688722,17319396.51688722,12004890.864680115
John Carlin,1,570419465.7316028,570419465.7316028,395384644.4083708
Mark Bomback,4,1899579700.1469898,474894925.03674746,764313896.7766913
Roderick Thorp,1,570419465.7316028,570419465.7316028,395384644.4083708
Catherine O'Hara,6,529864633.6600521,88310772.27667536,171844828.04409516
Forest Whitaker,11,1920329285.8444695,174575389.6222245,433803546.56159675
Max Records,1,142227855.2745307,142227855.2745307,98584836.8806289
Bryan Greenberg,1,105994317.95590372,105994317.95590372,73469662.64650905
Uma Thurman,13,1113592212.9075804,85660939.45442925,226064130.1289404
Art Evans,1,50137240.632299274,50137240.632299274,34752486.98533377
Debbie Allen,1,50137240.632299274,50137240.632299274,34752486.98533377
Richard Pryor,6,866414386.7328866,144402397.78881443,280994091.4051765
Christian Slater,16,704951939.8094126,44059496.23808829,124829952.6741464
Rosie Perez,3,359838929.8995877,119946309.96652924,166280893.143738
Pascal Duquenne,1,64148576.09157425,64148576.09157425,44464404.65480981
Matt Allen,2,305654878.9351231,152827439.46756154,167898103.0447448
Caleb Wilson,2,305654878.9351231,152827439.46756154,167898103.0447448
Jon Lucas,3,851109087.0691149,283703029.0230383,393295909.3672707
Hitoshi Nagai,1,25509707.209468473,25509707.209468473,17681981.629152782
Yôsuke Kuroda,1,25509707.209468473,25509707.209468473,17681981.629152782
Kôhei Horikoshi,1,25509707.209468473,25509707.209468473,17681981.629152782
Henry Gilroy,1,96635528.2206379,96635528.2206379,66982643.92805619
Scott Murphy,1,96635528.2206379,96635528.2206379,66982643.92805619
Steven Melching,1,96635528.2206379,96635528.2206379,66982643.92805619
Brooke Adams,6,225500644.6928804,37583440.78214673,73133998.85439868
James Karen,2,26305609.265313458,13152804.632656729,14449832.799887525
Jeff Hayenga,1,2594168.397621146,2594168.397621146,1798140.5107088084
Geoff Rodkey,2,158438587.16739815,79219293.58369908,87031289.43065855
Sylvia Chang,1,32065.058953168045,32065.058953168045,22225.80520787686
Feng Hsu,1,32065.058953168045,32065.058953168045,22225.80520787686
Chun Shih,1,32065.058953168045,32065.058953168045,22225.80520787686
Debra Messing,2,361101046.14007103,180550523.07003552,198355023.37019607
Jennifer Aniston,13,1376941753.8172152,105918596.44747809,279525248.2972777
Kirk Cameron,2,14147115.412688484,7073557.706344242,7771097.420792793
Bridgette Cameron,1,3583237.1373175182,3583237.1373175182,2483710.7190093272
Darren Doane,1,3583237.1373175182,3583237.1373175182,2483710.7190093272
Daryl Sabara,4,790363639.533113,197590909.88327825,318010301.51849777
Alexa PenaVega,4,806637435.4029858,201659358.85074645,324558217.53154445
Elinor Lipman,1,12408981.67566629,12408981.67566629,8601250.662108114
Alice Arlen,1,12408981.67566629,12408981.67566629,8601250.662108114
Victor Levin,1,12408981.67566629,12408981.67566629,8601250.662108114
Carey Means,1,8112525.056843282,8112525.056843282,5623173.870372831
Dana Snyder,1,8112525.056843282,8112525.056843282,5623173.870372831
Dave Willis,1,8112525.056843282,8112525.056843282,5623173.870372831
Catherine Deneuve,6,129711183.40392873,21618530.567321453,42067718.038613334
Fabrice Luchini,6,148867075.36141595,24811179.22690266,48280325.46766025
David S. Goyer,5,2985243933.166933,597048786.6333866,1069767817.041491
Jim Uhls,1,318612397.85477215,318612397.85477215,220845285.26447886
Richard Wenk,4,740731232.327106,185182808.0817765,298040232.057819
Marshall Herskovitz,2,349529523.9609004,174764761.9804502,191998715.13787988
Edward Zwick,4,651207553.6832359,162801888.42080897,262019531.4403161
Peter M. Lenkov,2,199279042.7676955,99639521.38384774,109465202.62930404
Daniel Waters,3,752083722.1924034,250694574.06413448,347536474.3884624
Robert Reneau,1,122421600.71371627,122421600.71371627,84856187.37434782
Walter Campbell,1,9802473.021518994,9802473.021518994,6794556.537380818
Michel Faber,1,9802473.021518994,9802473.021518994,6794556.537380818
Jonathan Glazer,1,9802473.021518994,9802473.021518994,6794556.537380818
Mike de Seve,1,122576790.63717017,122576790.63717017,84963756.83224119
Geoffrey Johnson,1,122576790.63717017,122576790.63717017,84963756.83224119
Mike Judge,1,122576790.63717017,122576790.63717017,84963756.83224119
Gerrit Graham,2,44211732.92043352,22105866.46021676,24285776.544850342
Val Kilmer,6,700163431.910362,116693905.31839366,227075854.69196203
Derek Luke,7,328144637.98240066,46877805.426057234,97479655.98572783
William H. Macy,7,235840186.0813557,33691455.154479384,70059411.44786766
Alex Lewis,1,5707283.563690939,5707283.563690939,3955987.5108284913
Angela Bassett,2,16163620.260326717,8081810.1301633585,8878775.92367988
Edie Falco,1,5707283.563690939,5707283.563690939,3955987.5108284913
Sissy Spacek,7,359972026.18236715,51424575.168909594,106934397.86946797
Rachel Hurd-Wood,1,46200088.93074244,46200088.93074244,32023461.383962862
Joaquin Phoenix,16,1186844937.2997,74177808.58123125,210161557.1051921
Nicole Kidman,21,1600702927.7899415,76223948.94237816,235611462.14350763
Danielle Alexandra,1,91446966.80069782,91446966.80069782,63386207.208662614
David Twohy,2,185560707.05980352,92780353.52990176,101929636.5349217
Henri-Georges Clouzot,1,33208956.346284255,33208956.346284255,23018694.460765235
Pierre Boileau,1,33208956.346284255,33208956.346284255,23018694.460765235
Thomas Narcejac,1,33208956.346284255,33208956.346284255,23018694.460765235
Paul Reiser,2,26936902.976662323,13468451.488331161,14796606.314410906
Martin Short,6,305090361.8818902,50848393.646981694,98946405.26082139
Annette O'Toole,1,2751335.677147887,2751335.677147887,1907080.5673890458
Michael Cunningham,1,2652880.1397882476,2652880.1397882476,1838836.3892576974
Edgar Wright,2,1174223977.8709288,587111988.9354644,645008445.8688765
Steven Moffat,1,506611973.8398677,506611973.8398677,351156661.30501306
Hergé,1,506611973.8398677,506611973.8398677,351156661.30501306
Richard Harris,4,127523044.14734119,31880761.036835298,51310105.4899346
Miles O'Keeffe,1,122568910.30319032,122568910.30319032,84958294.6009612
Phillip Rhee,2,18112868.87141288,9056434.43570644,9949510.162584133
Paul Levine,1,4177366.129032258,4177366.129032258,2895529.554505322
Max Strom,1,4177366.129032258,4177366.129032258,2895529.554505322
Ken Sansom,2,274264412.2267486,137132206.1133743,150655126.8083211
Nikita Hopkins,1,170151471.42624858,170151471.42624858,117940012.68723029
Jim Cummings,4,274673055.6963461,68668263.92408653,110517307.34045565
Bruce Altman,1,3176159.624042914,3176159.624042914,2201546.0884136814
Brian Cox,5,517710358.0532206,103542071.61064413,185522487.271861
Paul Dano,9,241893148.37987208,26877016.486652452,61886617.50632114
Kevin Kline,15,602892875.2135056,40192858.347567044,111438265.76904543
Susan Sarandon,24,1779719927.5499175,74154996.98124656,238695727.07610893
Wallace Shawn,3,38420073.364332914,12806691.121444305,17753843.68626241
Linda Fiorentino,6,136649515.296603,22774919.2161005,44317946.446524836
John Malkovich,12,1181079482.5139582,98423290.20949651,252450754.98209843
Haing S. Ngor,1,101763696.5185948,101763696.5185948,70537219.32522191
Sam Waterston,3,123280560.22685735,41093520.07561912,56967715.1593978
Richard D'Ovidio,2,207490992.78546175,103745496.39273088,113976077.2310272
Nicole D'Ovidio,1,89691307.02645554,89691307.02645554,62169276.58612406
Jon Bokenkamp,2,195297453.80971652,97648726.90485826,107278091.35047357
Shah Rukh Khan,5,55954858.14570723,11190971.629141446,20051529.386376698
Amitabh Bachchan,6,145187493.1883686,24197915.531394765,47086969.418524265
Kajol,1,19504210.729621682,19504210.729621682,13519288.676284302
William Sadler,4,216139491.45404485,54034872.86351121,86965772.9800915
Jeffrey Dean Morgan,2,148068699.61929464,74034349.80964732,81335046.48443209
Cricket Brown,1,34670309.65853784,34670309.65853784,24031627.388955746
David Ambrose,1,61560897.51941747,61560897.51941747,42670762.54832395
Peter Powell,1,61560897.51941747,61560897.51941747,42670762.54832395
Thomas Hunter,1,61560897.51941747,61560897.51941747,42670762.54832395
Michael Wright,2,58007597.02194631,29003798.510973155,31863929.462208934
Leon,2,24157133.396130923,12078566.698065462,13269661.803992111
Robert Townsend,3,47678967.57502512,15892989.191675039,22032361.297758475
Jason Schwartzman,4,208190799.00234944,52047699.75058736,83767541.23358215
Olivia Williams,3,248711652.22829553,82903884.07609852,114929187.00963247
Bai Ling,2,251131882.94646096,125565941.47323048,137948286.34067166
David Bradley,3,17781887.704759803,5927295.901586601,8216976.885058542
James Booth,2,13844742.722618831,6922371.361309416,7605002.244258716
Elisa Bell,2,104648450.1297839,52324225.06489195,57484036.65132622
Melissa Carter,1,35544010.92280572,35544010.92280572,24637230.956934683
Morgan Freeman,22,2169103507.468852,98595613.97585692,309145977.3372826
Casey Affleck,6,213231719.84910166,35538619.974850275,69154961.29248103
Ed Harris,18,3093799826.4930024,171877768.13850012,506083600.1591314
Julie Hagerty,2,93333399.29310013,46666699.64655007,51268609.70328364
Robert Hays,1,85728725.5012228,85728725.5012228,59422624.37417007
Lloyd Bridges,4,128857851.94559999,32214462.986399997,51847178.059017204
Lou Diamond Phillips,6,410389261.0135507,68398210.16892512,133096771.34492972
Chris Isaak,1,3087613.5973107466,3087613.5973107466,2140170.659634494
Tracey Ullman,3,93792050.53327456,31264016.844424855,43341130.25738345
Walon Green,2,1089540775.6624703,544770387.8312352,598491442.5738871
John Harrison,1,618999396.870093,618999396.870093,429057686.7088116
Robert Nelson Jacobs,1,618999396.870093,618999396.870093,429057686.7088116
Ed Turner,1,72639383.0643956,72639383.0643956,50349783.56869965
B. Kline,1,72639383.0643956,72639383.0643956,50349783.56869965
Stan Chervin,1,149285159.21041706,149285159.21041706,103476587.20614314
Steven Zaillian,3,1366336242.3179924,455445414.1059975,631381409.3730578
Aaron Sorkin,3,775404786.0007198,258468262.00023994,358313094.1393911
Bart Conner,1,5604409.463175183,5604409.463175183,3884680.6181033547
Lori Loughlin,1,5604409.463175183,5604409.463175183,3884680.6181033547
Bill Allen,1,5604409.463175183,5604409.463175183,3884680.6181033547
Til Schweiger,2,95152898.88928652,47576449.44464326,52268072.01108215
Katja Riemann,2,11025271.404447854,5512635.702223927,6056249.325413761
Chris Matheson,3,163163359.24667737,54387786.41555912,75397481.6216826
Ed Solomon,5,2138792210.7352552,427758442.14705104,766440239.2592198
Olivier Martinez,3,242552646.78137246,80850882.26045749,112083122.1692404
James Faulkner,1,31447337.876411248,31447337.876411248,21797633.58515043
Reni Santoni,2,164460724.85752368,82230362.42876184,90339286.66587019
Sean Penn,14,964475427.6328757,68891101.97377683,186560562.5542392
Jim Moody,1,28117077.61985944,28117077.61985944,19489273.077790707
Timothy Dowling,3,751334365.1311232,250444788.37704107,347190197.89895636
Allan Loeb,4,578301648.1526227,144575412.03815567,232685149.33998916
Stephen Sondheim,1,274026584.09881896,274026584.09881896,189940754.16656908
James Lapine,1,274026584.09881896,274026584.09881896,189940754.16656908
Billy Crudup,4,300470040.9190125,75117510.22975312,120896968.85142104
Ewan McGregor,16,2794454407.954719,174653400.49716994,494830344.8733764
Philip Seymour Hoffman,11,280129335.9378638,25466303.26707853,63281386.33388132
Minnie Driver,2,7714248.771449831,3857124.3857249157,4237484.249078827
Juliet Snowden,3,469408435.53535664,156469478.51178554,216912755.74825817
Eric Kripke,1,104832557.72154632,104832557.72154632,72664391.81557755
Stiles White,2,365678526.7506462,182839263.3753231,200869461.595155
Sari,1,6395918.510485111,6395918.510485111,4433312.88263392
Yaman Barlas,1,6395918.510485111,6395918.510485111,4433312.88263392
Arzu Göl,1,6395918.510485111,6395918.510485111,4433312.88263392
Michael Paré,5,27993690.59256374,5598738.118512748,10031592.03957328
