Writer,Count,TotalGrossWorldWide,AverageGrossPerFilm,WriterWeight
Juliette Binoche,13,664665403.3981748,51128107.95370575,134930008.04458734
William Shimell,1,10810834.114466008,10810834.114466008,7493499.1859433865
Jean-Claude Carrière,4,342895688.4496322,85723922.11240806,137967330.25025743
Gregory Peck,2,66238023.85210876,33119011.92605438,36384953.490509026
Penelope Ann Miller,8,310738293.37561905,38842286.67195238,85345226.91555284
Candy Clark,2,4995232.720069487,2497616.3600347433,2743912.025512683
Paul Le Mat,1,4100554.8194719474,4100554.8194719474,2842288.011848476
Bruce McGill,1,4100554.8194719474,4100554.8194719474,2842288.011848476
Steve Wozniak,1,635722.1938173211,635722.1938173211,440649.0462638592
Alex Gibney,1,635722.1938173211,635722.1938173211,440649.0462638592
Steve Jobs,1,635722.1938173211,635722.1938173211,440649.0462638592
Nicholas Stoller,5,831066362.042614,166213272.40852278,297814204.7493529
Matthew Robinson,2,225610893.42593086,112805446.71296543,123929449.98755945
Tom Wheeler,3,1397106451.1192715,465702150.3730905,645600265.0236228
Mary Elizabeth Mastrantonio,6,489497263.4678633,81582877.24464388,158752948.8194863
Paul Newman,9,934471083.2094911,103830120.35661012,239077687.3369081
Vincent Gardenia,4,124848225.2766602,31212056.31916505,50233866.76509257
Joe Pesci,5,45917321.56549262,9183464.313098524,16454559.143312195
Richard Dreyfuss,12,984606339.8253503,82050528.31877919,210455449.8906323
Jerry O'Connell,3,173641899.2671744,57880633.08905813,80239595.26941064
Elisabeth Shue,10,253829819.3305218,25382981.93305218,60865732.386792265
Bradley Whitford,2,92561516.14150947,46280758.07075474,50844609.54540695
Mandy Moore,7,1042772337.2493281,148967476.749904,309769159.51297545
Amandla Stenberg,4,183540692.2244508,45885173.0561127,73849337.13510744
Frank Whaley,3,64039500.602607876,21346500.200869292,29592532.858109713
Christian Bale,14,1557910097.4801168,111279292.6771512,301349910.912871
Diego Luna,5,221106838.32974172,44221367.665948346,79234054.25767829
Elliot Page,4,1234203092.3282766,308550773.08206916,496593312.1091332
Nina Dobrev,1,56134996.37038185,56134996.37038185,38909814.46487294
Antonio Banderas,9,923297676.8946092,102588630.76606768,236219051.9126178
Mia Farrow,9,420071362.10181403,46674595.78909045,107472228.48548234
Sarah Jessica Parker,11,1670944824.9888783,151904074.99898893,377467446.0948827
Joe Seneca,1,16233252.04162409,16233252.04162409,11252032.883970713
Jami Gertz,5,103425906.1517064,20685181.230341278,37062869.342162415
Ralph Macchio,3,97472766.99045824,32490922.330152746,45041982.41387509
Courtney Chase,1,16345434.887742782,16345434.887742782,11329792.107465075
Christopher Walken,16,1188121990.5064812,74257624.40665507,210387692.36684972
Michael Biehn,4,331628645.1665671,82907161.29164177,133433928.59505717
Alex McArthur,2,2382575.3422912313,1191287.6711456156,1308763.2748593874
Nicholas Campbell,3,7719135.060365606,2573045.0201218687,3566997.802302562
Neel Sethi,1,1228579476.3988135,1228579476.3988135,851586400.1596514
Omar Barbour,1,750913.1434369687,750913.1434369687,520493.32821874064
Julian Bond,2,1524807.9624192421,762403.9812096211,837586.3826863804
Blair Anderson,1,750913.1434369687,750913.1434369687,520493.32821874064
Vanessa Hudgens,2,130214777.72689989,65107388.863449946,71527777.48847935
Ashley Benson,1,42489690.188567646,42489690.188567646,29451608.957071234
Selena Gomez,5,1364038131.617616,272807626.32352316,488805647.7428014
Keira Knightley,7,798993405.8990905,114141915.1284415,237351439.96497536
