Company,TotalBudget,TotalGrossWorldWide,Count,AverageGrossPerFilm,AverageBudgetPerFilm,Production-Weight
Emphatic Films,417143.6729680783,269857.3930774436,1,269857.3930774436,417143.6729680783,121006.42808127102
Eddie Murphy Productions,286272538.96055734,1386660061.2919447,4,346665015.3229862,71568134.74013934,2702555121.7445946
Walt Disney Animation Studios,4125525971.3976727,11838721914.97261,24,493280079.79052544,171896915.47490302,4556415228.138742
St. V,30375277.25856698,1359162.852695968,1,1359162.852695968,30375277.25856698,42154.9135408326
Harvey Mason Media,30375277.25856698,1359162.852695968,1,1359162.852695968,30375277.25856698,42154.9135408326
SpringHill Entertainment,30375277.25856698,1359162.852695968,1,1359162.852695968,30375277.25856698,42154.9135408326
Sho Films,11590524.091293322,9821792.085257819,1,9821792.085257819,11590524.091293322,5769044.1145314835
McFarlane Films,75938193.14641744,166760351.8846355,1,166760351.8846355,75938193.14641744,253834592.52163187
Pull Down Your Pants Pictures,75938193.14641744,166760351.8846355,1,166760351.8846355,75938193.14641744,253834592.52163187
Blue Train Productions,101623790.99499722,176811207.9563424,1,176811207.9563424,101623790.99499722,213230660.21145904
Amblin Entertainment,4607190145.294595,15964718644.74587,51,313033698.9165857,90337061.67244303,4285979051.484312
Whamaphram Productions,213041573.24843732,415882571.10146964,1,415882571.10146964,213041573.24843732,562733203.406732
Happy Madison Productions,1699349965.2688222,3892744884.594452,22,176942949.29974782,77243180.23949192,1270902931.6767218
Robert Simonds Productions,642547845.5488158,1720799320.3565443,17,101223489.4327379,37796932.09110682,783537458.5915385
Hughes Entertainment,563885502.0845295,994814345.3611813,10,99481434.53611812,56388550.208452955,420846152.69794345
Seven Stars Film Partners,51513440.4057481,41292419.157345735,1,41292419.157345735,51513440.4057481,22942754.583943408
Eaves Movie Ranch,105766133.15738979,95106542.00949045,2,47553271.00474522,52883066.578694895,46977360.65276215
Boies Schiller Entertainment,32139255.833969716,3943526.543505318,1,3943526.543505318,32139255.833969716,335397.00570597424
1821 Pictures,88018468.31150067,51839771.821276136,3,17279923.940425377,29339489.43716689,14108685.667975811
DreamWorks Animation,4261252442.0554504,15950150273.482498,30,531671675.78274995,142041748.068515,6833917205.746586
Boy of the Year,96821196.26168224,80508524.13112178,2,40254262.06556089,48410598.13084112,36772888.36304632
