Company,TotalBudget,TotalGrossWorldWide,Count,AverageGrossPerFilm,AverageBudgetPerFilm,Production-Weight
Underworld Entertainment,1188813.325330132,526230.9618727491,1,526230.9618727491,1188813.325330132,161459.86715846983
JWH Films,30375277.25856698,2118477.2533981074,1,2118477.2533981074,30375277.25856698,102412.46530886322
BFI Film Fund,121501109.03426792,30270437.61529374,4,7567609.403823435,30375277.25856698,3034389.962845577
National Geographic Entertainment,60750554.51713396,4345972.556185155,2,2172986.2780925776,30375277.25856698,170780.45627281364
Altitude Film Entertainment,30375277.25856698,1255017.7026727078,1,1255017.7026727078,30375277.25856698,35942.22130336274
Flamingo Pictures,30375277.25856698,1262697.2108033665,1,1262697.2108033665,30375277.25856698,36383.43112059203
Freestyle Picture Company,32989979.84326056,14703746.06730314,3,4901248.689101047,10996659.94775352,3028364.4512713733
Cre Film,3851637.3007138046,17301781.38552287,3,5767260.4618409565,1283879.1002379349,35914552.42654375
Ego Film Arts,117378644.44940855,15628060.213136232,4,3907015.053284058,29344661.112352137,837211.7176350191
Morgan Creek Productions,136234938.54052004,174788363.5852376,3,58262787.861745864,45411646.180173345,103626477.23647393
Cosmic Entertainment,54606093.18996415,47626668.434807986,1,47626668.434807986,54606093.18996415,28792857.0469915
Central Motion Pictures,83037638.7503583,45437198.54947324,5,9087439.709894648,16607527.75007166,8909591.794887658
SpotFilms,19283553.50038183,15416132.714691352,1,15416132.714691352,19283553.50038183,8542584.331647316
Sil-Metropole Organisation,129942653.65441407,341954225.73852134,4,85488556.43463033,32485663.41360352,362074929.24860775
MediaWeaver Entertainment,1015643.7103917802,3364016.3671142925,1,3364016.3671142925,1015643.7103917802,7723253.286647972
Cantinas Entertainment,1015643.7103917802,3364016.3671142925,1,3364016.3671142925,1015643.7103917802,7723253.286647972
Grace Hill Media,1015643.7103917802,3364016.3671142925,1,3364016.3671142925,1015643.7103917802,7723253.286647972
Turman/Morrissey Company,103230491.24788256,66177852.309215136,1,66177852.309215136,103230491.24788256,29406463.925457954
Brothers Dowdle Productions,27261718.653621353,123886563.9236394,2,61943281.9618197,13630859.326810677,309249951.9037114
Pulse Films,30375277.25856698,834909.2794846555,1,834909.2794846555,30375277.25856698,15906.835368109581
Newmarket Capital Group,100849929.16192326,237754035.98440462,4,59438508.996101156,25212482.290480815,225524866.65529844
Zion Films,2251347.9087190647,6133593.182357769,2,3066796.5911788847,1125673.9543595323,9179135.454668038
Pure Flix Entertainment,36590641.161961235,23884519.445258435,2,11942259.722629217,18295320.580980618,8564015.661996255
Entertainment Studios Motion Pictures,6215363.903394256,22593671.946091708,1,22593671.946091708,6215363.903394256,56928866.54294987
Triple Horse Studios,6215363.903394256,22593671.946091708,1,22593671.946091708,6215363.903394256,56928866.54294987
McElroy & McElroy,30375277.25856698,441254.83181905677,1,441254.83181905677,30375277.25856698,4443.080258991202
UAA Films,30375277.25856698,441254.83181905677,1,441254.83181905677,30375277.25856698,4443.080258991202
Cinered Internationale Filmproduktionsgesellschaft mbH & Co. 1. Beteiligungs KG,30375277.25856698,10426030.636822253,1,10426030.636822253,30375277.25856698,2480522.6889235545
Oslo Pictures,35140048.891926855,15414891.460089851,2,7707445.730044926,17570024.445963427,3714437.350260501
ABC Motion Pictures,208278155.24043238,386417051.0863926,6,64402841.8477321,34713025.8734054,232509324.37881196
Thousand Words,38337873.07738231,18542390.953124825,2,9271195.476562412,19168936.538691156,4926266.572586023
Sibling Productions,7962595.818815332,13076542.90253194,1,13076542.90253194,7962595.818815332,14885268.592992065
Reprisal Films,8127590.146661984,26498523.033391275,1,26498523.033391275,8127590.146661984,59883476.06730799
Hindsight Media,8127590.146661984,26498523.033391275,1,26498523.033391275,8127590.146661984,59883476.06730799
Flynn Picture Company,353606838.5587656,563493820.7291453,2,281746910.36457264,176803419.2793828,493255705.38196254
Seven Bucks Productions,373877104.29747117,1203877256.1276698,2,601938628.0638349,186938552.14873558,2129364483.533344
Grazing Goat Pictures,30375277.25856698,26000466.41971673,1,26000466.41971673,30375277.25856698,15426502.997524425
Pen Movies,30375277.25856698,26000466.41971673,1,26000466.41971673,30375277.25856698,15426502.997524425
Gecko Films Pty. Ltd.,9505377.608695652,6787258.577858696,1,6787258.577858696,9505377.608695652,3359269.732610939
Broadcasting Authority of Ireland,30375277.25856698,7064721.838369411,1,7064721.838369411,30375277.25856698,1138925.571790652
Fís Éireann / Screen Ireland,60750554.51713396,10223026.83836941,2,5111513.419184705,30375277.25856698,944981.295460643
Inscéal,30375277.25856698,7064721.838369411,1,7064721.838369411,30375277.25856698,1138925.571790652
MMP Erste Filmproduktions,62908300.68819481,10640392.24310217,1,10640392.24310217,62908300.68819481,1247477.6770899734
ATR Films,62908300.68819481,10640392.24310217,1,10640392.24310217,62908300.68819481,1247477.6770899734
Tornasol Films,7101385.774947911,4082549.754811524,1,4082549.754811524,7101385.774947911,1626841.8191388648
Zoetrope Argentina,7101385.774947911,4082549.754811524,1,4082549.754811524,7101385.774947911,1626841.8191388648
Wolfkill Productions,30375277.25856698,93696731.53171003,1,93696731.53171003,30375277.25856698,200333737.36977565
Act III Communications,65156796.54569755,231856109.70584777,2,115928054.85292388,32578398.272848774,453202004.60226923
Buttercup Films Ltd.,42915774.64788733,83056714.54977113,1,83056714.54977113,42915774.64788733,111418677.85610417
The Princess Bride Ltd.,42915774.64788733,83056714.54977113,1,83056714.54977113,42915774.64788733,111418677.85610417
Bandai Visual Company,208059286.36337253,71494299.95120592,7,10213471.421600847,29722755.194767505,7298009.213408009
Arnold Kopelson Productions,194890589.2020507,399609637.0722811,2,199804818.53614056,97445294.60102534,450085990.0616962
AllEdge Entertainment,30375277.25856698,22167.658863031327,1,22167.658863031327,30375277.25856698,11.213595066453948
8th House Entertainment,30375277.25856698,22167.658863031327,1,22167.658863031327,30375277.25856698,11.213595066453948
All Edge Entertainment,30375277.25856698,22167.658863031327,1,22167.658863031327,30375277.25856698,11.213595066453948
French Tax Credit,160887021.8302244,977111559.9702706,1,977111559.9702706,160887021.8302244,4113322405.40435
Greenpoint Films,91125831.77570094,30016274.082178667,3,10005424.694059556,30375277.25856698,4568843.279396471
Kindred Limited Partnership,30375277.25856698,6456206.222253521,1,6456206.222253521,30375277.25856698,951174.0610557244
Roger Birnbaum Productions,311974116.65069395,722044162.4617289,4,180511040.61543223,77993529.16267349,672393017.4923555
Moshe Diamant Production,48550350.54174633,28164025.335028682,1,28164025.335028682,48550350.54174633,11324591.464073908
IPC Films,78814898.76260352,253435891.45036438,2,126717945.72518219,39407449.38130176,447653901.3384784
Parkway Productions,329377270.5414338,492572562.4251722,4,123143140.60629305,82344317.63535845,296388291.6294182
M6 Films,264199672.59723514,1372870476.5759914,5,274574095.3151983,52839934.51944703,2556445627.5568967
M6 Studio,34654878.36807767,58586838.63623077,1,58586838.63623077,34654878.36807767,68653267.20311466
Les Editions Albert René,34654878.36807767,58586838.63623077,1,58586838.63623077,34654878.36807767,68653267.20311466
Mark Canton Productions,289330632.3361244,687188919.7027627,4,171797229.92569068,72332658.0840311,656707712.1474402
Emmett/Furla Oasis Films,488765926.90402037,853833133.0610182,8,106729141.63262728,61095740.863002546,409665645.82908714
Codeblack Entertainment,43350634.589663036,25741311.332918182,3,8580437.110972727,14450211.529887678,7063176.7991864905
TDJ Enterprises / New Dimensions Entertainment,30375277.25856698,1609983.3961514675,1,1609983.3961514675,30375277.25856698,59149.081436648674
Ubu Productions,123868709.67024133,182619379.15562838,3,60873126.38520946,41289569.890080445,124413157.53347011
Lantern Entertainment,86615229.2754569,211949756.63821802,2,105974878.31910901,43307614.63772845,284895796.88702875
Tempesta Films,77099767.07252514,86896131.5212811,2,43448065.76064055,38549883.53626257,53797522.57306491
Griffon Productions,30375277.25856698,771221.3349452555,1,771221.3349452555,30375277.25856698,13572.607212421966
CRC Productions (II),30375277.25856698,771221.3349452555,1,771221.3349452555,30375277.25856698,13572.607212421966
Imageworks,30375277.25856698,771221.3349452555,1,771221.3349452555,30375277.25856698,13572.607212421966
Applehead Pictures,41920699.26991232,110801220.66665444,1,110801220.66665444,41920699.26991232,202995323.2677952
Bloomberg Philanthropies,30375277.25856698,1433062.781405026,1,1433062.781405026,30375277.25856698,46863.5996403312
Process Media,44416844.078843474,57563767.82895154,2,28781883.91447577,22208422.039421737,40979361.27713328
Cinergi Pictures Entertainment,776623252.6893955,1277760360.1916313,8,159720045.0239539,97077906.58617444,577394833.620657
Holly Wiersma Productions,10579930.555555556,5399742.637222223,1,5399742.637222223,10579930.555555556,1910243.6551780151
Whitaker Entertainment,101564371.03917803,66142641.34454412,1,66142641.34454412,101564371.03917803,29857067.212587923
Whitaker Entertainment I,184085422.50851017,248571724.15994534,2,124285862.07997267,92042711.25425509,184373503.23609567
Crystal Sky Pictures,191043107.52283663,374373284.56989896,2,187186642.28494948,95521553.76141831,402988620.3175135
Columbia Films,30375277.25856698,977764.9308550186,1,977764.9308550186,30375277.25856698,21815.949686052223
Da.Ma. Cinematografica,30375277.25856698,977764.9308550186,1,977764.9308550186,30375277.25856698,21815.949686052223
Vendome Pictures,83985098.18217383,301246103.9678935,2,150623051.98394674,41992549.09108692,593546981.0425715
Parkes/MacDonald Image Nation,903975971.7361346,3271327427.9987016,8,408915928.4998377,112996996.46701683,3251438952.663847
Stephen Friedman/Kings Road Productions,30375277.25856698,126932969.93686894,1,126932969.93686894,30375277.25856698,367666527.71266806
Dave Bell Associates,13987850.038255548,11361910.950573834,1,11361910.950573834,13987850.038255548,6397013.330090811
New Visions Pictures,74738404.55538951,26565433.353437275,3,8855144.451145759,24912801.51846317,4363391.576616929
Artémis Productions,60750554.51713396,24843275.113382466,2,12421637.556691233,30375277.25856698,5580613.01959471
Nord-Ouest Films,53213978.7989102,41877828.13909093,2,20938914.069545466,26606989.3994551,18103269.85405011
ARD Degeto Film,91125831.77570094,10263203.137780666,3,3421067.7125935555,30375277.25856698,534144.2360865672
Parallax Pictures,173095006.38093716,23702142.58583289,4,5925535.6464582225,43273751.59523429,1305884.9292337713
Zoetrope Studios,451531945.24083996,1009782808.4368238,9,112198089.82631376,50170216.13787111,577750916.2788676
Sony Pictures Classics,192596690.16852084,174588588.60658005,9,19398732.067397784,21399632.24094676,40490773.02188074
Karz Entertainment,185725288.48238194,612491898.6926409,4,153122974.67316023,46431322.120595485,812725510.6865596
Province of British Columbia Production Services Tax Credit,60252056.98797156,100458915.91910948,2,50229457.95955474,30126028.49398578,92006720.98613907
Hope Town Entertainment,27947132.84660821,124556244.70316799,1,124556244.70316799,27947132.84660821,384785956.9617905
Offspring Entertainment,177124440.1693776,660439643.8224468,5,132087928.76448937,35424888.03387552,882464985.4845926
Southpaw Entertainment (I),44086870.96680845,97170440.94419846,1,97170440.94419846,44086870.96680845,148451480.05279335
GraceWorks Pictures,3276274.2575874026,4355785.997068978,1,4355785.997068978,3276274.2575874026,4014008.4312036303
Reserve Entertainment,6309861.533131294,12151401.502968851,2,6075700.751484426,3154930.766565647,12854268.57656008
Screwball Five,485503.50541746337,571363.8293435309,1,571363.8293435309,485503.50541746337,466077.97266770207
New Vision Films,485503.50541746337,571363.8293435309,1,571363.8293435309,485503.50541746337,466077.97266770207
Backup Media,2939124.7311205636,2857049.673004022,1,2857049.673004022,2939124.7311205636,1925054.48634112
Phantom Film,2939124.7311205636,2857049.673004022,1,2857049.673004022,2939124.7311205636,1925054.48634112
Engine Film,30375277.25856698,1499180.573435583,1,1499180.573435583,30375277.25856698,51287.68566557279
Sputnik Productions,30375277.25856698,1499180.573435583,1,1499180.573435583,30375277.25856698,51287.68566557279
TV Man Union,30375277.25856698,1499180.573435583,1,1499180.573435583,30375277.25856698,51287.68566557279
EMI Film Productions,30375277.25856698,330791.343935743,1,330791.343935743,30375277.25856698,2496.970913003215
Jennie and Company,30375277.25856698,330791.343935743,1,330791.343935743,30375277.25856698,2496.970913003215
Blue Rock Entertainment,430127.0468661773,1900143.0063015246,1,1900143.0063015246,430127.0468661773,5818369.309734023
American Desi Productions,430127.0468661773,1900143.0063015246,1,1900143.0063015246,430127.0468661773,5818369.309734023
Vijayta Films,30375277.25856698,733854.4657262905,1,733854.4657262905,30375277.25856698,12289.241904178121
Roven-Cavallo Entertainment,12651986.159169551,27359152.515377164,1,27359152.515377164,12651986.159169551,41008325.28644604
The Wolper Organization,96821196.26168224,274369865.83746636,2,137184932.91873318,48410598.13084112,427087474.2551065
Forge,126230911.40854047,173726284.19516888,1,173726284.19516888,126230911.40854047,165726059.63360193
Rahway Road Productions,84940443.71522896,361355730.04198205,1,361355730.04198205,84940443.71522896,1065567159.4997704
3Art Films,88473286.87572591,88569742.22254357,1,88569742.22254357,88473286.87572591,61458797.74583186
Filmkameratene,60750554.51713396,35864212.08111893,2,17932106.040559463,30375277.25856698,11630189.699971084
Mayco,30375277.25856698,651767.2340492958,1,651767.2340492958,30375277.25856698,9693.715232540497
Norsk Film,60750554.51713396,1083796.7009527227,2,541898.3504763613,30375277.25856698,10620.864296674856
Dead Fiancée Productions,14152241.259991733,30368036.385568246,1,30368036.385568246,14152241.259991733,45168291.09026622
Anomaly Content & Entertainment (ACE),30375277.25856698,57723.74072199405,1,57723.74072199405,30375277.25856698,76.03510410042217
Jaywalker Pictures,30375277.25856698,57723.74072199405,1,57723.74072199405,30375277.25856698,76.03510410042217
Tall Trees Productions,510980125.12091964,740011144.2733045,6,123335190.7122174,85163354.18681994,347571409.13875794
ImageMovers,682300163.996504,1185139270.797714,6,197523211.799619,113716693.99941732,667628450.3189167
Sony Pictures Releasing,407257834.5831629,1261055662.1454146,10,126105566.21454147,40725783.45831629,936330729.347917
TriStar Productions,44994958.167557605,78653683.45428386,1,78653683.45428386,44994958.167557605,95301500.96667434
Columbus Circle Films,17374312.18816821,37121201.810449034,1,37121201.810449034,17374312.18816821,54974577.029949784
FilmDistrict,342230103.5843339,421014055.9089999,6,70169009.31816666,57038350.59738898,167975721.35139966
Fuzzy Bunny Films (I),20324758.198999442,104559207.74772651,1,104559207.74772651,20324758.198999442,372841838.9047028
Starling Films,101996857.4661981,161410199.5590504,2,80705099.7795252,50998428.73309905,140310319.8036777
Sega Sammy Group,114528096.22251457,422110496.583472,1,422110496.583472,114528096.22251457,1078364849.6128974
Lockheed Martin Corporation,30375277.25856698,217414394.06802666,1,217414394.06802666,30375277.25856698,1078653103.1168728
IMAX,91125831.77570094,445915726.41453874,3,148638575.4715129,30375277.25856698,1008319752.4342666
IMAX Space Ltd.,60750554.51713396,323644135.92952096,2,161822067.96476048,30375277.25856698,947108415.3385885
Get Lifted Film Company,1904331.956984588,8415373.682042608,1,8415373.682042608,1904331.956984588,25776836.47799269
Fermion Films,8252105.146933215,36634417.17172416,2,18317208.58586208,4126052.5734666074,89336364.90702313
MTV Entertainment Studios,35657827.39284578,92850566.58649452,2,46425283.29324726,17828913.69642289,132809363.3865245
Sight & Sound Films,30375277.25856698,5913051.249539561,1,5913051.249539561,30375277.25856698,797863.3139965878
Central Productions Ltd.,30375277.25856698,2571271.3768046196,1,2571271.3768046196,30375277.25856698,150869.35752669376
Sultana,30375277.25856698,4034667.4796987954,1,4034667.4796987954,30375277.25856698,371467.39986418176
Storyworks Productions,45000000.0,21786275.0,1,21786275.0,45000000.0,7311035.787933841
Artists Equity,90000000.0,90060106.0,1,90060106.0,90000000.0,62466598.6832031
Ghostcorps,84336457.91046979,229771255.51688376,1,229771255.51688376,84336457.91046979,433911838.0534836
Icon Entertainment International,977254596.2726824,2052533057.0854788,13,157887158.23734453,75173430.48251404,875141081.8918281
Screen Scotland,30375277.25856698,8952520.724504964,1,8952520.724504964,30375277.25856698,1828924.9324176642
Smart Egg Pictures,63959457.241034396,422563467.1048411,5,84512693.42096822,12791891.44820688,1000434888.916501
Ontario Film Development Corporation,170652037.7012856,102134176.06264731,6,17022362.677107885,28442006.2835476,19824499.595295757
Premiere Picture,15394610.615518901,16864644.085969638,2,8432322.042984819,7697305.307759451,10148459.17032865
Studio 68,1191839.0656230808,6860446.151953594,1,6860446.151953594,1191839.0656230808,27372380.242500834
Neue Road Movies,30375277.25856698,25338917.75461792,1,25338917.75461792,30375277.25856698,14651474.516088564
Eurowide Film Production,30375277.25856698,25338917.75461792,1,25338917.75461792,30375277.25856698,14651474.516088564
Paragon Films Ltd.,121087584.22010425,273804763.5638221,3,91268254.52127403,40362528.07336808,286099162.39033175
Irish Film Industry,30375277.25856698,42991794.03847693,1,42991794.03847693,30375277.25856698,42177064.25731397
Hell's Kitchen Films,57787913.93676767,181735291.92860842,2,90867645.96430421,28893956.968383834,313946745.5867714
East of Harlem (UK) Ltd.,30375277.25856698,42991794.03847693,1,42991794.03847693,30375277.25856698,42177064.25731397
Main Dog Productions,30632391.30523874,15704395.099188153,2,7852197.549594076,15316195.65261937,4422582.892223549
Good Guys Productions,30632391.30523874,15704395.099188153,2,7852197.549594076,15316195.65261937,4422582.892223549
Escapology,30632391.30523874,15704395.099188153,2,7852197.549594076,15316195.65261937,4422582.892223549
Universal Studios,314925288.5660193,1526521332.9444728,2,763260666.4722364,157462644.28300965,4064551930.928659
Pathé Entertainment,97060993.04996142,194636071.82490063,3,64878690.60830021,32353664.349987138,180358300.2202243
Star Partners III Ltd.,185650709.95891324,434977341.75177133,3,144992447.25059044,61883569.98630441,470945723.25480473
Kurosawa Production Co.,85128050.29426193,27834454.48075729,3,9278151.493585763,28376016.76475398,4205590.117216443
Lakeheart,30375277.25856698,1109062.5633910035,1,1109062.5633910035,30375277.25856698,28068.377055954224
Sievernich,30375277.25856698,1109062.5633910035,1,1109062.5633910035,30375277.25856698,28068.377055954224
DEFA-Studio Babelsberg GmbH,30375277.25856698,1109062.5633910035,1,1109062.5633910035,30375277.25856698,28068.377055954224
Levantine Entertainment,30375277.25856698,3090954.8535124473,1,3090954.8535124473,30375277.25856698,218017.08765156718
Fickle Fish Films,62348869.141546294,85906990.51042038,2,42953495.25521019,31174434.570773147,65019389.34198445
Nick Wechsler Productions,140409202.99712572,319696585.39439857,3,106565528.46479952,46803067.66570857,336367961.46487474
Chockstone Pictures,52319011.66309663,82880977.90157841,1,82880977.90157841,52319011.66309663,91007181.18947458
La Sept Cinéma,247731061.52332664,18819285.49372723,9,2091031.7215252477,27525673.50259185,365762.3314448516
Centropolis Film Productions,142344136.37519786,438098674.0118777,2,219049337.00593886,71172068.18759893,740659764.0749054
Lenfilm Studio,39062433.35265108,14880602.470650382,2,7440301.235325191,19531216.67632554,3113839.2804263723
Tulos Cinema,30375277.25856698,3132476.9756682026,1,3132476.9756682026,30375277.25856698,223913.86444109277
Ministry of Culture of the Russian Federation,30375277.25856698,3132476.9756682026,1,3132476.9756682026,30375277.25856698,223913.86444109277
Treehouse Pictures,46300885.07061782,47741018.68838907,2,23870509.344194535,23150442.53530891,27040114.56484229
Green Room Films,46300885.07061782,48459001.81738091,2,24229500.908690456,23150442.53530891,27859549.674765572
Rollins-Joffe Productions,103824176.87539795,279693514.3029175,3,93231171.43430583,34608058.958465986,348177335.1017426
Patriot Pictures,30375277.25856698,2286263.226184049,1,2286263.226184049,30375277.25856698,119277.26495080581
Hivemind,107733943.22406295,185384008.35926855,4,46346002.08981714,26933485.806015737,128353056.95185181
Divide/Conquer,5886573.600040184,21278118.711979017,1,21278118.711979017,5886573.600040184,53312535.49884453
T-Series,60750554.51713396,20800081.81798068,2,10400040.90899034,30375277.25856698,3911959.023437501
Super Cassettes Industries Limited (T-Series),30375277.25856698,19044364.62098627,1,19044364.62098627,30375277.25856698,8276337.376684307
Panorama Studios,30375277.25856698,19044364.62098627,1,19044364.62098627,30375277.25856698,8276337.376684307
Dog Eat Dog Films,73976615.8071765,60508811.871427864,3,20169603.95714262,24658871.9357255,22870570.2251089
Mayfair Entertainment International,60750554.51713396,6862296.542581549,2,3431148.2712907745,30375277.25856698,425797.5648211027
Distant Corners Entertainment Group Inc.,18215880.43478261,78640499.43626088,1,78640499.43626088,18215880.43478261,235324865.97480702
Blue Star Productions,18215880.43478261,78640499.43626088,1,78640499.43626088,18215880.43478261,235324865.97480702
Brigand Films,27975700.076511096,7966211.150053558,1,7966211.150053558,27975700.076511096,1572346.0165441658
Houtsnede Maatschappij N.V.,8032565.90509666,894677.9005975395,1,894677.9005975395,8032565.90509666,69072.4059126304
British Lion Film Corporation,8032565.90509666,894677.9005975395,1,894677.9005975395,8032565.90509666,69072.4059126304
Cinema 5,8032565.90509666,894677.9005975395,1,894677.9005975395,8032565.90509666,69072.4059126304
Vinson Films,7151034.393738485,68668733.82482779,1,68668733.82482779,7151034.393738485,457061534.4651272
Land Films Inc.,14695623.655602818,25808558.602897625,1,25808558.602897625,14695623.655602818,31417016.46887641
Amaze Film + Television,7439046.968390566,3035688.44070937,1,3035688.44070937,7439046.968390566,858662.6138649632
Running Miracles Productions,7439046.968390566,3035688.44070937,1,3035688.44070937,7439046.968390566,858662.6138649632
Pt. Merantau Films,1490058.193554697,12390310.698029244,1,12390310.698029244,1490058.193554697,71414536.98354132
Patalex Productions,365131944.73515654,1546439543.6533375,3,515479847.88444585,121710648.24505217,3026566805.5194473
Willpower Production,6240696.364567332,24616663.95649769,1,24616663.95649769,6240696.364567332,67305538.35535702
Rainforest Films,87341011.36340825,338837093.6495055,5,67767418.7299011,17468202.27268165,471056914.874607
S.K. Films Enterprises,30375277.25856698,556852.6370615563,1,556852.6370615563,30375277.25856698,7075.966556601139
Konrad Pictures,291030262.63671637,1016329905.118623,5,203265981.02372462,58206052.52734327,1271864841.6082146
Mercury Productions (II),59701745.01602607,71663845.58860266,2,35831922.79430133,29850872.508013036,47252811.12815724
Creative England,30375277.25856698,18551098.574355427,1,18551098.574355427,30375277.25856698,7853160.554865079
Filmex,30375277.25856698,3561620.4912467194,1,3561620.4912467194,30375277.25856698,289467.9549470673
Allied Film Productions (II),30375277.25856698,3561620.4912467194,1,3561620.4912467194,30375277.25856698,289467.9549470673
Distant Horizon,272081662.20317,163849214.16253746,9,18205468.24028194,30231295.800352223,25244259.317163266
Eagle Films,30375277.25856698,10215774.604497042,1,10215774.604497042,30375277.25856698,2381484.8053180715
Sandman Studios,92318015.07432283,151099225.94695553,1,151099225.94695553,92318015.07432283,171420785.9405267
Enterprise Productions (II),30375277.25856698,3039264.8426451613,1,3039264.8426451613,30375277.25856698,210786.26228527038
Master 1-1989,30375277.25856698,3039264.8426451613,1,3039264.8426451613,30375277.25856698,210786.26228527038
Latitude Productions,38097854.30641775,9248584.54557906,2,4624292.27278953,19048927.153208874,1233287.9331662362
American Entertainment Investors,136611285.78682685,52457598.41780203,4,13114399.604450507,34152821.44670671,8104840.367458965
Lascaux Films,38097854.30641775,9248584.54557906,2,4624292.27278953,19048927.153208874,1233287.9331662362
The Kushner-Locke Company,63275172.74530477,37487100.090025716,3,12495700.030008571,21091724.248434924,10262769.008535057
Clubhouse Pictures (II),113156894.42814648,309033305.9505781,2,154516652.97528905,56578447.21407324,463600625.0659841
"Georgia Film, Music & Digital Entertainment Office",13673800.587467361,67050471.90965241,1,67050471.90965241,13673800.587467361,227897676.08673048
Ursus Film,30375277.25856698,13192773.41314516,1,13192773.41314516,30375277.25856698,3971708.9651959804
TF1 Droits Audiovisuels,30375277.25856698,6726867.71480268,1,6726867.71480268,30375277.25856698,1032597.2992960167
Joe's Daughter,30375277.25856698,6726867.71480268,1,6726867.71480268,30375277.25856698,1032597.2992960167
Mongrel Media,36086008.51854487,21370326.053742796,2,10685163.026871398,18043004.259272434,6951810.199539976
Treetop Entertainment,30375277.25856698,20335465.4326323,1,20335465.4326323,30375277.25856698,9436554.316182474
Hyperion Pictures,67762025.72482465,9594716.29450985,2,4797358.147254925,33881012.862412326,746263.759323826
Goldwyn Films,30375277.25856698,1970825.6213619632,1,1970825.6213619632,30375277.25856698,88634.25721027263
Filmplan International,91125831.77570094,99169123.96153024,3,33056374.653843414,30375277.25856698,49870721.35083254
New Horizons,95788448.45511945,15952979.359699847,4,3988244.839924962,23947112.11377986,1069017.2273470347
Aries Cinematográfica Argentina,30375277.25856698,8464278.440327236,1,8464278.440327236,30375277.25856698,1634877.0342695538
New Horizons Picture,62542919.223016314,16512408.264637426,3,5504136.088212475,20847639.74100544,2014544.6129494682
Elokuvayhtiö Oy Aamu,2125088.1484785043,3001988.829420231,1,3001988.829420231,2125088.1484785043,2939453.9140633536
Amrion,2125088.1484785043,3001988.829420231,1,3001988.829420231,2125088.1484785043,2939453.9140633536
Achtung Panda! Media,2125088.1484785043,3001988.829420231,1,3001988.829420231,2125088.1484785043,2939453.9140633536
Molen/Garbett Productions,12043557.312252965,8189643.05944664,1,8189643.05944664,12043557.312252965,3860118.390840472
3Mark Entertainment,12043557.312252965,8189643.05944664,1,8189643.05944664,12043557.312252965,3860118.390840472
Bakshi Animation,65153670.70563078,30645222.30561653,1,30645222.30561653,65153670.70563078,9991072.830419203
Bakshi Productions,83847044.93875961,173075531.76650608,2,86537765.88325304,41923522.469379805,196244749.0136122
Tales From The Crypt Holdings,51237822.7016556,53391601.18804088,2,26695800.59402044,25618911.3508278,30561149.191922583
Hurricane Films,7891826.128044238,5280390.049840213,1,5280390.049840213,7891826.128044238,2448950.239471016
Potemkino,7891826.128044238,5280390.049840213,1,5280390.049840213,7891826.128044238,2448950.239471016
Gibson & MacLeod,7891826.128044238,5280390.049840213,1,5280390.049840213,7891826.128044238,2448950.239471016
Snee-Oosh Productions,5081189.549749861,25828208.150172316,1,25828208.150172316,5081189.549749861,91001514.5282995
Blake Edwards Entertainment,42915774.64788733,105512672.58681339,1,105512672.58681339,42915774.64788733,179811619.34666023
Chal Productions,30375277.25856698,2735472.4005736136,1,2735472.4005736136,30375277.25856698,170753.6063995283
Jam Productions,30375277.25856698,2735472.4005736136,1,2735472.4005736136,30375277.25856698,170753.6063995283
The Story Factory,2615950.583154831,851066.8228471349,1,851066.8228471349,2615950.583154831,191921.33100244022
Film 44,52319011.66309663,202478383.960233,1,202478383.960233,52319011.66309663,543154349.4248165
Spikings Entertainment,52319011.66309663,202478383.960233,1,202478383.960233,52319011.66309663,543154349.4248165
Marimark Productions,60750554.51713396,130857762.49533832,2,65428881.24766916,30375277.25856698,154832879.5338944
Santa Rita Film Co.,30375277.25856698,4175547.508536,1,4175547.508536,30375277.25856698,397861.6404860868
Greenbelt Films,30375277.25856698,4175547.508536,1,4175547.508536,30375277.25856698,397861.6404860868
Peter V. Miller Investment Corp.,58166314.243759185,405142168.5985904,1,405142168.5985904,58166314.243759185,1955999829.6030116
FortyFour Studios,675077740.5202585,3084113982.2583494,6,514018997.0430582,112512956.75337642,4569604202.749933
Twisted Pictures,56570181.55149361,399366344.52868545,3,133122114.84289515,18856727.183831204,1302835415.7238557
Galaxy 8 Entertainment,13000000.0,112202480.0,1,112202480.0,13000000.0,671254207.8082416
Serendipity Productions,40947132.84660821,302454934.4124445,2,151227467.20622224,20473566.423304103,1227191413.310742
Cinergy Films,1609043.3574207893,1379824.1219121732,1,1379824.1219121732,1609043.3574207893,820172.4559299753
Focused Light Films,1609043.3574207893,1379824.1219121732,1,1379824.1219121732,1609043.3574207893,820172.4559299753
Artists International Media,1609043.3574207893,1379824.1219121732,1,1379824.1219121732,1609043.3574207893,820172.4559299753
Parabolic Pictures Inc.,13226061.290042536,68760420.42447743,1,68760420.42447743,13226061.290042536,247783268.2831394
Stable Way Entertainment,13226061.290042536,68760420.42447743,1,68760420.42447743,13226061.290042536,247783268.2831394
Cinéa,121501109.03426792,17296037.95011425,4,4324009.487528563,30375277.25856698,990665.9885821049
Freeway Films,30375277.25856698,6482599.029422572,1,6482599.029422572,30375277.25856698,958966.707474689
View Askew Productions,136148732.0798236,217900572.10438436,5,43580114.420876876,27229746.415964723,124972035.57951164
Next Wednesday Productions,5878249.462241127,26742387.59940581,1,26742387.59940581,5878249.462241127,84329166.23240452
