Duration,méta_score,writers,director,stars,budget,opening_weekend_Gross,grossWorldWWide,gross_US_Canada,production_company,wins,nominations,financial_outlier_flag,adjusted_IMBD_Rating,MPA_Encoded,Autumn,Beginning of the year,End of the year,Spring,Summer,Action & Adventure,Comedy,Documentary & Biography,Drama,Family & Animation,Horror & Thriller,Romance,Sci-Fi & Fantasy,other_genres,Australia,Canada,China,European countries,Germany,India,Japan,Other_regions,United Kingdom,United States
0.47660533755957224,73.0,-0.3695468051192854,0.11118452751362964,-0.30108209239105727,0.020398703297763034,7980361.818092727,18815707.599832725,18815707.599832725,-0.18170052914218343,4.0,26.0,0,6.6750612633917,2.0,1.0,0.0,0.0,0.0,0.0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1
-0.06774135731461856,38.0,0.5425801551287549,1.9810836788014223,0.5658407194935108,0.07003133010262894,37637151.78731583,90330247.50969857,83895737.10700527,0.8527601232137594,2.0,4.0,0,5.681516594305987,2.0,0.0,0.0,0.0,0.0,1.0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
-0.8298267301384856,71.0,-0.011457730812365122,-0.2466609035715614,-0.6673798211703901,0.06852983887155738,26189.575629587805,847627.2841445511,783113.3886391869,-0.24965485905561943,5.0,5.0,0,5.750237679666668,3.0,1.0,0.0,0.0,0.0,0.0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0
0.42217066807215314,43.60743192280453,-0.09697361966596717,0.00494481132039444,-0.08808675972574283,0.04531386815700976,5200513.381141732,14050514.99300525,14050514.99300525,-0.03361362634381692,0.0,1.0,0,5.238302698166281,2.0,1.0,0.0,0.0,0.0,0.0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1
-0.12217602680203764,57.0,0.6034803319484642,0.7365445956641711,0.32366432856209365,0.10494151699568843,1008965.6563790783,201872602.65650144,3444604.4493601723,0.23722245718065396,5.0,21.0,1,7.0,2.0,0.0,0.0,1.0,0.0,0.0,1,0,1,1,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0
1.728602735770211,79.0,-0.21309430759300158,0.0450961244564311,0.513805857089885,0.0690763678246441,164359.08254342581,81778058.58254968,73231598.30591609,-0.009475937168845181,60.0,122.0,0,7.2,2.0,0.0,0.0,1.0,0.0,0.0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
-0.5032187132139712,23.0,0.17826051155669073,-0.20457153855071905,-0.1063850787845155,0.049907063195493775,13245875.265547525,32575980.44780433,26367749.181322955,-0.17179742911051332,0.0,4.0,0,4.450237679666667,2.0,1.0,0.0,0.0,0.0,0.0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1
-0.8842613996259048,53.0,0.5750127536076226,-0.20564653428668267,-0.0674401513449663,0.06852983887155738,71321.27025013896,13944797.969305169,1346454.256409116,-0.21859216979786683,0.0,1.0,0,5.512180447786648,3.0,1.0,0.0,0.0,0.0,0.0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0
-1.700781441937191,20.161582907644814,-0.4809327833700672,-0.30402234774974835,-0.6376006619428982,0.06852983887155738,958528.177409179,1511759.7842434489,1511759.7842434489,0.07414635034672416,0.0,0.0,0,3.2679778752797928,1.0,0.0,0.0,0.0,1.0,0.0,1,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,1
1.075386701921182,57.0,1.774393538623292,4.441382476803068,1.4323188603832544,0.31673711996883386,36653489.69105068,376400664.4018383,110759544.5360677,1.6261509800606344,2.0,12.0,1,6.7,2.0,1.0,0.0,0.0,0.0,0.0,1,0,0,1,1,1,0,1,0,0,1,0,1,0,0,0,0,1,1
0.8032133544840867,67.0,-0.09088876615434532,0.1943096432123914,1.8796280040812385,0.23317741043448928,23736175.509092025,77794835.97499387,77794835.97499387,0.060655495052737145,1.0,4.0,0,7.2,3.0,1.0,0.0,0.0,0.0,0.0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1
-0.17661069628945672,76.0,-0.1900068335760426,-0.19018669585178768,1.4836132569026241,0.028158803756579424,1505789.997511423,37069196.05267624,26254462.860770233,0.1375868474322216,32.0,84.0,0,7.3,3.0,0.0,0.0,1.0,0.0,0.0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
-1.047565408088162,38.0,-0.29661445376720647,-0.12718391502177837,-0.13528368222666992,0.1539716533571233,13432264.377434783,56748596.370119564,36794740.43904348,-0.22871212565739263,0.0,2.0,0,5.2,2.0,0.0,0.0,0.0,0.0,1.0,1,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1
2.6539921170563354,76.0,2.658564469015621,1.4626768406523636,2.243401492494592,0.3936359056057874,610080.2099427467,685145302.5103937,236079410.2430965,1.027233511748942,92.0,193.0,1,8.0,3.0,0.0,1.0,0.0,0.0,0.0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1
