Director,Count,TotalGrossWorldWide,AverageGrossPerFilm,Director_weight
Nimród Antal,4,272892109.3864307,68223027.34660767,109800726.71265878
Asif Kapadia,3,63439025.79980022,21146341.93326674,29315054.58040077
Scott J. Gill,1,725221.7291473744,725221.7291473744,502685.3968393109
Luis Llosa,3,650193480.4633211,216731160.15444037,300453185.2010726
John Sayles,13,94279181.39376439,7252244.722597261,19139089.591333877
Carl Reiner,11,1017583169.6789606,92507560.8799055,229872653.18614548
Gareth Edwards,3,2124027901.8749714,708009300.6249905,981509301.0768617
Paul Dano,1,4030262.667444555,4030262.667444555,2793565.2048551976
Brian Levant,7,1734924206.623555,247846315.23193642,515381923.8455644
Eran Creevy,1,8655233.178907283,8655233.178907283,5999350.475048476
Norberto Barba,1,9919164.816048438,9919164.816048438,6875441.125753383
Andrew Fleming,7,212003220.0329049,30286174.290414985,62978328.958044745
James McTeigue,4,399424875.90211046,99856218.97552761,160712384.61153555
Garry Marshall,14,1818852492.764385,129918035.19745608,351824561.34327495
Reginald Hudlin,5,371186619.85394406,74237323.9707888,133015428.19481172
Henry Bean,1,2252688.8979785433,2252688.8979785433,1561444.9583125175
David Frankel,6,1141429885.2449763,190238314.20749605,370186666.35554016
Steve Carr,6,1056963674.0404705,176160612.3400784,342792723.4163572
Jeff Wadlow,3,196646834.43484828,65548944.81161609,90870132.5697023
Taylor Hackford,10,611173493.6923593,61117349.36923593,146553003.13845733
Peter Hyams,13,890644966.3978388,68511151.26137222,180804855.89670402
Jon Blair,1,2619557.4829396326,2619557.4829396326,1815738.8836143133
James Beshears,1,9202088.810943006,9202088.810943006,6378401.914567363
Pawel Pawlikowski,2,29320198.445053875,14660099.222526938,16105765.158961896
Emile Ardolino,4,714412244.7144333,178603061.17860833,287450537.9376393
Robert M. Young,7,68875282.96569283,9839326.137956118,20460303.513402175
Jacob Estes,2,7597639.992346744,3798819.996173372,4173430.330234208
Jon Shear,1,1826221.3510452963,1826221.3510452963,1265840.1805554212
Roger Michell,8,955804103.2946502,119475512.91183127,262514533.35972652
Jake Schreier,2,116310834.77244847,58155417.38622423,63890256.19312899
Gavin O'Connor,7,401824909.6629209,57403558.523274414,119367344.23354642
Samir Karnik,2,8149737.591876261,4074868.7959381305,4476700.9339278545
Jack Baran,1,2353207.148057743,2353207.148057743,1631118.8999497343
John Mackenzie,4,57238609.975432605,14309652.493858151,23030497.23737248
Bertrand Tavernier,6,19422123.004437733,3237020.5007396224,6298951.045089344
John Luessenhop,3,174791183.06377319,58263727.68792439,80770677.15159443
James Merendino,1,559995.5425644172,559995.5425644172,388159.33145466266
Guillaume Canet,1,50524910.28223214,50524910.28223214,35021199.1101734
Woody Allen,39,2131677124.9365413,54658387.81888568,201628203.82007882
Tommy Chong,3,289198553.666183,96399517.88872766,133638108.06381918
JK Youn,1,237890844.15728068,237890844.15728068,164893367.90864444
Hendel Butoy,1,65116847.969563894,65116847.969563894,45135559.57705381
Callie Khouri,2,162442855.18058002,81221427.59029001,89230858.45385967
Pierre Falardeau,1,6065274.375414166,6065274.375414166,4204127.832640812
Douglas Cheek,1,13649778.603907602,13649778.603907602,9461305.55456602
Tony Scott,12,2157752703.034861,179812725.2529051,461210534.10084677
Maximilian Schell,1,2500597.522155919,2500597.522155919,1733282.1221975607
Todd Lincoln,1,15063853.266331002,15063853.266331002,10441467.419926057
Amir Bar-Lev,1,1121427.6129526359,1121427.6129526359,777314.3881201891
Robert Budreau,1,1996923.8095748406,1996923.8095748406,1384162.1083998259
Andy Fickman,5,710476894.6121922,142095378.92243844,254600740.71782765
Michael Polish,4,27500454.04638576,6875113.51159644,11065068.33785125
Bob Clark,9,393670030.4576892,43741114.4952988,100717638.1878208
Ali Abbas Zafar,3,182994434.65511832,60998144.88503944,84561384.29290427
Louis Bélanger,1,1464993.9680869565,1464993.9680869565,1015456.4385168004
Betty Thomas,5,1470036410.3619843,294007282.0723969,526790331.67522085
Keith Fulton,1,2383110.079699833,2383110.079699833,1651846.0327079257
Bill Duke,5,237646128.0336962,47529225.60673924,85160940.04595158
Brian Hannant,1,34016.11588028169,34016.11588028169,23578.174816017636
Tony Goldwyn,4,95274264.32744995,23818566.081862487,38334503.27196643
Michael Schultz,6,209689378.96711034,34948229.82785172,68006115.11353429
Roger Holzberg,1,3420495.0186136942,3420495.0186136942,2370906.4782714196
Jon Gunn,2,41119636.33681473,20559818.168407366,22587268.8925942
George Cukor,1,48578432.03245325,48578432.03245325,33672003.1993179
John Landis,10,1940164018.210899,194016401.82108992,465231012.77214074
Frank Darabont,4,733512384.9931284,183378096.2482821,295135660.41197467
Billy Crystal,2,95330383.84409907,47665191.92204954,52365565.58728754
David Jacobson,1,1333962.8894930873,1333962.8894930873,924632.6158237313
