Director,Count,TotalGrossWorldWide,AverageGrossPerFilm,Director_weight
John Irvin,10,246694569.02164605,24669456.902164605,59154774.088203646
Andrew Wagner,1,1320822.0802924635,1320822.0802924635,915524.1009760428
Chi Muoi Lo,1,2413459.3132292917,2413459.3132292917,1672882.5183610255
Kevin Reynolds,5,1113942480.410874,222788496.08217478,399183397.49031407
Robert Benton,7,245858497.14747724,35122642.4496396,73035481.76334822
Oren Moverman,2,5287403.562228345,2643701.7811141727,2904403.2643057993
Eran Riklis,2,12911547.811570356,6455773.905785178,7092392.5457585165
Mikael Salomon,2,64327063.829760544,32163531.914880272,35335251.40865641
Vondie Curtis-Hall,3,51922002.59013248,17307334.19671083,23993059.802917674
Kyle Patrick Alvarez,1,852479.6197234797,852479.6197234797,590893.8448961444
Carroll Ballard,3,141556956.06208205,47185652.02069402,65413203.322053485
Jenniphr Goodman,1,7796319.123461093,7796319.123461093,5403996.61917264
José Iván Santiago,1,2335400.022275584,2335400.022275584,1618775.9409199543
Eric Hannah,1,1802323.5133032186,1802323.5133032186,1249275.461703021
Douglas Day Stewart,2,41166091.36998117,20583045.684990585,22612786.927747767
Keith Gordon,2,4097699.628330223,2048849.8141651114,2250891.5834771646
Tom McLoughlin,1,5334865.310950704,5334865.310950704,3697846.848952536
Bryan Singer,8,3088209011.306681,386026126.41333514,848186092.4492784
Alan Metter,2,281565763.5472276,140782881.7736138,154665803.9506018
Frank Miller,2,298373785.1573241,149186892.57866204,163898553.49512735
Takashi Yamazaki,1,113676322.0,113676322.0,78794422.09072448
Matty Rich,2,24326746.765027974,12163373.382513987,13362831.469688458
Matt Hullum,1,1808203.3848880038,1808203.3848880038,1253351.0781140695
Chad Stahelski,3,942320375.6485517,314106791.8828506,435444474.3766548
Paul Weitz,6,639653879.1810133,106608979.86350222,207451495.89682248
Rick Rosenthal,2,91911166.8261407,45955583.41307035,50487368.67051144
Anudeep K.V.,1,822306.3278075063,822306.3278075063,569979.3126763751
Chris Walas,1,95595777.80369355,95595777.80369355,66261943.85806518
Tom Ford,2,73939621.58425918,36969810.79212959,40615488.44596847
Guillermo del Toro,10,1527007608.95312,152700760.895312,366160432.70358294
Mark Pellington,3,81539250.87368299,27179750.291227665,37679134.56537562
André Téchiné,6,18431217.696023226,3071869.616003871,5977582.26235658
Ali Selim,1,2876238.663461341,2876238.663461341,1993656.720195734
Jacques Rivette,3,1153448.0740652317,384482.69135507726,533006.1869737429
Kenneth Johnson,2,59132974.902465254,29566487.451232627,32482106.446675625
David Mickey Evans,3,125581009.28529161,41860336.428430535,58030748.34531479
Lewis Teague,5,444864182.7119461,88972836.54238923,159417922.3789058
Trish Sie,2,341369595.7501074,170684797.8750537,187516416.43436646
Rob Thomas,1,4486023.126461543,4486023.126461543,3109474.2820335296
Dennis Dugan,13,2643212264.5262175,203324020.34817058,536583746.1866815
Jeff Burr,3,20812240.59720829,6937413.532402764,9617297.260726772
Ed Harris,2,58673652.73429541,29336826.367147706,32229797.95747109
Jeff Baena,1,2047558.4075146865,2047558.4075146865,1419259.3372006165
Jeremy Podeswa,1,943455.0575870348,943455.0575870348,653953.213151474
George Nolfi,2,182371521.79443556,91185760.89721778,100177797.47323546
John Bonito,1,33501513.337380953,33501513.337380953,23221479.514297012
James Signorelli,2,104080255.95778906,52040127.97889453,57171924.10147466
Bobby Farrelly,10,1266738868.998919,126673886.8998919,303750714.5842462
Dror Moreh,1,3415533.256234919,3415533.256234919,2367467.2466679635
Mira Nair,10,194485855.0939047,19448585.50939047,46635671.255582295
Iain Softley,5,286310348.2555573,57262069.65111146,102599855.52497539
Yash Chopra,2,19826984.04220438,9913492.02110219,10891084.157996122
Rich Christiano,3,5005061.543775498,1668353.847925166,2312829.531731329
Ari Folman,1,15821316.96791963,15821316.96791963,10966501.249058714
Steven Baigelman,1,6067706.289866157,6067706.289866157,4205813.507286573
Pat O'Connor,6,186967466.1641012,31161244.360683534,60636981.65864673
Stacy Peralta,2,7808396.461712431,3904198.2308562156,4289200.153814932
Tobe Hooper,6,342621848.69071126,57103641.44845188,111118555.44255815
Israel Horovitz,1,13651800.521399364,13651800.521399364,9462707.04097476
Timur Bekmambetov,3,758651354.6841109,252883784.89470363,350571365.018183
Nicholas Stoller,6,735689878.2463518,122614979.7077253,238597733.43947396
Mike Flanagan,3,248154037.78855252,82718012.59618418,114671514.42513421
Anthony Bell,1,70576665.02840555,70576665.02840555,48920016.377762996
Rob Epstein,4,10261811.740677277,2565452.935169319,4128937.2164268442
James Gray,6,290358907.4449924,48393151.24083207,94168724.14430384
Maurice Joyce,1,35554825.92123649,35554825.92123649,24644727.342604734
Mark Griffiths,3,24587758.97261497,8195919.657538324,11361957.205437042
Leonard Schrader,1,190647.402096404,190647.402096404,132146.70924420064
Lucía Puenzo,1,4755429.311143259,4755429.311143259,3296212.4193710727
Ang Lee,10,1680766229.2559214,168076622.92559212,403030139.5811916
Sam Green,1,956334.0726181212,956334.0726181212,662880.2661086606
Tyler MacIntyre,1,1302710.0,1302710.0,902969.7635872463
Petr Jákl,1,4602137.672228392,4602137.672228392,3189958.7520538196
Panos Cosmatos,1,2141677.426921591,2141677.426921591,1484497.670139579
Lionel C. Martin,1,26596152.326080997,26596152.326080997,18435047.998565875
Michael Davis,1,39857820.23456897,39857820.23456897,27627335.718856618
Harley Cokeliss,2,26663221.823966283,13331610.911983142,14646271.575646546
Mikael Håfström,4,595498241.314353,148874560.32858825,239604361.5897876
Johannes Roberts,3,102992548.55430503,34330849.51810168,47592663.099399865
Jim Archer,1,896286.4693922879,896286.4693922879,621258.439233292
Theodore Melfi,2,370141697.05526775,185070848.52763388,203321108.46669292
Tamara Jenkins,2,25942112.154492177,12971056.077246089,14250161.60346572
Hiromasa Yonebayashi,3,306614346.3190485,102204782.10634951,141685913.11351943
Fritz Kiersch,3,27340549.752610315,9113516.584203439,12634016.650653834
Dave Meyers,2,48362646.97657596,24181323.48828798,26565899.14049198
Camilla Hall,1,28324.880524850083,28324.880524850083,19633.31107549714
Nikolaj Arcel,3,162588317.48216012,54196105.82738671,75131755.90316303
Joe Dante,9,642129970.6370441,71347774.51522712,164284322.01706246
Christopher Ashley,1,6973291.210196851,6973291.210196851,4833517.141571396
Robert Harmon,4,94833892.6483215,23708473.162080374,38157315.55297853
James Watkins,1,171141754.71656924,171141754.71656924,118626424.75787169
Andy Wolk,1,6964306.266771203,6964306.266771203,4827289.253368418
Andrew Adamson,3,2390619114.3451343,796873038.1150447,1104700599.267362
Mark Romanek,2,102311479.59890376,51155739.79945188,56200324.37958614
Thom Eberhardt,3,99414364.66495481,33138121.55498494,45939191.04978112
Anne Fletcher,5,975552755.5259616,195110551.10519233,349591177.4890327
Gary Weis,1,52345204.018616505,52345204.018616505,36282930.58133915
Jim Gillespie,2,239795331.25500953,119897665.62750477,131721048.84099677
Lajos Koltai,1,29415866.88951587,29415866.88951587,20389525.19819457
Peter Spirer,1,3053241.2364735203,3053241.2364735203,2116345.5546309818
Mike Mitchell,6,2082891312.0206733,347148552.00344557,675519890.5733609
J. Lee Thompson,7,206857291.63923594,29551041.66274799,61449663.633429736
Stephen Chbosky,2,65820512.65184691,32910256.325923454,36155612.0228769
Marc Forster,9,2187055689.855498,243006187.76172197,559542425.4454532
James Schamus,1,4982401.454765903,4982401.454765903,3453537.5207887553
Richard Attenborough,7,602224458.8018417,86032065.54312025,178898651.00688666
Tom McGrath,3,1271102324.3653226,423700774.7884409,587373994.8913443
Luca Guadagnino,4,53315607.66020656,13328901.91505164,21452040.073199593
Luigi Cozzi,1,32661221.52799197,32661221.52799197,22639033.61577142
Kristoffer Borgli,2,13650774.125499308,6825387.062749654,7498454.102053105
Sam Firstenberg,3,79618594.59867746,26539531.532892484,36791602.91081238
Oliver Parker,4,286946611.3003264,71736652.8250816,115455688.76780914
David Wain,3,163876872.79087746,54625624.26362582,75727194.88931835
Mel Brooks,7,664242787.9396267,94891826.8485181,197322006.71469852
Claude Lelouch,3,13447791.868447635,4482597.289482545,6214199.345580958
Dustin Marcellino,1,3656628.648291768,3656628.648291768,2534581.837918163
Sheldon Lettich,3,130851942.0040731,43617314.0013577,60466436.44727783
Arthur Hiller,11,748303066.6004585,68027551.5091326,169042115.1138393
Louis Saia,3,26026146.29008765,8675382.096695883,12026633.281209957
Jill Sprecher,3,8469298.080803117,2823099.3602677057,3913646.724020291
Steve Rash,7,298151060.57476425,42593008.65353775,88569671.57929513
Bill Froehlich,1,3191080.208785211,3191080.208785211,2211888.2496601106
William Phillips,1,1290075.1482173915,1290075.1482173915,894211.9516973384
James Manera,1,1089789.4794539064,1089789.4794539064,755384.5050873656
DJ Pooh,2,34997328.60034173,17498664.300170865,19224247.63544566
Matthew Dean Russell,1,5923758.858837285,5923758.858837285,4106036.751320063
James Glickenhaus,3,46935847.8033869,15645282.601128966,21688967.04807222
Madonna,1,2766364.8300472572,2766364.8300472572,1917497.9823474486
Paul Gross,1,7191356.75786548,7191356.75786548,4984668.661115167
Ron Clements,5,2381512138.662698,476302427.73253953,853419385.106089
Stephanie Soechtig,1,1990145.4310202082,1990145.4310202082,1379463.6944159144
Gabrielle Burton,1,856476.841856587,856476.841856587,593664.5081477794
Darrel Campbell,1,4418923.522165214,4418923.522165214,3062964.380498841
Camille Delamarre,2,185290741.79909772,92645370.89954886,101781342.95845927
C.B. Harding,2,13830139.953452872,6915069.976726436,7596980.853431563
Susanne Ofteringer,1,613184.7840026247,613184.7840026247,425027.30419367837
Adam Brooks,1,79238821.9667074,79238821.9667074,54924166.03711469
Andrew Dominik,2,72387776.05937494,36193888.02968747,39763050.16409226
Robert Altman,15,417401864.92453283,27826790.994968854,77152246.88877414
Bryan Gordon,1,25362718.855888404,25362718.855888404,17580097.06629361
Jan Kounen,1,8600998.191538056,8600998.191538056,5961757.646465792
James Moll,1,787798.6089815951,787798.6089815951,546060.3846646395
Del Shores,1,1966359.498524971,1966359.498524971,1362976.5423698516
Dante Lam,2,778607581.36112,389303790.68056,427693928.4667408
Michael Hoffman,7,386421345.5501646,55203049.36430923,114791514.07554726
Roger Spottiswoode,9,1324572912.071949,147174768.00799432,338882426.8800647
Aviva Kempner,3,5431694.680613208,1810564.8935377358,2509975.902352998
Don Hall,3,1070053762.2727346,356684587.4242449,494469832.2446053
Robert Shaye,2,43354630.07130995,21677315.035654973,23814964.68350054
Dewey Nicks,1,10863439.290327959,10863439.290327959,7529962.315274958
Trevor Nunn,2,14063149.947946392,7031574.973973196,7724974.675098097
Michael Cristofer,2,62285570.11659016,31142785.05829508,34213846.36839257
A.J. Eaton,1,873371.3244151343,873371.3244151343,605374.8711002556
Barbara Kopple,3,4517396.655599829,1505798.8851999429,2087480.5035332981
William Eubank,2,51472888.078444816,25736444.039222408,28274373.68810886
Robert Schwentke,7,1527422347.9178295,218203192.55968994,453740783.13578373
Craig Mazin,1,101289430.48912464,101289430.48912464,70208483.16405931
Gideon Amir,1,6942626.729616789,6942626.729616789,4812262.143313991
Gary Hardwick,1,48102296.52220215,48102296.52220215,33341971.21282288
Peter Masterson,4,22114279.140263118,5528569.785065779,8897889.81362251
Ashwani Dhir,1,2147781.8820265336,2147781.8820265336,1488728.9559844248
David Attwood,1,52294.50789736278,52294.50789736278,36247.7907078268
Sebastián Lelio,4,36696442.97244545,9174110.743111363,14765161.642832404
Chuck Workman,1,663264.5594117647,663264.5594117647,459739.95932159905
Robert Boris,3,29451329.944625255,9817109.981541751,13609404.209905121
Jamie Blanks,1,135578547.55638036,135578547.55638036,93975887.9831175
Rob Zombie,3,90650355.27210316,30216785.090701055,41889358.78241045
Julie Anne Robinson,2,175099030.35838544,87549515.17919272,96182973.24279633
Stuart Baird,2,305409010.3209414,152704505.1604707,167763045.9042759
Stanley Donen,3,226386795.43638605,75462265.14546202,104612912.64848806
Frédéric Fonteyne,1,733953.2286794718,733953.2286794718,508737.6111220446
Hany Abu-Assad,2,83690279.10705157,41845139.55352578,45971584.53453541
Joel Schumacher,17,2811711774.6003356,165394810.27060798,478052488.5087598
Deepa Mehta,2,23913563.53754483,11956781.768772416,13135867.384096194
Gregg Champion,2,51046150.852926955,25523075.426463477,28039964.308115833
Penelope Spheeris,7,745210628.0945878,106458661.15636969,221374562.48017263
DK Welchman,1,52442338.04189784,52442338.04189784,36350258.75571305
George Mihalka,1,19012972.38462046,19012972.38462046,13178788.202463772
Ryan Coogler,3,2756544370.268496,918848123.422832,1273793972.2266653
Harold Ramis,11,1243439153.8833432,113039923.08030392,280893656.55377126
Edward Hall,1,1135910.9159347943,1135910.9159347943,787353.4487474677
Ariel Vromen,3,58331890.57664619,19443963.52554873,26955056.99328903
Destin Daniel Cretton,3,515661064.03789794,171887021.34596598,238286008.4416069
Will Vinton,1,2406791.8246282525,2406791.8246282525,1668260.9674357995
Simon Kinberg,2,329844658.7735953,164922329.38679764,181185697.7401056
Savage Steve Holland,2,41377567.93598105,20688783.967990525,22728952.30483417
Stephen Gyllenhaal,4,24660200.086401127,6165050.021600282,9922265.236816162
Jonathan Levine,6,420376190.16054624,70062698.36009105,136335715.8091022
Cord Jefferson,1,22483370.0,22483370.0,15584284.524986057
Gregory Jacobs,2,159882802.41576117,79941401.20788059,87824605.74032529
Babak Najafi,2,287612804.9815659,143806402.49078295,157987480.9655264
Stuart Rosenberg,4,165772119.44369048,41443029.86092262,66699983.46430738
Lorene Scafaria,2,194768165.39796665,97384082.69898333,106987349.97377455
Michael Steinberg,1,1612546.243930796,1612546.243930796,1117731.882503161
Todd Solondz,5,17553603.686917983,3510720.7373835966,6290367.125022359
James Melkonian,1,15110893.947860893,15110893.947860893,10474073.535700118
Gabe Polsky,1,1027977.9727629089,1027977.9727629089,712540.0334983385
Steven Spielberg,21,8518777389.594444,405656066.17116404,1253900121.9973984
Jeannot Szwarc,5,979100620.705841,195820124.14116818,350862561.6953513
Bruce Robinson,4,71817783.79994765,17954445.949986912,28896566.008657824
Jon Avnet,5,433388921.89156234,86677784.37831247,155305740.93154895
Bud Yorkin,2,61607944.730688855,30803972.365344428,33841622.58036025
Alan Alda,3,234945502.10047105,78315167.36682369,108567874.91078815
Paul Bolger,1,57563555.19918651,57563555.19918651,39900015.98932291
Jeff Calhoun,1,3514774.613568864,3514774.613568864,2436256.113698929
John Hyams,1,756427.0622346038,756427.0622346038,524315.2854871579
Ken Loach,6,40049184.386619516,6674864.064436586,12988685.72655175
Rusty Cundieff,3,38542148.50321277,12847382.834404258,17810254.378483098
Abby Kohn,1,114717989.58634366,114717989.58634366,79516451.04127927
Nisha Ganatra,1,26681170.79371971,26681170.79371971,18493978.309705175
Takashi Ôtsuka,1,97224045.32878035,97224045.32878035,67390572.90227643
Lawrence Bassoff,2,66449567.41473336,33224783.70736668,36501155.66925303
Lisa Comrie,1,1261494.3780324294,1261494.3780324294,874401.2714254002
Bill Forsyth,4,24314748.86740493,6078687.216851233,9783269.664628899
Steven Brill,5,617078454.406088,123415690.8812176,221131232.78774413
Bill Condon,8,3978867488.9730406,497358436.1216301,1092808179.5919518
Laurent Cantet,3,48698869.09298119,16232956.364327064,22503655.87217185
Jim Kouf,2,30192513.70116722,15096256.85058361,16584933.28894129
Nanfu Wang,1,323990.7234380439,323990.7234380439,224573.2564786571
Santosh Sivan,3,4651459.8944901535,1550486.631496718,2149430.874235674
James Toback,5,52759917.25100328,10551983.450200656,18906616.26603475
Jonathan Mostow,4,1212689579.6380265,303172394.9095066,487937146.370803
Guy Ritchie,13,3582597401.429663,275584415.49458945,727283071.638733
Rebecca Miller,3,10501623.981102694,3500541.3270342313,4852780.702534693
Thomas Rickman,1,3351851.036458133,3351851.036458133,2323326.095577885
Chia-Liang Liu,1,23758182.401214577,23758182.401214577,16467917.146630796
Patrice Leconte,7,75095785.4044331,10727969.343490442,22308185.11072178
Jody Lambert,1,21003.511930902016,21003.511930902016,14558.525076761904
Michael Wadleigh,1,35621390.10946094,35621390.10946094,24690866.121998772
Steve McQueen,3,363663203.0624454,121221067.6874818,168048082.5840886
Stewart Raffill,5,91281773.30316123,18256354.660632245,32710996.33677356
René Cardona Jr.,1,15940623.63090909,15940623.63090909,11049198.326131875
Anna Campion,1,90939.77167341432,90939.77167341432,63034.64633619231
David Drury,1,2123852.230483271,2123852.230483271,1472142.1854854305
Salvador Carrasco,1,1671954.084785276,1671954.084785276,1158910.2598945978
Rob Stewart,1,2506526.110545635,2506526.110545635,1737391.5065245929
Malcolm Mowbray,3,10865887.245819287,3621962.415273096,5021106.072481273
Andrew J. Kuehn,1,29340594.316977862,29340594.316977862,20337350.22676636
Paul Almond,1,197833.6744190141,197833.6744190141,137127.8536433538
Christy Hall,1,1117356.0,1117356.0,774492.1610817382
David Sington,1,3176266.540488661,3176266.540488661,2201620.1972466065
Daniel Petrie Jr.,1,33722909.510161534,33722909.510161534,23374939.647246633
Tomas Alfredson,2,163977207.24812043,81988603.62406021,90073687.47213127
Dean Devlin,2,281448772.9458027,140724386.47290134,154601540.29440972
Julien Temple,3,13756896.672663849,4585632.224221283,6357036.094607626
Don Roos,3,108153017.36120924,36051005.787069745,49977306.03531533
Bryan Forbes,2,35056378.464043565,17528189.232021783,19256684.088399168
Kar-Wai Wong,3,161639316.2472339,53879772.0824113,74693224.21627168
Jerry Zucker,2,402219744.9900671,201109872.49503356,220941777.29552057
Werner Herzog,6,44196263.434062205,7366043.9056770345,14333659.59444398
Tian-Ming Wu,1,2225490.2251049867,2225490.2251049867,1542592.2748952394
Julian Schnabel,5,65764882.79287801,13152976.558575602,23566970.29736247
Alain Corneau,3,12100718.692516098,4033572.897505366,5591719.362977707
Chris Menges,2,12623131.07721148,6311565.53860574,6933963.461446423
Kang Je-kyu,1,131312667.33071467,131312667.33071467,91019005.13209091
Kenneth Branagh,13,1930670504.3816397,148513115.7216646,391934626.5892581
Brad Furman,3,226166821.35957152,75388940.4531905,104511263.04106121
Sergei Bodrov,3,187733001.9046111,62577667.30153704,86751067.31215735
Michel Gondry,5,206031725.08375174,41206345.01675035,73831858.87604071
Ayan Mukerji,1,6076060.711494986,6076060.711494986,4211604.351083805
John Huston,4,299549416.2973143,74887354.07432857,120526546.80910069
David E. Talbert,3,138898921.3998956,46299640.46663187,64184930.500770055
Ericson Core,1,171986775.3184877,171986775.3184877,119212148.40560654
Howard Deutch,9,656117860.7251159,72901984.52501288,167863022.8169773
Marilyn Agrelo,1,14204335.10268305,14204335.10268305,9845694.828153417
Janicza Bravo,1,5884333.170128009,5884333.170128009,4078708.9463495943
Prashanth Neel,2,104751231.41863286,52375615.70931643,57540495.04481353
Tony Bill,6,177172678.74616188,29528779.79102698,57460352.28457883
John Madden,7,333218159.55357194,47602594.22193885,98986811.91682816
Gillian Robespierre,2,5449681.497781614,2724840.748890807,2993543.531395056
Nick Broomfield,3,3167911.4251026474,1055970.4750342157,1463885.9150490256
Damon Santostefano,1,19332619.467286915,19332619.467286915,13400350.676588235
Joe Johnston,7,2199496451.5570793,314213778.7938685,653389184.5921688
Mike White,2,7090881.952566925,3545440.9762834627,3895065.0252924724
Errol Morris,5,18512237.386031315,3702447.4772062628,6633895.326603845
Andrew Jarecki,2,9202958.247272711,4601479.123636356,5055241.511276665
Geoff Murphy,4,354707120.673388,88676780.168347,142719771.95552203
Larry Peerce,4,93667349.13228463,23416837.283071157,37687945.71267505
Damien Dante Wayans,1,44652292.31451917,44652292.31451917,30950610.523347475
Hun Jang,1,107218681.96752611,107218681.96752611,74318327.10914417
Carl Schultz,2,57604482.47091941,28802241.235459704,31642496.162459392
Priyadarshan,3,51066006.49864675,17022002.166215584,23597505.617995225
Darren Grant,1,79026254.77985662,79026254.77985662,54776825.69086952
Jocelyn Moorhouse,3,46898796.32098035,15632932.10699345,21671845.62769511
P.J. Hogan,4,955971629.0704827,238992907.26762068,384644245.75935596
Xavier Koller,2,7481818.989965659,3740909.4949828293,4109809.141983349
Lee Isaac Chung,1,17999467.927391034,17999467.927391034,12476280.445450258
Ulu Grosbard,5,175629954.00532436,35125990.80106487,62937326.63382553
Carlos Saura,3,5671517.377679652,1890505.7925598838,2620797.5198902567
Pierre Sauvage,1,624910.0058274649,624910.0058274649,433154.60864300624
Robby Henson,2,3761642.4589223405,1880821.2294611703,2066293.3154739044
Eric Summer,1,139109559.09086818,139109559.09086818,96423398.67277238
Maurice Phillips,1,6411529.6404698985,6411529.6404698985,4444133.69336823
Yahoo Serious,1,29717833.32451395,29717833.32451395,20598832.38123723
Susan Seidelman,4,92009318.34596956,23002329.58649239,37020821.310805455
Matthew Crouch,1,1053216.4662226096,1053216.4662226096,730034.0240815107
Marco Polo Constandse,1,13374229.612826403,13374229.612826403,9270309.54829195
Francis Megahy,1,412027.6774133559,412027.6774133559,285595.82291173027
Daisuke Nishio,1,11360519.303934783,11360519.303934783,7874511.925219227
Paul Miller,1,6835606.831352025,6835606.831352025,4738081.602567958
Bethany Ashton Wolf,1,19871290.17642678,19871290.17642678,13773728.75987876
Mark Buntzman,1,10966356.949104909,10966356.949104909,7601299.400286031
Paul McGuigan,5,238602445.51431704,47720489.10286341,85503638.22624972
Christopher Chapman,1,1574719.3779317932,1574719.3779317932,1091512.2969865333
Dan Scanlon,2,1139665744.2792337,569832872.1396168,626025395.8196268
Satoshi Kon,2,2521846.4291318054,1260923.2145659027,1385265.7385889965
Janice Engel,1,828717.8819825,828717.8819825,574423.4633757793
Christine Lahti,1,1023710.9740824393,1023710.9740824393,709582.375393518
Millicent Shelton,1,10253867.221411044,10253867.221411044,7107439.1543571055
Burt Reynolds,2,143407734.62146732,71703867.31073366,78774749.77259956
Elaine May,1,38557626.769911975,38557626.769911975,26726110.284647156
Jerrold Freedman,1,3617282.5815875917,3617282.5815875917,2507309.2227160395
Joseph Vilsmaier,2,787424.1522573705,393712.07612868526,432536.925032008
Michael Caton-Jones,7,627250025.2318751,89607146.46169643,186332822.78384086
Yves Angelo,1,954576.675897436,954576.675897436,661662.1315265924
Al Reinert,1,1893000.4913870967,1893000.4913870967,1312127.953403557
Lee Daniels,3,327343730.5140155,109114576.83800517,151264922.5865096
David Bowers,4,307287827.19100535,76821956.79775134,123640169.77767555
Mike Marvin,1,9730447.080291972,9730447.080291972,6744631.9592921315
Joe Wright,7,965366012.7981672,137909430.39973816,286774598.5626195
Baz Luhrmann,4,1106024445.4659622,276506111.36649054,445019418.6529554
Bruce Morris,1,4399012.110536634,4399012.110536634,3049162.841667522
Ziad Doueiri,2,7396862.351107869,3698431.1755539346,4063141.938256796
Alek Keshishian,2,106060546.1812917,53030273.09064585,58259709.68880931
Mark Herrier,1,9407282.745961823,9407282.745961823,6520631.512093658
Claude Berri,3,32685685.64051749,10895228.546839165,15103993.897595594
Casey Affleck,1,875298.6113291997,875298.6113291997,606710.7645908702
Ronny Yu,5,425374189.158991,85074837.8317982,152433646.27816558
Adam Robitel,1,73962500.09956822,73962500.09956822,51266898.411180384
Jon Purdy,1,2475614.829182879,2475614.829182879,1715965.4390005032
Richard Ayoade,1,5414998.731729464,5414998.731729464,3753391.1036339574
Robert Markowitz,1,11043323.81939394,11043323.81939394,7654648.769423396
Sam Taylor-Johnson,1,9342269.244270219,9342269.244270219,6475567.586697793
Andrew Slater,1,4071467.276690813,4071467.276690813,2822126.0635803156
Tony Vitale,1,3642179.8934205608,3642179.8934205608,2524566.7242165837
Victor Salva,5,279884888.79246366,55976977.75849273,100297279.95754758
Zalman King,4,35338919.55523876,8834729.88880969,14218949.22916502
Joseph B. Vasquez,1,1192259.551879589,1192259.551879589,826411.3468810009
Ronald Neame,1,35254776.85950413,35254776.85950413,24436749.18143529
Rawson Marshall Thurber,4,1270177113.5034919,317544278.37587297,511067800.4946578
John Carroll Lynch,1,3391656.9561520885,3391656.9561520885,2350917.4565833462
Stanley Tong,2,105460805.13378544,52730402.56689272,57930268.24640478
Martin Bell,1,29044.933666987487,29044.933666987487,20132.41388082301
Olivier Assayas,5,47827326.55711068,9565465.311422136,17139013.0493131
Bahman Ghobadi,1,1118850.880487805,1118850.880487805,775528.3332771343
Kevin Connor,2,25562970.120829318,12781485.060414659,14041896.554799402
Clay Borris,1,5282242.700729927,5282242.700729927,3661371.6350443
Simon J. Smith,1,431337621.9380154,431337621.9380154,298980456.515767
Fred Walton,2,40637607.09863845,20318803.549319226,22322487.270315308
Eli Roth,4,282856517.4290046,70714129.35725115,113810000.73232922
Abbas Alibhai Burmawalla,2,28062727.47383313,14031363.736916564,15415028.628148628
Deon Taylor,3,63445530.507200405,21148510.1690668,29318060.39346397
Gregory Nava,5,116552268.24547966,23310453.64909593,41766726.0577693
Claude Chabrol,6,20807941.884896174,3467990.3141493625,6748397.549128769
Taylor Chien,1,234611.65655976674,234611.65655976674,162620.40827090052
Joe Pytka,2,460039374.4180883,230019687.20904416,252702455.00345075
Glenn Ficarra,3,432852790.7171378,144284263.57237926,200020460.9887254
Stacy Title,2,38055106.67125785,19027553.335628927,20903903.91780982
Larysa Kondracki,1,2613604.684961661,2613604.684961661,1811612.7184794396
Huck Botko,1,889705.3583116264,889705.3583116264,616696.7606427796
Ingmar Bergman,1,21515061.89807254,21515061.89807254,14913104.494221687
Todd Strauss-Schulson,2,107177916.30311337,53588958.151556686,58873487.96222125
Caroline Thompson,2,28719975.65968053,14359987.829840265,15776059.094987016
John Bailey,2,7544440.966134645,3772220.4830673225,4144207.7782633137
Josh Gordon,4,544797240.8364133,136199310.20910332,219204333.49790367
Miranda July,1,1201761.7342657342,1201761.7342657342,832997.7578111239
Dan Rush,1,3941230.4361264994,3941230.4361264994,2731852.7647381267
Craig Bolotin,1,43857.1075409836,43857.1075409836,30399.430439547097
Irvin Kershner,3,369548131.55015314,123182710.51671772,170767496.97678962
Sacha Gervasi,1,35885263.655139074,35885263.655139074,24873769.326209925
Gregor Nicholas,1,1051361.7250095601,1051361.7250095601,728748.4154390171
Benito Zambrano,1,507707.4213205282,507707.4213205282,351915.96763768437
Sean McNamara,5,119933639.78330956,23986727.956661914,42978446.9521463
Mike Joens,1,16565268.796642337,16565268.796642337,11482169.361610273
Charles Haid,1,43189475.09731445,43189475.09731445,29936662.893567476
Jehane Noujaim,1,4395235.21361567,4395235.21361567,3046544.8962154905
Jack Sholder,3,133251651.10339046,44417217.03446349,61575337.51151508
Kevin Sorbo,1,9001465.412875326,9001465.412875326,6239340.371842396
Robert Stromberg,1,978004771.2509716,978004771.2509716,677901249.7667851
Holger Tappe,1,7559026.120640661,7559026.120640661,5239517.643301055
Sanjay Gupta,1,9745706.312851584,9745706.312851584,6755208.8533183355
Barry Sonnenfeld,10,4138215944.728006,413821594.4728006,992300845.1682129
Sean Penn,2,133906124.85461533,66953062.427307665,73555457.1466033
Egor Abramenko,1,416796.48912140523,416796.48912140523,288901.3113017859
Charles Shyer,5,381087104.8985971,76217420.97971943,136563285.7605533
Denys Arcand,5,73160948.37651174,14632189.675302347,26217364.40626396
Nicholas Meyer,3,309218687.59165835,103072895.86388612,142889374.320403
Craig Gillespie,8,587638326.4802269,73454790.81002836,161396671.69088498
Riley Stearns,1,2877420.10912277,2877420.10912277,1994475.6359249381
David Kerr,1,192902866.20500422,192902866.20500422,133710077.83193102
David Shapiro,1,660658.3445528456,660658.3445528456,457933.4688402058
Stephan Elliott,3,81535333.20726746,27178444.402422488,37677324.21908875
Peter Howitt,3,345478062.13967234,115159354.04655744,159644763.14495164
Banksy,1,7558550.807847525,7558550.807847525,5239188.181578609
Rick Altizer,1,939144.1550906096,939144.1550906096,650965.123240408
Adam Bernstein,1,125051.18113360326,125051.18113360326,86678.87362844811
John Chester,1,6395633.179760022,6395633.179760022,4433115.106446297
Eduardo Ortíz,1,1415046.6858329715,1415046.6858329715,980835.6206458189
Rob McKittrick,1,29078041.05673323,29078041.05673323,20155362.17468097
Jason Reitman,7,608586453.5202343,86940921.93146205,180788564.7362257
