Actor,Count,TotalGrossWorldWide,AverageGrossPerFilm,top_3_count,weight
Sara Woolley,1,12304.279297445257,12304.279297445257,0,2558.602951153885
Tony Doyle,2,25511524.475639,12755762.2378195,2,14013637.145797132
Gemma Clarke,1,16842418.52230221,16842418.52230221,0,3502282.473763313
Leslie Caron,6,76453553.55204834,12742258.92534139,2,13224155.181179978
Robert Hands,1,9428575.601925468,9428575.601925468,1,6535390.595170927
James Fleet,1,9428575.601925468,9428575.601925468,1,6535390.595170927
Charlotte McDougall,1,9428575.601925468,9428575.601925468,0,1960617.178551278
Abigail Cruttenden,2,11859721.161624854,5929860.580812427,1,4234501.507709946
Michael Fitzgerald,3,29598666.451369517,9866222.150456505,0,4103246.439820204
Tom Goodman-Hill,2,315045546.13212115,157522773.06606057,0,51916936.27063563
Martin Oldfield,1,9428575.601925468,9428575.601925468,0,1960617.178551278
Rupert Penry-Jones,2,18883300.62393774,9441650.31196887,0,3111813.9174108277
Yvonne Wilder,2,167511600.52453408,83755800.26226704,1,59809848.41998286
T.K. Carter,3,222567296.77537343,74189098.92512448,2,78850079.28062378
George Grizzard,4,341299594.53255606,85324898.63313901,1,65229435.199015975
Harold Gould,6,558950549.1824465,93158424.86374108,0,54383377.323708184
Marc Alaimo,2,180882042.68986288,90441021.34493144,0,29807885.23477095
Judd Omen,2,287154654.755086,143577327.377543,0,47320744.869327895
Bam Margera,3,387454616.7020953,129151538.90069844,3,179042050.10799444
Steve-O,3,465044172.1248631,155014724.04162103,3,214896037.82945517
Phil Margera,1,131707623.26386906,131707623.26386906,1,91292767.7236023
Ehren McGhehey,3,465044172.1248631,155014724.04162103,0,64468811.34883655
Jason 'Wee Man' Acuña,3,465044172.1248631,155014724.04162103,0,64468811.34883655
Chris Pontius,5,493356839.6930023,98671367.93860045,0,53038607.35370186
Ryan Dunn,2,378689794.8468019,189344897.42340094,0,62404989.33178529
Preston Lacy,3,465044172.1248631,155014724.04162103,0,64468811.34883655
Dave England,3,465044172.1248631,155014724.04162103,0,64468811.34883655
Tom Petty,2,35151366.288798526,17575683.144399263,2,19308861.484173995
Scott Bairstow,2,48800933.89515888,24400466.94757944,0,8041995.851355244
Steve Rosen,1,2336185.9859119146,2336185.9859119146,1,1619320.7293984997
Aleksa Palladino,3,41221307.394550145,13740435.798183382,0,5714486.599905451
Maria Thayer,3,216629249.7496404,72209749.9165468,0,30031190.738155898
Angela Goethals,2,16945175.92093305,8472587.960466525,0,2792426.775057
Devorah Rose,1,2336185.9859119146,2336185.9859119146,0,485796.2188195499
Nancy Anne Ridder,1,2336185.9859119146,2336185.9859119146,0,485796.2188195499
Robert Wisdom,3,134660537.14915124,44886845.71638375,0,18667914.33152439
Leo Fitzpatrick,3,5137334.962179318,1712444.987393106,0,712185.8489253254
Carol Cleveland,4,154585571.80221006,38646392.950552516,4,62198969.99344517
Simon Jones,4,516733607.3124651,129183401.82811627,4,207912664.55937898
Graham Chapman,5,168128369.99498114,33625673.99899623,4,51814243.02531429
Patricia Quinn,2,49194773.51027214,24597386.75513607,0,8106897.407494405
Terry Gilliam,4,154585571.80221006,38646392.950552516,0,18659690.99803355
Judy Loe,1,47083890.58466868,47083890.58466868,0,9790819.802566815
John Slattery,7,1631841066.4496393,233120152.34994847,0,145427918.6997645
Dave Franco,7,1374712024.0948505,196387432.01355007,6,367538565.9535204
Lio Tipton,1,157520687.8613564,157520687.8613564,1,109185020.6709624
Clifford LeDuc-Vaillancourt,1,157520687.8613564,157520687.8613564,0,32755506.201288715
Cory Hardrict,5,661321366.9987504,132264273.39975008,0,71095729.29137117
Daniel Rindress-Kay,1,157520687.8613564,157520687.8613564,0,32755506.201288715
Vincent Leclerc,2,162656159.5662153,81328079.78310765,0,26804408.35905076
Mac,1,2274784.4598954706,2274784.4598954706,1,1576760.4347581235
Kevin Zegers,8,444631501.71835065,55578937.71479383,6,100748511.54157674
Ingrid Tesch,1,2274784.4598954706,2274784.4598954706,1,1576760.4347581235
Bernie,1,2274784.4598954706,2274784.4598954706,0,473028.130427437
Jane Sowerby,1,2274784.4598954706,2274784.4598954706,0,473028.130427437
Louie,1,2274784.4598954706,2274784.4598954706,0,473028.130427437
Alexa Fox,1,2274784.4598954706,2274784.4598954706,0,473028.130427437
Lomax Study,1,2274784.4598954706,2274784.4598954706,0,473028.130427437
Russell Ferrier,1,2274784.4598954706,2274784.4598954706,0,473028.130427437
Jamie Renée Smith,2,350416335.2800824,175208167.6400412,0,57745753.81331145
John Finn,3,141498182.43207353,47166060.81069118,2,50129300.50587592
Ben Cross,3,63812041.55742523,21270680.519141745,3,29487424.460868906
Heidi Kling,3,181924799.72119844,60641599.907066144,0,25220132.40013628
Jeffrey DeMunn,11,1015161181.879168,92287380.17083345,0,68797657.40340519
Donald O'Connor,3,283181255.7660938,94393751.92203127,2,100324103.27775402
Wendy Melvoin,1,52048072.60483963,52048072.60483963,0,10823092.433887174
Arthur Malet,3,161786036.09925526,53928678.69975176,0,22428306.95523366
Jon Bass,2,228006539.189162,114003269.594581,2,125245392.92495015
Rob Huebel,2,232584348.50737146,116292174.25368573,0,38328003.513309695
Ilfenesh Hadera,1,227609768.13168654,227609768.13168654,0,47330120.71451443
Hannibal Buress,2,756644951.9101514,378322475.9550757,1,270159318.75633454
Kelly Rohrbach,1,227609768.13168654,227609768.13168654,0,47330120.71451443
Carsten Norgaard,2,391178711.57074744,195589355.78537372,2,214876869.7984906
Maria Ellingsen,1,96541726.73744941,96541726.73744941,0,20075287.708335523
Shaun Weiss,3,255915639.23799363,85305213.0793312,0,35477440.759802274
Michael Tucker,5,175121893.35743457,35024378.671486914,0,18826578.641539738
Jeff East,3,75548097.86141792,25182699.287139308,3,34910634.01953911
Lois Nettleton,1,28570345.499867987,28570345.499867987,0,5941036.329257104
Colleen Riley,1,28570345.499867987,28570345.499867987,0,5941036.329257104
Ernest Borgnine,8,409739668.0145327,51217458.501816586,1,43607800.2109446
Michael Berryman,3,32781608.646925442,10927202.882308481,0,4544495.921567178
Douglas Barr,2,65458379.04842958,32729189.52421479,1,23371848.376142453
Susan Buckner,1,28570345.499867987,28570345.499867987,0,5941036.329257104
Julia Barr,1,4926633.650176166,4926633.650176166,1,3414882.224271361
Judson Scott,1,4926633.650176166,4926633.650176166,1,3414882.224271361
Barry Snider,1,4926633.650176166,4926633.650176166,0,1024464.6672814082
Jessica James,4,141582281.94801968,35395570.48700492,0,17090091.922205776
Vince Deadrick Jr.,1,107279593.33283938,107279593.33283938,1,74360547.65027513
Cindy Morgan,2,259246115.1756792,129623057.5878396,0,42721645.1882204
Stuart Thomas,1,107279593.33283938,107279593.33283938,0,22308164.295082536
Peter Jurasik,3,298852353.7876753,99617451.26255845,1,73652859.17569083
Craig Chudy,1,107279593.33283938,107279593.33283938,0,22308164.295082536
Barnard Hughes,5,479396966.8998759,95879393.37997517,0,51537843.29772366
Waldemar Kobus,1,41651804.35965774,41651804.35965774,1,28870830.7571312
Thom Hoffman,1,41651804.35965774,41651804.35965774,1,28870830.7571312
Halina Reijn,1,41651804.35965774,41651804.35965774,0,8661249.22713936
Derek de Lint,4,174001276.10868135,43500319.02717034,0,21003318.793591917
Dolf de Vries,1,41651804.35965774,41651804.35965774,0,8661249.22713936
Sebastian Koch,2,49388543.59920901,24694271.799604505,0,8138829.137626761
Peter Blok,1,41651804.35965774,41651804.35965774,0,8661249.22713936
Anabel Sweeney,1,4032314.039067119,4032314.039067119,1,2794987.1073116586
Fiona Bell,1,4032314.039067119,4032314.039067119,1,2794987.1073116586
Rose Reid,1,4032314.039067119,4032314.039067119,1,2794987.1073116586
Judith Hoag,1,4032314.039067119,4032314.039067119,0,838496.1321934975
Katherine McNamara,1,4032314.039067119,4032314.039067119,0,838496.1321934975
Jedidiah Goodacre,1,4032314.039067119,4032314.039067119,0,838496.1321934975
Saoirse-Monica Jackson,1,4032314.039067119,4032314.039067119,0,838496.1321934975
Christine Taylor,5,740167949.1454536,148033589.8290907,5,265240586.34009516
DeRay Davis,6,518156179.3927823,86359363.23213038,4,128836463.72417352
Felicity Huffman,3,123611063.4440652,41203687.8146884,2,43792337.390715934
Mamie Gummer,4,134438002.74083212,33609500.68520803,0,16227721.386226103
Liam Hourican,1,2663994.36862173,2663994.36862173,1,1846540.1856377237
Paul Tylak,1,2663994.36862173,2663994.36862173,1,1846540.1856377237
Alli McCann,1,2663994.36862173,2663994.36862173,1,1846540.1856377237
Paul Young,2,3254137.8341607633,1627068.9170803817,0,536255.3720443263
Christen Mooney,1,2663994.36862173,2663994.36862173,0,553962.0556913171
Nora Twomey,1,2663994.36862173,2663994.36862173,0,553962.0556913171
Mick Lally,3,17650338.1774274,5883446.059142467,0,2446856.428722673
Evan McGuire,1,2663994.36862173,2663994.36862173,0,553962.0556913171
Michael McGrath,1,2663994.36862173,2663994.36862173,0,553962.0556913171
Tom Wopat,1,15685186.548262833,15685186.548262833,0,3261642.8497455483
Julia Jones,2,72252970.1395569,36126485.06977845,0,11906700.133213079
Ted Ross,2,142020129.81219795,71010064.90609898,2,78012529.92496042
Erika Katz,1,40746468.49650777,40746468.49650777,1,28243299.756128993
Diane Franklin,3,60613736.125966035,20204578.708655346,2,21473945.041669127
Brent Katz,1,40746468.49650777,40746468.49650777,0,8472989.926838698
Jack Magner,1,40746468.49650777,40746468.49650777,0,8472989.926838698
James Olson,1,40746468.49650777,40746468.49650777,0,8472989.926838698
Steve Condos,1,23057917.384500004,23057917.384500004,1,15982530.424650326
Jimmy Slyde,1,23057917.384500004,23057917.384500004,1,15982530.424650326
Bunny Briggs,1,23057917.384500004,23057917.384500004,0,4794759.127395098
Dick Anthony Williams,4,489134857.3038694,122283714.32596736,1,93483821.80699958
Howard 'Sandman' Sims,1,23057917.384500004,23057917.384500004,0,4794759.127395098
Sammy Davis Jr.,6,405155605.5641267,67525934.26068778,1,54749750.3342976
Savion Glover,2,27545837.8540122,13772918.9270061,0,4539329.3952115495
Suzzanne Douglas,4,161581744.56929663,40395436.14232416,1,30881624.547964416
Jason Jones,2,105922188.07491893,52961094.03745946,0,17455112.619258095
Bianca Haase,1,17313399.5474544,17313399.5474544,0,3600220.2246677554
Anne Suarez,1,21079962.173934784,21079962.173934784,1,14611516.34717319
Céline Samie,2,30633264.13561745,15316632.067808725,2,16827040.210702706
Pierre Boulanger,1,21079962.173934784,21079962.173934784,1,14611516.34717319
Mata Gabin,1,21079962.173934784,21079962.173934784,0,4383454.904151957
Guillaume Gallienne,2,48941022.10487051,24470511.052435257,0,8065081.245658251
Lola Naymark,1,21079962.173934784,21079962.173934784,0,4383454.904151957
Gilbert Melki,2,28019171.36369656,14009585.68184828,0,4617330.8967681965
Isabelle Renauld,1,21079962.173934784,21079962.173934784,0,4383454.904151957
Lindsay Crouse,13,621843276.1747038,47834098.16728491,10,105844808.33658527
Gerry Bamman,3,331386904.97241014,110462301.65747005,1,81671075.14884003
Danny Gerard,1,6583177.676878349,6583177.676878349,0,1368933.3137560193
Shawnee Smith,5,247112949.62103504,49422589.92420701,0,26566018.04714189
Jean-Yves Berteloot,2,1185218735.7074153,592609367.8537077,2,651047933.9039235
Mylène Demongeot,2,11974525.0726052,5987262.5363026,1,4275492.128611749
Jean-Pierre Marielle,4,1217161739.365597,304290434.84139925,1,232624867.05678296
Michel Blanc,4,127406263.40472996,31851565.85118249,1,24349980.8843601
Caroline Silhol,1,2650191.2128467155,2650191.2128467155,0,551091.7701388327
Michel Creton,1,2650191.2128467155,2650191.2128467155,0,551091.7701388327
Bruno Cremer,2,14548671.836209085,7274335.918104542,0,2397502.4494588403
Michael Alldredge,3,130647546.17140202,43549182.05713401,3,60371985.51718839
Paul Hogan,3,126658073.03900908,42219357.67966969,0,17558537.24442895
Ruth Warshawsky,1,16656348.284575365,16656348.284575365,0,3463590.2555633686
Doreen Lang,1,16656348.284575365,16656348.284575365,0,3463590.2555633686
Linda Kozlowski,3,86981074.06099482,28993691.35366494,0,12058137.249490868
Jai Courtney,6,1459925588.9618218,243320931.49363697,6,473480670.0710608
Steve Bastoni,3,1369313915.3345418,456437971.7781806,3,632757386.4770916
Megan Gale,1,46902612.693671435,46902612.693671435,1,32510413.749513455
Cem Yilmaz,1,46902612.693671435,46902612.693671435,0,9753124.124854036
Salih Kalyon,1,46902612.693671435,46902612.693671435,0,9753124.124854036
Yilmaz Erdogan,1,46902612.693671435,46902612.693671435,0,9753124.124854036
Dylan Jett,1,46902612.693671435,46902612.693671435,0,9753124.124854036
Erica Hiller,1,21598347.460210845,21598347.460210845,1,14970833.646799203
Alexander Lockwood,1,21598347.460210845,21598347.460210845,1,14970833.646799203
Sean Patrick Guérin,1,21598347.460210845,21598347.460210845,1,14970833.646799203
Janet Eilber,2,55152521.57314636,27576260.78657318,0,9088685.692693742
Frances Sternhagen,9,713432886.7604467,79270320.75116074,2,83151033.489085
Rozsika Halmos,1,21598347.460210845,21598347.460210845,0,4491250.0940397605
Jeremy Shamos,1,136766016.24495643,136766016.24495643,1,94798978.55660723
Jamahl Garrison-Lowe,1,136766016.24495643,136766016.24495643,0,28439693.56698217
Katherine O'Sullivan,1,136766016.24495643,136766016.24495643,0,28439693.56698217
Kenny Chin,1,136766016.24495643,136766016.24495643,0,28439693.56698217
Alex Dimitriades,2,191635240.77125996,95817620.38562998,2,105266415.22658908
Desmond Harrington,3,172042420.87567794,57347473.62522598,0,23850143.79333673
Emily Browning,5,808574956.8331163,161714991.36662325,0,86926310.12918411
Boris Brkic,1,119180693.50792663,119180693.50792663,0,24782928.504659493
Francesca Rettondini,1,119180693.50792663,119180693.50792663,0,24782928.504659493
Isaiah Washington,6,548694444.2004999,91449074.03341664,0,53385504.38500085
Ashley Bratcher,1,26485014.40451073,26485014.40451073,1,18358013.06157615
Jared Lotz,1,26485014.40451073,26485014.40451073,1,18358013.06157615
Robin DeMarco,1,26485014.40451073,26485014.40451073,1,18358013.06157615
Robia Scott,1,26485014.40451073,26485014.40451073,0,5507403.918472845
Sarah Hernandez,2,32531820.74657937,16265910.373289686,0,5360978.706741038
Maura Corsini,1,26485014.40451073,26485014.40451073,0,5507403.918472845
Emma Elle Roberts,2,29207467.971365027,14603733.985682514,0,4813152.485133276
Tina Toner,1,26485014.40451073,26485014.40451073,0,5507403.918472845
Robert Thomason,1,26485014.40451073,26485014.40451073,0,5507403.918472845
Brooks Ryan,1,26485014.40451073,26485014.40451073,0,5507403.918472845
Toni Bertorelli,1,12051329.787973493,12051329.787973493,1,8353345.26453191
Tony Vogel,1,12051329.787973493,12051329.787973493,0,2506003.579359573
Sei Ashina,1,12051329.787973493,12051329.787973493,0,2506003.579359573
Kôji Yakusho,5,124162085.33350933,24832417.066701867,0,13348115.52692503
Michael Golding,1,12051329.787973493,12051329.787973493,0,2506003.579359573
Martha Burns,2,26167872.011260897,13083936.005630448,0,4312251.863979826
Huw Williams,1,3505466.97699654,3505466.97699654,1,2429804.5516511463
Karina Lombard,4,449970702.5996136,112492675.6499034,4,181049977.06210688
Martine Beswick,1,3505466.97699654,3505466.97699654,1,2429804.5516511463
Ben Thomas,1,3505466.97699654,3505466.97699654,0,728941.3654953438
Casey Berna,1,3505466.97699654,3505466.97699654,0,728941.3654953438
Rowena King,1,3505466.97699654,3505466.97699654,0,728941.3654953438
Claudia Robinson,1,3505466.97699654,3505466.97699654,0,728941.3654953438
Laura Carmichael,1,18898335.333427776,18898335.333427776,1,13099327.853641856
Jessica Oyelowo,1,18898335.333427776,18898335.333427776,0,3929798.356092557
Nicholas Lyndhurst,2,25468345.36536208,12734172.68268104,0,4196975.578564542
Jack Davenport,6,3677864710.0647383,612977451.6774564,0,357839713.30836755
Vusi Kunene,3,22059080.212433726,7353026.737477909,0,3058037.850998823
Arnold Oceng,2,23398690.44082589,11699345.220412945,0,3855913.328554853
Terry Pheto,4,81355115.35964768,20338778.83991192,0,9820200.527270006
Anushka Shetty,1,325255757.1830532,325255757.1830532,1,225450111.0523235
Meka Rama Krishna,1,325255757.1830532,325255757.1830532,1,225450111.0523235
Rajsekhar Aningi,1,325255757.1830532,325255757.1830532,1,225450111.0523235
Ramya Krishnan,1,325255757.1830532,325255757.1830532,0,67635033.31569704
Nassar,3,327360209.3526099,109120069.78420329,1,80678686.62765333
Rana Daggubati,2,327360012.54280853,163680006.27140427,0,53946259.889711395
Sathyaraj,1,325255757.1830532,325255757.1830532,0,67635033.31569704
Tamannaah Bhatia,1,325255757.1830532,325255757.1830532,0,67635033.31569704
Subbaraju,1,325255757.1830532,325255757.1830532,0,67635033.31569704
Kit Harington,4,1291899739.9673445,322974934.99183613,1,246908849.94235498
Jim McManus,1,26901105.70859208,26901105.70859208,1,18646425.57585565
Ben Barnes,5,898967867.2326763,179793573.44653526,5,322146837.7291793
Katherine Parkinson,2,54804918.24813403,27402459.124067016,2,30104678.333425593
Kris Marshall,3,133492600.56899126,44497533.52299709,2,47293121.18511685
Christian Brassington,1,26901105.70859208,26901105.70859208,0,5593927.672756695
Charlotte Riley,1,26901105.70859208,26901105.70859208,0,5593927.672756695
Kimberley Nixon,1,26901105.70859208,26901105.70859208,0,5593927.672756695
Lira Angel,1,37204005.04997149,37204005.04997149,1,25787851.205925707
Bruce Paul Barbour,1,37204005.04997149,37204005.04997149,1,25787851.205925707
Anna Berger,2,69238404.45214017,34619202.22607008,2,38033080.989446975
René Assa,1,37204005.04997149,37204005.04997149,0,7736355.361777712
Jaime Cardriche,1,37204005.04997149,37204005.04997149,0,7736355.361777712
Bilal Bashir,1,37204005.04997149,37204005.04997149,0,7736355.361777712
Ed Cambridge,1,37204005.04997149,37204005.04997149,0,7736355.361777712
Donald Bishop,1,37204005.04997149,37204005.04997149,0,7736355.361777712
Lobo Chan,1,894497720.4733334,894497720.4733334,1,620018572.963389
Evan Parke,1,894497720.4733334,894497720.4733334,0,186005571.88901672
John Sumner,1,894497720.4733334,894497720.4733334,0,186005571.88901672
Alex Borstein,7,787748869.3900886,112535552.77001265,2,117005551.6729338
Christopher Heyerdahl,3,149841970.03826228,49947323.346087426,1,36928902.77744686
Michael Massee,3,152482068.52134636,50827356.17378212,0,21138503.17630392
Kim Smith,1,136838114.69629964,136838114.69629964,0,28454686.018463552
Keenan Wynn,4,391873668.9990397,97968417.24975993,4,157674084.94292653
Angela Lansbury,6,549551655.4697456,91591942.57829094,4,136642762.82000396
Robert Klein,3,69080096.15437043,23026698.718123477,0,9576534.776442356
Paul Frees,1,20989912.690290157,20989912.690290157,0,4364729.640442211
Tammy Grimes,3,28000917.082245786,9333639.027415263,0,3881751.345730295
Bijou Phillips,2,12399492.927641176,6199746.463820588,2,6811117.651779956
Mike S. Ryan,1,11151099.270317629,11151099.270317629,0,2318805.9058094183
Harvey Loomis,1,11151099.270317629,11151099.270317629,0,2318805.9058094183
Annet Mahendru,1,494929971.0896062,494929971.0896062,1,343059314.0353758
Christopher Knights,2,1365588848.6253204,682794424.3126602,1,487582124.36957145
Chris Miller,2,1365588848.6253204,682794424.3126602,0,225037903.55518684
Tom McGrath,3,2386090201.0987563,795363400.3662521,0,330782339.09066314
Conrad Vernon,2,1170587226.7109509,585293613.3554754,1,417956991.47233623
Joseph Thiaka,1,663277913.1249536,663277913.1249536,0,137924764.6230738
Malick Bowens,2,1054070928.3273158,527035464.1636579,0,173702291.24822873
Michael Kitchen,6,804493410.6134598,134082235.1022433,1,108713325.87228158
Rachel Kempson,1,663277913.1249536,663277913.1249536,0,137924764.6230738
Stephen Kinyanjui,1,663277913.1249536,663277913.1249536,0,137924764.6230738
Leon Russom,3,58602421.75529031,19534140.58509677,3,27080068.94244285
Chiara Peacock,1,17607806.393863063,17607806.393863063,0,3661440.4073254676
Doug Hutchison,4,61402441.10161721,15350610.275404302,1,11735280.72421217
Missi Pyle,8,2025993026.4881585,253249128.3110198,0,166933562.67418393
Chris Williams,2,289984356.47402287,144992178.23701143,0,47787056.63158129
Joel David Moore,6,2866753040.652177,477792173.4420295,0,278922191.8320125
Michael Greyeyes,3,95094955.09381413,31698318.36460471,3,43943200.00583458
Q'orianka Kilcher,1,79241045.75,79241045.75,0,16477712.23387024
Raoul Max Trujillo,6,352353339.5536963,58725556.59228271,0,34282396.974553525
Yorick van Wageningen,5,642132075.4216942,128426415.08433883,0,69032773.59791304
Myles Truitt,1,12883275.32522391,12883275.32522391,1,8930005.968056465
Lukas Penar,1,12883275.32522391,12883275.32522391,0,2679001.790416939
Ian Matthews,1,12883275.32522391,12883275.32522391,0,2679001.790416939
Stephane Garneau-Monten,1,12883275.32522391,12883275.32522391,0,2679001.790416939
Gavin Fox,1,12883275.32522391,12883275.32522391,0,2679001.790416939
Carrie Coon,5,991423185.0371875,198284637.0074375,0,106583512.78815712
Jean-Luc Bideau,2,19289183.477406107,9644591.738703053,2,10595667.003326105
Jacques Dacqmine,1,7684.808074817519,7684.808074817519,1,5326.703050204064
Hermine Clair,1,7684.808074817519,7684.808074817519,1,5326.703050204064
Pierre-François Dumeniaud,1,7684.808074817519,7684.808074817519,0,1598.0109150612193
Guy Louret,1,7684.808074817519,7684.808074817519,0,1598.0109150612193
Jean Depussé,1,7684.808074817519,7684.808074817519,0,1598.0109150612193
Jean Poiret,2,11458646.69041705,5729323.345208525,0,1888291.5098397504
Jean-Claude Brialy,2,1359479.082062672,679739.541031336,0,224031.06386119395
Douglas Campbell,1,26995439.14343374,26995439.14343374,0,5613543.759074603
Tom Harvey,1,26995439.14343374,26995439.14343374,0,5613543.759074603
Angus MacInnes,3,275759340.3988763,91919780.13295877,0,38228361.862110265
Brian McConnachie,1,26995439.14343374,26995439.14343374,0,5613543.759074603
Len Doncheff,1,26995439.14343374,26995439.14343374,0,5613543.759074603
Paul Dooley,12,1189468496.3505793,99122374.6958816,0,76273161.38587895
Jimmy Shergill,5,87498494.10890691,17499698.821781382,5,31355251.072565828
Vikram Gokhale,4,65064077.56084965,16266019.390212413,2,17016446.389147438
Deepti Naval,2,62954922.8835261,31477461.44176305,2,34581525.95599748
Kanwaljeet Singh,1,55713375.80219739,55713375.80219739,0,11585270.80703094
Pawan Malhotra,4,111161053.33767673,27790263.334419183,1,21245184.118297227
Kamlesh Gill,1,55713375.80219739,55713375.80219739,0,11585270.80703094
Danny Denzongpa,4,316026773.81138057,79006693.45284514,0,38146910.33372039
Sofía Vergara,13,2017244604.9099574,155172661.91615057,12,387459036.51264995
Vanessa Ferlito,5,223343630.67365643,44668726.134731285,3,57625641.38178682
Keshia Knight Pulliam,2,157681052.64026642,78840526.32013321,1,56299861.18923392
Tamela J. Mann,3,269025718.184975,89675239.39499168,0,37294883.611605965
David Mann,3,269025718.184975,89675239.39499168,0,37294883.611605965
RonReaco Lee,2,297971051.7459807,148985525.87299034,0,49103198.867324345
Peter Onorati,2,65618504.78964496,32809252.39482248,2,36044647.862965584
Illana Diamant,2,35727946.7713295,17863973.38566475,2,19625580.68593135
Mary Ellen Trainor,5,742051641.2490009,148410328.24980018,0,79774683.291847
Bryan Kestner,1,35426098.80443,35426098.80443,0,7366650.151358611
Charles Lanyer,2,42298373.116577886,21149186.558288943,0,6970426.874481191
Dale Dye,4,356774314.70082897,89193578.67520724,0,43065458.11966567
Marcus Leatherdale,1,82296.33288186885,82296.33288186885,1,57043.471107490106
Claudia Summers,1,82296.33288186885,82296.33288186885,1,57043.471107490106
Edward Brezinski,1,82296.33288186885,82296.33288186885,1,57043.471107490106
Marguerite Van Cook,1,82296.33288186885,82296.33288186885,0,17113.04133224703
David McDermott,1,82296.33288186885,82296.33288186885,0,17113.04133224703
Frank Holliday,1,82296.33288186885,82296.33288186885,0,17113.04133224703
Peter McGough,1,82296.33288186885,82296.33288186885,0,17113.04133224703
Kenny Scharf,1,82296.33288186885,82296.33288186885,0,17113.04133224703
James Romberger,1,82296.33288186885,82296.33288186885,0,17113.04133224703
Duncan Hannah,1,82296.33288186885,82296.33288186885,0,17113.04133224703
Dann Florek,2,761357442.6803986,380678721.3401993,2,418218321.29880595
Peter Murnik,1,38240357.61756442,38240357.61756442,0,7951858.81986564
Michael A. Goorjian,1,38240357.61756442,38240357.61756442,0,7951858.81986564
Edward Asner,9,1450632335.4832947,161181370.60925496,0,111340146.36996572
Siegfried Zimmermann,1,6877685.879608696,6877685.879608696,1,4767248.576227715
Ursula Schucht,1,6877685.879608696,6877685.879608696,1,4767248.576227715
Harald Warmbrunn,1,6877685.879608696,6877685.879608696,1,4767248.576227715
Karl-Fred Müller,1,6877685.879608696,6877685.879608696,0,1430174.5728683146
Hannelore Schubert,1,6877685.879608696,6877685.879608696,0,1430174.5728683146
Erwin Meinicke,1,6877685.879608696,6877685.879608696,0,1430174.5728683146
Hans Hohmann,1,6877685.879608696,6877685.879608696,0,1430174.5728683146
Annegret Fritz,1,6877685.879608696,6877685.879608696,0,1430174.5728683146
Horst Krause,1,6877685.879608696,6877685.879608696,0,1430174.5728683146
Maik Gustävel,1,6877685.879608696,6877685.879608696,0,1430174.5728683146
Beyoncé,4,2295372485.288591,573843121.3221477,4,923564875.2453855
Jennifer Hudson,6,1814892194.4033656,302482032.4005609,5,519932523.4670311
Mariah Iman Wilson,1,241889541.68843752,241889541.68843752,0,50299516.14848334
Sharon Leal,5,426606586.6310883,85321317.32621767,1,67265122.42835537
Hinton Battle,1,241889541.68843752,241889541.68843752,0,50299516.14848334
Mel Blanc,2,7726801.512457075,3863400.7562285373,2,4244379.546842339
William Roberts,1,254689.4626943005,254689.4626943005,1,176537.28298488178
Bea Benaderet,1,254689.4626943005,254689.4626943005,1,176537.28298488178
Arthur Q. Bryan,1,254689.4626943005,254689.4626943005,0,52961.18489546453
Shepard Menken,1,254689.4626943005,254689.4626943005,0,52961.18489546453
Lennie Weinrib,1,254689.4626943005,254689.4626943005,0,52961.18489546453
James Purefoy,6,640073784.7780871,106678964.12968118,6,207587678.99065432
Con O'Neill,1,261822.5445460123,261822.5445460123,0,54444.46756772973
Tom Hollander,8,1260655335.0908585,157581916.8863573,0,103872858.2179373
Christopher Fulford,3,82274929.94269392,27424976.64756464,0,11405727.144109061
Simon Callow,7,497246353.38012373,71035193.34001768,0,44314059.585747465
Jennifer Ehle,10,863239643.2789998,86323964.32789998,0,62098747.79732596
Julie Graham,1,261822.5445460123,261822.5445460123,0,54444.46756772973
Fu'ad Aït Aattou,1,2771004.222747924,2771004.222747924,1,1920713.764317426
Jean-Philippe Tesse,1,2771004.222747924,2771004.222747924,1,1920713.764317426
Claude Sarraute,1,2771004.222747924,2771004.222747924,0,576214.1292952277
Amira Casar,3,22135316.011533488,7378438.670511163,0,3068606.37683957
Sarah Pratt,1,2771004.222747924,2771004.222747924,0,576214.1292952277
Asia Argento,3,173167993.105114,57722664.36837134,0,24006181.236806765
Anne Parillaud,4,373212500.6756693,93303125.16891733,0,45049676.098631956
Yolande Moreau,4,63418922.0078506,15854730.50196265,0,7655161.308385207
Roxane Mesquida,2,3545927.6721466966,1772963.8360733483,0,584339.9573022998
Julianne Hough,4,421535904.5801465,105383976.14503662,4,169608966.57087275
Ser'Darius Blain,2,1072290631.148498,536145315.574249,0,176704749.6605135
Patrick John Flueger,1,88618887.78109176,88618887.78109176,0,18427779.66294658
Kim Dickens,8,900064617.3700299,112508077.17125374,0,74161653.69285563
Ziah Colon,1,88618887.78109176,88618887.78109176,0,18427779.66294658
Kenny Wormald,2,126570910.58989143,63285455.29494572,0,20857853.6642951
Natalie Victoria,1,725562.9390814633,725562.9390814633,1,502921.9055431036
Macedonia Alexis,1,725562.9390814633,725562.9390814633,1,502921.9055431036
Chaney Morrow,1,725562.9390814633,725562.9390814633,1,502921.9055431036
Christopher Matthew Spencer,1,725562.9390814633,725562.9390814633,0,150876.57166293106
Candice Coke,1,725562.9390814633,725562.9390814633,0,150876.57166293106
Jessica Sula,1,725562.9390814633,725562.9390814633,0,150876.57166293106
