Actor,Count,TotalGrossWorldWide,AverageGrossPerFilm,top_3_count,weight
Gilles Pelletier,1,4051677.9570000004,4051677.9570000004,1,2808409.1524314294
Rémy Girard,9,111586153.33730626,12398461.481922917,5,19666753.113654085
Véronique Le Flaguais,1,4051677.9570000004,4051677.9570000004,0,842522.7457294288
Yves Jacques,5,82966160.30272582,16593232.060545165,0,8919324.200874103
Lothaire Bluteau,2,5021199.774140188,2510599.887070094,0,827452.7663591921
Cédric Noël,1,4051677.9570000004,4051677.9570000004,0,842522.7457294288
Pauline Martin,1,4051677.9570000004,4051677.9570000004,0,842522.7457294288
Catherine Wilkening,1,4051677.9570000004,4051677.9570000004,0,842522.7457294288
Leonard Nimoy,8,2579535191.0509176,322441898.8813647,8,708477264.9850947
DeForest Kelley,4,936689004.7215018,234172251.18037546,4,376885699.08973724
Walter Koenig,4,936689004.7215018,234172251.18037546,2,244975704.40832916
James Doohan,4,936689004.7215018,234172251.18037546,0,113065709.72692117
Nichelle Nichols,4,936689004.7215018,234172251.18037546,0,113065709.72692117
William Shatner,11,2303733177.6515746,209430288.87741587,0,156124415.24955377
Paul Winfield,7,393682780.39998233,56240397.19999748,0,35084585.47747472
George Takei,6,1184989040.822925,197498173.4704875,0,115294110.05283254
Bibi Besch,4,333648125.4807618,83412031.37019046,0,40273945.6920981
Merritt Butrick,4,508403807.27662677,127100951.81915669,0,61368327.169263214
Jamie Demetriou,1,270315518.2131823,270315518.2131823,1,187368439.31106782
Joel Fry,2,460019290.96254563,230009645.48127282,2,252691423.0379217
John McCrea,2,270712479.9260066,135356239.9630033,2,148704028.57126492
Emma Stone,19,4997621091.872959,263032689.04594523,3,323484685.34116364
Emily Beecham,2,292911428.36355543,146455714.18177772,1,104583730.77474746
Emma Thompson,28,4923760197.669159,175848578.48818424,0,177640255.5156936
Mark Strong,18,3684191807.541379,204677322.64118773,0,180797966.08084166
Paul Walter Hauser,2,339343602.9742503,169671801.48712516,0,55921057.84626353
Kirby Howell-Baptiste,1,270315518.2131823,270315518.2131823,0,56210531.79332034
Kayvan Novak,4,658927623.5159606,164731905.87899014,1,125934742.98685697
Jeremy Piven,15,1031346228.0771167,68756415.20514111,13,172840823.65066513
Ryan Reynolds,22,4233578086.0782347,192435367.54901066,9,353800080.29011756
Peter Berg,11,333818309.17823756,30347119.016203415,7,56214546.75738439
Alex Rocco,8,385207083.4168817,48150885.42711021,2,50254196.71844981
Ray Liotta,24,2162974036.4678144,90123918.18615894,6,137796408.20861763
Martin Henderson,6,874351418.245783,145725236.37429717,0,85070464.93026881
Wayne Newton,5,621000729.403587,124200145.8807174,0,66761036.23838436
Joseph Ruskin,1,89054189.3880506,89054189.3880506,0,18518298.0874136
Common,12,1908619260.9905167,159051605.08254305,0,122387793.67790845
Ray Goulding,1,42619773.6952228,42619773.6952228,1,29541775.972946607
Bob Dishy,9,777219845.3362324,86357760.59291472,9,198846092.2055941
Al Pacino,24,3158039545.8146467,131584981.07561028,14,300018631.10418195
Dyan Cannon,11,652609783.0872908,59328162.09884462,2,62990658.112714656
B.J. Barie,1,42619773.6952228,42619773.6952228,0,8862532.79188398
Ari Meyers,2,53223311.75749153,26611655.878745764,0,8770767.651059113
Bob Elliott,2,50371953.86560742,25185976.93280371,0,8300887.12814691
Elva Josephson,1,42619773.6952228,42619773.6952228,0,8862532.79188398
Eric Gurry,3,72360115.44169553,24120038.480565175,0,10031242.000680683
Tuesday Weld,7,356336713.0888121,50905244.72697316,0,31756344.172393918
Lee Purcell,2,3999246.0274241953,1999623.0137120977,2,2196810.4155676705
Lisa Dunsheath,1,3976830.091355422,3976830.091355422,1,2756528.5653889603
J.C. Quinn,12,816007660.0099796,68000638.33416496,2,72674247.33424614
Kirk Douglas,7,272154672.2056548,38879238.886522114,0,24254131.33485845
Gil Rogers,1,3976830.091355422,3976830.091355422,0,826958.5696166881
Tom Noonan,10,557879755.7348524,55787975.57348524,1,49496277.475460954
Leah Ayres,1,3976830.091355422,3976830.091355422,0,826958.5696166881
Jay O. Sanders,12,1118662980.3408566,93221915.02840471,0,71732847.31603219
Todd Allen,3,63900580.13532819,21300193.37844273,0,8858501.391389517
Giovani Florido,1,15668151.652247388,15668151.652247388,1,10860335.142340925
Cy Schnabel,1,15668151.652247388,15668151.652247388,1,10860335.142340925
Batan Silva,1,15668151.652247388,15668151.652247388,1,10860335.142340925
Vito Schnabel,1,15668151.652247388,15668151.652247388,0,3258100.542702277
Olatz López Garmendia,2,45593612.04099641,22796806.020498205,0,7513455.370950743
Johnny Depp,28,8530419605.566103,304657843.0559322,0,307761925.34847426
Carmen Beato,2,20306199.23215094,10153099.61607547,0,3346296.0018875934
Olmo Schnabel,1,15668151.652247388,15668151.652247388,0,3258100.542702277
Loló Navarro,1,15668151.652247388,15668151.652247388,0,3258100.542702277
Javier Bardem,19,4558052191.01369,239897483.73756263,0,215600590.313103
Imogen Poots,10,492975751.13216496,49297575.1132165,10,118210422.32440445
Steve Terada,1,2962287.8635867587,2962287.8635867587,1,2053301.4806521055
Phillip Andre Botello,1,2962287.8635867587,2962287.8635867587,0,615990.4441956317
C.J. Rush,1,2962287.8635867587,2962287.8635867587,0,615990.4441956317
Davey Johnson,1,2962287.8635867587,2962287.8635867587,0,615990.4441956317
Alessandro Nivola,13,1763725498.0025773,135671192.15404442,0,107413216.22153132
Mike Brooks,1,2962287.8635867587,2962287.8635867587,0,615990.4441956317
David Zellner,1,2962287.8635867587,2962287.8635867587,0,615990.4441956317
Timothy Dalton,8,828902720.2116463,103612840.02645579,7,207740369.25328285
Timothy West,5,422441305.6951412,84488261.13902824,4,130189072.0636412
Tony Britton,1,32405888.429752067,32405888.429752067,1,22462050.198622797
Celia Gregory,1,32405888.429752067,32405888.429752067,0,6738615.059586839
Vanessa Redgrave,18,1477742588.5172915,82096810.47318286,0,72518714.64674377
Helen Morse,2,32890287.21677809,16445143.608389044,0,5420051.0571264075
Carolyn Pickles,1,32405888.429752067,32405888.429752067,0,6738615.059586839
Paul Brooke,1,32405888.429752067,32405888.429752067,0,6738615.059586839
Alan Badel,3,71178285.15248555,23726095.050828516,0,9867405.534107435
Kevin Eldon,1,198592418.81241864,198592418.81241864,1,137653775.18040782
Ben Miller,4,563352790.8059338,140838197.70148346,4,226670334.89965662
Kendra Mei,1,198592418.81241864,198592418.81241864,0,41296132.55412234
Noah Spiers,1,198592418.81241864,198592418.81241864,0,41296132.55412234
Jasmine Brightmore,1,198592418.81241864,198592418.81241864,0,41296132.55412234
